DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,20-158,SAS,HOME,DAL,L (-7),1,28:41,4,12,.333,2,4,.500,3,6,.500,3,5,8,5,1,0,3,4,13,8.5,-10,Jeremy Sochan
2023-10-27,20-160,SAS,HOME,HOU,W (+4),1,26:23,5,9,.556,0,1,.000,4,4,1.000,1,4,5,4,2,0,2,3,14,13.2,-8,Jeremy Sochan
2023-10-29,20-162,SAS,AWAY,LAC,L (-40),1,22:29,0,2,.000,0,2,.000,0,0,,2,2,4,3,1,1,4,3,0,-0.8,-30,Jeremy Sochan
2023-10-31,20-164,SAS,AWAY,PHO,W (+1),1,30:15,3,8,.375,0,1,.000,2,3,.667,1,6,7,5,0,0,0,5,8,7.2,-7,Jeremy Sochan
2023-11-02,20-166,SAS,AWAY,PHO,W (+11),1,26:23,7,13,.538,0,0,,0,0,,1,4,5,9,0,1,1,4,14,14.0,0,Jeremy Sochan
2023-11-05,20-169,SAS,HOME,TOR,L (-7),1,28:49,2,8,.250,0,1,.000,0,0,,1,3,4,5,3,0,3,1,4,3.9,-7,Jeremy Sochan
2023-11-06,20-170,SAS,AWAY,IND,L (-41),1,20:39,3,9,.333,0,1,.000,0,0,,1,2,3,1,0,0,2,2,6,0.1,-18,Jeremy Sochan
2023-11-08,20-172,SAS,AWAY,NYK,L (-21),1,29:14,7,12,.583,2,4,.500,0,0,,0,6,6,5,0,0,0,5,16,13.7,-19,Jeremy Sochan
2023-11-10,20-174,SAS,HOME,MIN,L (-7),1,29:42,6,11,.545,1,1,1.000,1,2,.500,3,4,7,5,3,0,6,3,14,10.9,-8,Jeremy Sochan
2023-11-12,20-176,SAS,HOME,MIA,L (-5),1,33:55,6,9,.667,2,3,.667,2,2,1.000,1,4,5,3,0,2,3,4,16,12.9,-5,Jeremy Sochan
2023-11-14,20-178,SAS,AWAY,OKC,L (-36),1,27:42,4,11,.364,1,1,1.000,0,0,,1,2,3,5,0,0,3,2,9,3.9,-31,Jeremy Sochan
2023-11-17,20-181,SAS,HOME,SAC,L (-9),1,36:48,3,11,.273,1,3,.333,1,2,.500,1,7,8,6,1,0,2,4,8,5.5,-3,Jeremy Sochan
