DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,26-282,PHI,HOME,WAS,W (+6),1,34:50,10,17,.588,1,1,1.000,8,9,.889,2,12,14,2,0,1,3,3,29,23.6,-2,Joel Embiid
2020-12-26,26-285,PHI,AWAY,NYK,W (+20),1,30:39,10,20,.500,2,4,.500,5,7,.714,4,6,10,2,1,1,1,3,27,21.7,+18,Joel Embiid
2020-12-27,26-286,PHI,AWAY,CLE,L (-24),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Joel Embiid
2020-12-29,26-288,PHI,HOME,TOR,W (+7),1,37:53,7,17,.412,1,6,.167,14,16,.875,4,12,16,4,2,2,5,1,29,26.3,+15,Joel Embiid
2020-12-31,26-290,PHI,AWAY,ORL,W (+24),1,26:41,7,11,.636,1,2,.500,6,8,.750,0,9,9,2,0,2,0,2,21,20.0,+23,Joel Embiid
2021-01-02,26-292,PHI,HOME,CHO,W (+15),1,36:44,7,11,.636,1,2,.500,4,6,.667,3,11,14,4,1,1,5,2,19,17.4,+19,Joel Embiid
2021-01-04,26-294,PHI,HOME,CHO,W (+17),1,24:54,4,10,.400,0,3,.000,6,8,.750,1,10,11,4,2,3,1,1,14,17.0,+18,Joel Embiid
2021-01-06,26-296,PHI,HOME,WAS,W (+5),1,36:36,11,20,.550,3,4,.750,13,13,1.000,0,8,8,5,3,3,5,1,38,34.0,+14,Joel Embiid
2021-01-07,26-297,PHI,AWAY,BRK,L (-13),1,29:52,7,14,.500,2,2,1.000,4,5,.800,0,12,12,3,0,1,5,5,20,12.0,-16,Joel Embiid
2021-01-09,26-299,PHI,HOME,DEN,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joel Embiid
2021-01-11,26-301,PHI,AWAY,ATL,L (-18),1,22:49,8,17,.471,1,4,.250,7,8,.875,2,9,11,1,0,1,3,2,24,16.6,-27,Joel Embiid
2021-01-12,26-302,PHI,HOME,MIA,W (+3),1,39:20,16,23,.696,0,3,.000,13,13,1.000,2,14,16,4,5,1,4,2,45,44.6,+4,Joel Embiid
2021-01-14,26-304,PHI,HOME,MIA,W (+17),1,23:36,3,8,.375,1,2,.500,2,4,.500,0,5,5,1,1,0,3,1,9,3.6,+4,Joel Embiid
2021-01-16,26-306,PHI,AWAY,MEM,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joel Embiid
2021-01-20,26-310,PHI,HOME,BOS,W (+8),1,32:53,12,19,.632,1,5,.200,17,21,.810,0,10,10,2,1,1,1,2,42,36.2,+15,Joel Embiid
2021-01-22,26-312,PHI,HOME,BOS,W (+12),1,30:13,11,15,.733,2,2,1.000,14,15,.933,3,8,11,3,1,0,5,5,38,32.1,+13,Joel Embiid
2021-01-23,26-313,PHI,AWAY,DET,W (+4),1,35:05,10,20,.500,1,2,.500,12,17,.706,5,9,14,1,1,2,3,2,33,26.5,+13,Joel Embiid
2021-01-25,26-315,PHI,AWAY,DET,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Joel Embiid
2021-01-27,26-317,PHI,HOME,LAL,W (+1),1,37:43,8,18,.444,1,3,.333,11,13,.846,1,5,6,4,0,2,5,4,28,17.6,+8,Joel Embiid
2021-01-29,26-319,PHI,AWAY,MIN,W (+24),1,26:38,10,19,.526,1,2,.500,16,18,.889,3,8,11,3,1,0,0,3,37,33.3,+21,Joel Embiid
2021-01-31,26-321,PHI,AWAY,IND,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joel Embiid
2021-02-03,26-324,PHI,AWAY,CHO,W (+7),1,33:45,11,17,.647,3,4,.750,9,10,.900,0,11,11,2,2,1,5,3,34,27.3,+12,Joel Embiid
2021-02-04,26-325,PHI,HOME,POR,L (-16),1,33:32,14,21,.667,0,1,.000,9,9,1.000,1,4,5,1,1,1,5,1,37,26.8,-23,Joel Embiid
2021-02-06,26-327,PHI,HOME,BRK,W (+16),1,31:04,10,21,.476,1,7,.143,12,14,.857,2,7,9,3,3,0,5,2,33,24.3,+17,Joel Embiid
2021-02-09,26-330,PHI,AWAY,SAC,W (+8),1,34:58,6,15,.400,0,2,.000,13,14,.929,4,13,17,6,2,2,4,3,25,25.6,+9,Joel Embiid
2021-02-11,26-332,PHI,AWAY,POR,L (-4),1,34:39,13,25,.520,1,2,.500,8,11,.727,3,6,9,3,0,2,3,3,35,24.7,+9,Joel Embiid
2021-02-13,26-334,PHI,AWAY,PHO,L (-9),1,36:24,12,23,.522,2,2,1.000,9,10,.900,3,5,8,2,1,0,2,3,35,26.1,-2,Joel Embiid
2021-02-15,26-336,PHI,AWAY,UTA,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Joel Embiid
2021-02-17,26-338,PHI,HOME,HOU,W (+5),1,36:53,10,21,.476,1,3,.333,10,12,.833,1,10,11,9,2,1,6,4,31,24.6,+4,Joel Embiid
2021-02-19,26-340,PHI,HOME,CHI,W (+7),1,35:16,17,26,.654,1,2,.500,15,17,.882,6,11,17,5,2,4,2,2,50,50.8,+22,Joel Embiid
2021-02-21,26-342,PHI,AWAY,TOR,L (-7),1,36:16,6,20,.300,1,3,.333,12,14,.857,2,15,17,2,0,2,2,0,25,19.3,-1,Joel Embiid
