DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,21-024,ATL,AWAY,NYK,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-10-19,21-026,ATL,AWAY,MEM,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-10-21,21-028,ATL,AWAY,CLE,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-10-24,21-031,ATL,HOME,DAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-10-27,21-034,ATL,HOME,CHI,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-10-29,21-036,ATL,AWAY,PHI,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-10-30,21-037,ATL,AWAY,CLE,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-01,21-039,ATL,HOME,SAC,L (-31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-03,21-041,ATL,HOME,MIA,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-06,21-044,ATL,AWAY,CHO,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-07,21-045,ATL,HOME,NYK,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-09,21-047,ATL,HOME,DET,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-11,21-049,ATL,AWAY,LAL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-13,21-051,ATL,AWAY,GSW,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-15,21-053,ATL,AWAY,DEN,L (-45),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-11-17,21-055,ATL,AWAY,IND,L (-8),0,12:08,3,6,.500,0,1,.000,6,7,.857,1,1,2,0,0,1,3,1,12,6.9,+14,John Collins
2018-11-19,21-057,ATL,HOME,LAC,L (-8),0,20:30,7,10,.700,2,3,.667,2,2,1.000,2,1,3,6,0,0,0,5,18,17.7,-2,John Collins
2018-11-21,21-059,ATL,HOME,TOR,L (-16),1,26:45,3,9,.333,0,3,.000,0,0,,1,5,6,4,0,0,2,3,6,2.7,-10,John Collins
2018-11-23,21-061,ATL,HOME,BOS,L (-18),1,30:03,7,8,.875,0,0,,2,4,.500,1,6,7,1,0,0,5,4,16,9.0,-11,John Collins
2018-11-25,21-063,ATL,HOME,CHO,W (+1),1,30:08,11,16,.688,0,1,.000,1,2,.500,4,7,11,4,0,1,2,4,23,20.6,+16,John Collins
2018-11-27,21-065,ATL,AWAY,MIA,W (+2),1,29:12,6,10,.600,0,2,.000,4,4,1.000,0,4,4,2,0,1,2,2,16,11.9,-5,John Collins
2018-11-28,21-066,ATL,AWAY,CHO,L (-14),1,31:14,3,10,.300,0,3,.000,3,3,1.000,2,8,10,4,1,0,3,2,9,7.0,-6,John Collins
2018-11-30,21-068,ATL,AWAY,OKC,L (-15),1,32:47,9,15,.600,0,3,.000,1,1,1.000,4,7,11,1,0,1,1,0,19,17.4,-8,John Collins
2018-12-03,21-071,ATL,HOME,GSW,L (-17),1,29:45,11,14,.786,0,1,.000,2,3,.667,3,8,11,2,0,1,2,2,24,22.0,-6,John Collins
2018-12-05,21-073,ATL,HOME,WAS,L (-14),1,31:50,12,17,.706,2,4,.500,0,1,.000,3,11,14,0,0,0,2,5,26,19.9,-8,John Collins
2018-12-08,21-076,ATL,HOME,DEN,W (+8),1,33:14,12,20,.600,3,6,.500,3,4,.750,3,9,12,5,0,1,1,2,30,27.6,+5,John Collins
2018-12-12,21-080,ATL,AWAY,DAL,L (-7),1,35:56,10,22,.455,0,3,.000,0,1,.000,9,8,17,1,0,1,5,5,20,11.3,+5,John Collins
2018-12-14,21-082,ATL,AWAY,BOS,L (-21),1,29:13,2,8,.250,0,0,,7,12,.583,7,7,14,1,0,1,5,3,11,6.4,-7,John Collins
2018-12-16,21-084,ATL,AWAY,BRK,L (-17),1,33:55,13,19,.684,0,1,.000,3,6,.500,3,5,8,2,0,1,3,3,29,21.2,-28,John Collins
2018-12-18,21-086,ATL,HOME,WAS,W (+8),1,25:12,7,14,.500,1,2,.500,5,6,.833,6,7,13,3,0,0,3,4,20,16.4,+7,John Collins
2018-12-21,21-089,ATL,AWAY,NYK,W (+7),1,32:56,7,15,.467,0,3,.000,3,4,.750,5,11,16,4,0,0,1,2,17,16.7,+17,John Collins
2018-12-23,21-091,ATL,AWAY,DET,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Collins
2018-12-26,21-094,ATL,HOME,IND,L (-8),1,27:04,9,13,.692,2,3,.667,1,2,.500,5,6,11,0,0,1,2,4,21,17.5,+11,John Collins
2018-12-28,21-096,ATL,AWAY,MIN,W (+3),1,39:10,9,15,.600,0,2,.000,3,5,.600,5,5,10,4,0,0,2,5,21,17.1,-2,John Collins
2018-12-29,21-097,ATL,HOME,CLE,W (+3),1,27:26,6,13,.462,0,1,.000,2,3,.667,6,7,13,2,0,0,2,5,14,10.6,+1,John Collins
2018-12-31,21-099,ATL,AWAY,IND,L (-8),1,37:09,8,15,.533,2,4,.500,4,4,1.000,7,9,16,4,0,0,0,3,22,23.9,-3,John Collins
