DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,26-164,TOR,HOME,CLE,W (+12),1,20:24,3,8,.375,0,2,.000,0,0,,2,10,12,3,0,0,0,2,6,7.3,+13,Jonas Valanciunas
2018-10-19,26-166,TOR,HOME,BOS,W (+12),0,14:28,1,3,.333,0,0,,2,2,1.000,1,4,5,0,0,0,2,4,4,0.6,-4,Jonas Valanciunas
2018-10-20,26-167,TOR,AWAY,WAS,W (+4),1,18:50,5,8,.625,0,0,,6,7,.857,2,5,7,1,0,1,1,4,16,13.7,+5,Jonas Valanciunas
2018-10-22,26-169,TOR,HOME,CHO,W (+21),0,19:42,7,8,.875,0,0,,3,4,.750,2,8,10,2,2,2,0,2,17,21.6,+6,Jonas Valanciunas
2018-10-24,26-171,TOR,HOME,MIN,W (+7),0,20:02,7,11,.636,2,3,.667,0,0,,5,4,9,2,0,0,1,3,16,15.0,+4,Jonas Valanciunas
2018-10-26,26-173,TOR,HOME,DAL,W (+9),1,22:02,7,16,.438,0,1,.000,3,4,.750,5,3,8,1,1,0,1,4,17,11.7,+12,Jonas Valanciunas
2018-10-29,26-176,TOR,AWAY,MIL,L (-15),0,12:55,3,10,.300,0,1,.000,4,4,1.000,2,1,3,0,1,0,0,1,10,6.5,-21,Jonas Valanciunas
2018-10-30,26-177,TOR,HOME,PHI,W (+17),0,17:08,8,14,.571,1,3,.333,6,6,1.000,1,3,4,1,0,2,3,4,23,15.5,+1,Jonas Valanciunas
2018-11-02,26-180,TOR,AWAY,PHO,W (+9),1,24:25,7,10,.700,1,2,.500,1,2,.500,1,6,7,1,1,4,2,6,16,14.0,+3,Jonas Valanciunas
2018-11-04,26-182,TOR,AWAY,LAL,W (+14),0,17:04,5,9,.556,0,1,.000,4,4,1.000,0,8,8,1,2,1,0,3,14,14.3,-16,Jonas Valanciunas
2018-11-05,26-183,TOR,AWAY,UTA,W (+13),1,21:36,4,10,.400,1,2,.500,2,2,1.000,0,6,6,0,1,2,1,1,11,8.4,+9,Jonas Valanciunas
2018-11-07,26-185,TOR,AWAY,SAC,W (+9),0,19:46,4,7,.571,0,0,,3,4,.750,2,8,10,1,0,1,1,3,11,10.3,+4,Jonas Valanciunas
2018-11-10,26-188,TOR,HOME,NYK,W (+16),0,20:47,6,8,.750,1,1,1.000,6,10,.600,3,7,10,1,1,1,1,3,19,18.6,+18,Jonas Valanciunas
2018-11-12,26-190,TOR,HOME,NOP,L (-16),0,14:53,0,3,.000,0,1,.000,2,2,1.000,1,6,7,2,0,1,2,2,2,1.7,-5,Jonas Valanciunas
