DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-18,20-012,GSW,HOME,LAL,W (+14),0,13:04,0,3,.000,0,2,.000,0,0,,1,2,3,0,0,1,2,2,0,-2.9,-8,Jonathan Kuminga
2022-10-21,20-015,GSW,HOME,DEN,L (-5),0,7:34,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,2,1,4,1.6,-10,Jonathan Kuminga
2022-10-23,20-017,GSW,HOME,SAC,W (+5),0,7:22,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,4,1.2,-11,Jonathan Kuminga
2022-10-25,20-019,GSW,AWAY,PHO,L (-29),0,15:09,1,4,.250,0,1,.000,2,2,1.000,1,2,3,0,0,0,1,2,4,1.1,-13,Jonathan Kuminga
2022-10-27,20-021,GSW,HOME,MIA,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jonathan Kuminga
2022-10-29,20-023,GSW,AWAY,CHO,L (-7),0,2:49,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,0,1,0,0.6,0,Jonathan Kuminga
2022-10-30,20-024,GSW,AWAY,DET,L (-14),0,19:11,1,3,.333,0,1,.000,2,2,1.000,1,1,2,3,0,0,1,2,4,3.6,-2,Jonathan Kuminga
2022-11-01,20-026,GSW,AWAY,MIA,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jonathan Kuminga
2022-11-03,20-028,GSW,AWAY,ORL,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jonathan Kuminga
2022-11-04,20-029,GSW,AWAY,NOP,L (-9),1,37:45,7,12,.583,1,3,.333,3,4,.750,0,4,4,2,2,1,3,4,18,12.7,+2,Jonathan Kuminga
2022-11-07,20-032,GSW,HOME,SAC,W (+3),0,8:57,2,5,.400,0,2,.000,1,2,.500,0,0,0,0,0,0,0,0,5,1.9,-17,Jonathan Kuminga
2022-11-11,20-036,GSW,HOME,CLE,W (+5),0,4:19,0,3,.000,0,0,,0,0,,2,0,2,0,0,0,2,0,0,-2.7,-1,Jonathan Kuminga
2022-11-13,20-038,GSW,AWAY,SAC,L (-7),0,14:24,1,4,.250,0,2,.000,1,1,1.000,0,0,0,1,0,1,0,4,3,0.4,-4,Jonathan Kuminga
2022-11-14,20-039,GSW,HOME,SAS,W (+37),0,24:40,5,8,.625,3,4,.750,2,2,1.000,0,3,3,2,0,0,1,2,15,11.9,+24,Jonathan Kuminga
2022-11-16,20-041,GSW,AWAY,PHO,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jonathan Kuminga
2022-11-18,20-043,GSW,HOME,NYK,W (+10),0,8:54,0,2,.000,0,1,.000,1,2,.500,1,4,5,0,1,0,0,0,1,2.1,-7,Jonathan Kuminga
2022-11-20,20-045,GSW,AWAY,HOU,W (+7),0,6:27,1,3,.333,0,2,.000,0,0,,2,0,2,0,0,0,1,2,2,-0.1,-12,Jonathan Kuminga
2022-11-21,20-046,GSW,AWAY,NOP,L (-45),1,39:30,6,20,.300,4,12,.333,2,2,1.000,1,2,3,2,1,2,3,4,18,6.9,-38,Jonathan Kuminga
2022-11-23,20-048,GSW,HOME,LAC,W (+17),0,13:46,3,7,.429,0,3,.000,0,0,,3,1,4,2,1,1,1,2,6,6.0,-7,Jonathan Kuminga
2022-11-25,20-050,GSW,HOME,UTA,W (+11),0,13:00,0,0,,0,0,,0,0,,0,3,3,1,0,0,2,0,0,-0.4,+2,Jonathan Kuminga
2022-11-27,20-052,GSW,AWAY,MIN,W (+23),0,19:50,3,5,.600,0,2,.000,1,1,1.000,0,6,6,1,0,2,2,2,7,5.8,+8,Jonathan Kuminga
2022-11-29,20-054,GSW,AWAY,DAL,L (-3),0,25:34,6,8,.750,1,1,1.000,1,4,.250,3,7,10,1,0,2,2,3,14,12.7,+21,Jonathan Kuminga
2022-12-02,20-057,GSW,HOME,CHI,W (+8),0,10:42,0,2,.000,0,1,.000,1,2,.500,0,3,3,1,0,0,1,0,1,-0.2,-1,Jonathan Kuminga
2022-12-03,20-058,GSW,HOME,HOU,W (+19),0,17:35,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,1,3,2,-0.9,-8,Jonathan Kuminga
2022-12-05,20-060,GSW,HOME,IND,L (-8),0,23:28,4,4,1.000,0,0,,2,2,1.000,2,2,4,2,1,0,1,6,10,9.8,0,Jonathan Kuminga
2022-12-07,20-062,GSW,AWAY,UTA,L (-1),0,29:36,10,13,.769,1,3,.333,3,5,.600,1,4,5,4,1,1,1,2,24,22.7,+8,Jonathan Kuminga
2022-12-10,20-065,GSW,HOME,BOS,W (+16),0,21:23,6,9,.667,1,2,.500,1,2,.500,1,4,5,3,0,0,2,3,14,10.5,-3,Jonathan Kuminga
2022-12-13,20-068,GSW,AWAY,MIL,L (-17),0,27:24,6,10,.600,3,5,.600,4,6,.667,1,0,1,3,1,0,1,5,19,14.4,-3,Jonathan Kuminga
2022-12-14,20-069,GSW,AWAY,IND,L (-6),0,24:22,4,13,.308,0,1,.000,1,2,.500,5,3,8,1,1,2,3,3,9,4.4,+2,Jonathan Kuminga
2022-12-16,20-071,GSW,AWAY,PHI,L (-12),1,28:43,3,8,.375,1,4,.250,0,0,,0,0,0,3,0,0,1,2,7,2.9,-8,Jonathan Kuminga
2022-12-18,20-073,GSW,AWAY,TOR,W (+16),0,5:23,1,4,.250,0,1,.000,0,0,,0,0,0,1,1,0,0,1,2,0.9,+6,Jonathan Kuminga
2022-12-20,20-075,GSW,AWAY,NYK,L (-38),0,26:52,5,7,.714,1,2,.500,2,2,1.000,1,3,4,4,0,0,3,3,13,10.3,-23,Jonathan Kuminga
2022-12-21,20-076,GSW,AWAY,BRK,L (-30),1,30:15,1,9,.111,0,2,.000,2,4,.500,2,4,6,4,1,0,4,2,4,-1.1,-23,Jonathan Kuminga
2022-12-25,20-080,GSW,HOME,MEM,W (+14),0,16:49,1,2,.500,0,1,.000,5,8,.625,1,3,4,3,0,1,3,1,7,5.8,+21,Jonathan Kuminga
2022-12-27,20-082,GSW,HOME,CHO,W (+5),0,22:34,6,6,1.000,0,0,,2,3,.667,1,5,6,2,2,0,0,2,14,16.6,0,Jonathan Kuminga
2022-12-28,20-083,GSW,HOME,UTA,W (+5),0,21:08,3,9,.333,0,1,.000,3,5,.600,3,2,5,3,1,0,2,6,9,4.5,+1,Jonathan Kuminga
2022-12-30,20-085,GSW,HOME,POR,W (+6),0,26:19,4,8,.500,0,2,.000,1,2,.500,0,2,2,6,1,1,1,5,9,8.1,+15,Jonathan Kuminga
2023-01-02,20-088,GSW,HOME,ATL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jonathan Kuminga
2023-01-04,20-090,GSW,HOME,DET,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jonathan Kuminga
