DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-19,22-122,GSW,AWAY,LAL,W (+7),1,25:04,8,18,.444,4,11,.364,0,1,.000,0,2,2,3,1,0,2,2,20,11.1,+2,Jordan Poole
2021-10-21,22-124,GSW,HOME,LAC,W (+2),1,25:11,4,14,.286,1,6,.167,0,0,,1,3,4,4,1,0,7,4,9,-2.4,+10,Jordan Poole
2021-10-24,22-127,GSW,AWAY,SAC,W (+12),1,31:54,8,16,.500,2,5,.400,4,4,1.000,0,3,3,3,3,1,2,3,22,17.5,+4,Jordan Poole
2021-10-26,22-129,GSW,AWAY,OKC,W (+8),1,29:17,5,14,.357,0,7,.000,0,0,,0,2,2,7,0,2,1,0,10,8.1,-17,Jordan Poole
2021-10-28,22-131,GSW,HOME,MEM,L (-3),1,23:53,4,9,.444,0,2,.000,1,1,1.000,0,2,2,3,1,0,6,2,9,1.2,-12,Jordan Poole
2021-10-30,22-133,GSW,HOME,OKC,W (+21),1,31:21,6,15,.400,2,6,.333,0,0,,1,2,3,4,1,0,0,4,14,9.4,+19,Jordan Poole
2021-11-03,22-137,GSW,HOME,CHO,W (+22),1,32:26,11,21,.524,7,16,.438,2,2,1.000,0,3,3,1,4,0,1,3,31,24.1,+28,Jordan Poole
2021-11-05,22-139,GSW,HOME,NOP,W (+41),1,27:51,10,15,.667,6,9,.667,0,0,,0,0,0,1,0,0,1,3,26,18.0,+31,Jordan Poole
2021-11-07,22-141,GSW,HOME,HOU,W (+13),1,29:50,7,13,.538,2,7,.286,9,9,1.000,0,4,4,5,1,0,3,5,25,19.4,+3,Jordan Poole
2021-11-08,22-142,GSW,HOME,ATL,W (+14),1,31:38,6,17,.353,3,10,.300,1,1,1.000,0,4,4,4,2,0,0,2,16,11.7,-12,Jordan Poole
2021-11-10,22-144,GSW,HOME,MIN,W (+13),1,36:56,5,17,.294,2,11,.182,2,2,1.000,1,4,5,2,1,0,1,2,14,6.6,+10,Jordan Poole
2021-11-12,22-146,GSW,HOME,CHI,W (+26),1,31:47,5,12,.417,2,9,.222,2,2,1.000,0,1,1,2,3,0,4,2,14,7.5,+8,Jordan Poole
2021-11-14,22-148,GSW,AWAY,CHO,L (-4),1,28:36,4,12,.333,2,8,.250,3,3,1.000,0,1,1,3,1,0,3,0,13,6.6,-8,Jordan Poole
2021-11-16,22-150,GSW,AWAY,BRK,W (+18),1,28:10,6,13,.462,0,7,.000,5,6,.833,0,4,4,4,0,1,5,5,17,7.6,+4,Jordan Poole
2021-11-18,22-152,GSW,AWAY,CLE,W (+15),1,23:37,3,10,.300,1,5,.200,1,1,1.000,0,2,2,2,1,0,0,3,8,4.0,-8,Jordan Poole
2021-11-19,22-153,GSW,AWAY,DET,W (+3),1,37:25,13,22,.591,4,8,.500,2,2,1.000,1,6,7,2,0,0,4,4,32,20.1,+18,Jordan Poole
2021-11-21,22-155,GSW,HOME,TOR,W (+15),1,30:40,10,13,.769,8,11,.727,5,6,.833,1,3,4,4,0,0,5,5,33,24.9,+14,Jordan Poole
2021-11-24,22-158,GSW,HOME,PHI,W (+20),1,33:10,5,13,.385,2,7,.286,5,6,.833,0,5,5,6,0,0,2,4,17,11.6,+16,Jordan Poole
2021-11-26,22-160,GSW,HOME,POR,W (+15),1,34:34,5,12,.417,2,6,.333,2,2,1.000,1,1,2,5,0,0,1,3,14,9.9,+23,Jordan Poole
2021-11-28,22-162,GSW,AWAY,LAC,W (+15),1,30:42,6,16,.375,4,10,.400,1,1,1.000,0,3,3,2,1,0,0,2,17,10.7,+1,Jordan Poole
2021-11-30,22-164,GSW,AWAY,PHO,L (-8),1,34:59,9,15,.600,6,12,.500,4,5,.800,0,5,5,3,2,1,4,2,28,22.2,-9,Jordan Poole
2021-12-03,22-167,GSW,HOME,PHO,W (+22),1,31:52,5,12,.417,2,5,.400,2,2,1.000,0,1,1,5,1,0,5,6,14,5.0,+24,Jordan Poole
2021-12-04,22-168,GSW,HOME,SAS,L (-5),1,23:12,6,9,.667,3,6,.500,0,0,,2,1,3,3,0,0,2,3,15,11.7,-26,Jordan Poole
2021-12-06,22-170,GSW,HOME,ORL,W (+31),1,32:20,4,15,.267,2,6,.333,2,2,1.000,0,7,7,7,1,0,1,1,12,9.7,+22,Jordan Poole
2021-12-08,22-172,GSW,HOME,POR,W (+10),1,34:37,5,14,.357,2,10,.200,8,9,.889,0,3,3,2,3,1,1,2,20,16.0,+6,Jordan Poole
2021-12-11,22-175,GSW,AWAY,PHI,L (-9),1,36:34,7,14,.500,4,9,.444,5,5,1.000,0,3,3,2,1,0,3,1,23,15.9,-1,Jordan Poole
2021-12-13,22-177,GSW,AWAY,IND,W (+2),1,28:40,3,9,.333,1,4,.250,1,3,.333,0,4,4,4,0,0,2,4,8,2.5,-5,Jordan Poole
2021-12-14,22-178,GSW,AWAY,NYK,W (+9),1,34:07,3,11,.273,0,6,.000,13,13,1.000,0,9,9,3,0,0,3,4,19,12.7,+6,Jordan Poole
2021-12-17,22-181,GSW,AWAY,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jordan Poole
2021-12-18,22-182,GSW,AWAY,TOR,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jordan Poole
2021-12-20,22-184,GSW,HOME,SAC,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jordan Poole
2021-12-23,22-187,GSW,HOME,MEM,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jordan Poole
2021-12-25,22-189,GSW,AWAY,PHO,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jordan Poole
2021-12-28,22-192,GSW,HOME,DEN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jordan Poole
2022-01-01,22-196,GSW,AWAY,UTA,W (+7),0,16:53,3,6,.500,1,2,.500,3,4,.750,0,2,2,2,0,0,4,3,10,3.4,+8,Jordan Poole
2022-01-03,22-198,GSW,HOME,MIA,W (+7),0,26:11,12,17,.706,5,9,.556,3,5,.600,0,2,2,5,0,0,1,2,32,26.4,+12,Jordan Poole
2022-01-05,22-200,GSW,AWAY,DAL,L (-17),0,24:00,3,8,.375,0,4,.000,0,0,,0,2,2,3,0,0,2,2,6,1.5,-21,Jordan Poole
2022-01-06,22-201,GSW,AWAY,NOP,L (-5),1,32:34,3,14,.214,2,9,.222,3,3,1.000,0,0,0,5,3,0,3,5,11,3.9,-1,Jordan Poole
2022-01-09,22-204,GSW,HOME,CLE,W (+14),0,24:26,6,12,.500,2,6,.333,0,0,,0,2,2,2,0,1,1,1,14,9.3,+17,Jordan Poole
2022-01-11,22-206,GSW,AWAY,MEM,L (-8),0,22:14,3,11,.273,1,6,.167,5,5,1.000,0,1,1,2,0,2,1,0,12,7.6,-17,Jordan Poole
2022-01-13,22-208,GSW,AWAY,MIL,L (-19),0,24:23,2,7,.286,2,7,.286,3,3,1.000,0,3,3,0,0,0,2,2,9,3.0,+2,Jordan Poole
2022-01-14,22-209,GSW,AWAY,CHI,W (+42),1,28:30,8,19,.421,5,9,.556,1,1,1.000,0,1,1,5,0,0,2,2,22,12.9,+38,Jordan Poole
2022-01-16,22-211,GSW,AWAY,MIN,L (-20),1,33:13,5,13,.385,3,7,.429,7,7,1.000,1,3,4,3,0,0,4,4,20,11.0,-10,Jordan Poole
2022-01-18,22-213,GSW,HOME,DET,W (+16),0,20:55,2,6,.333,0,2,.000,1,1,1.000,1,0,1,3,0,0,2,3,5,1.2,+4,Jordan Poole
2022-01-20,22-215,GSW,HOME,IND,L (-4),0,24:40,1,7,.143,0,5,.000,3,4,.750,0,2,2,4,0,0,0,2,5,2.7,-1,Jordan Poole
2022-01-21,22-216,GSW,HOME,HOU,W (+2),1,31:31,7,15,.467,2,4,.500,4,4,1.000,0,3,3,3,0,2,4,2,20,11.9,+18,Jordan Poole
2022-01-23,22-218,GSW,HOME,UTA,W (+2),1,34:23,7,13,.538,4,9,.444,2,2,1.000,1,2,3,2,0,1,2,4,20,13.5,+6,Jordan Poole
2022-01-25,22-220,GSW,HOME,DAL,W (+38),0,26:17,6,10,.600,2,6,.333,3,3,1.000,0,2,2,3,1,0,1,1,17,14.7,+9,Jordan Poole
2022-01-27,22-222,GSW,HOME,MIN,W (+9),0,24:03,5,10,.500,3,4,.750,6,6,1.000,2,1,3,5,1,0,2,3,19,17.0,+4,Jordan Poole
2022-01-29,22-224,GSW,HOME,BRK,W (+4),0,27:36,6,15,.400,3,8,.375,2,2,1.000,0,3,3,6,0,1,0,3,17,13.5,+3,Jordan Poole
2022-01-31,22-226,GSW,AWAY,HOU,W (+14),0,26:07,2,4,.500,2,3,.667,0,0,,0,2,2,2,0,0,5,2,6,0.2,+13,Jordan Poole
2022-02-01,22-227,GSW,AWAY,SAS,W (+4),1,33:59,9,24,.375,4,13,.308,9,9,1.000,3,3,6,5,1,1,1,0,31,25.0,-6,Jordan Poole
2022-02-03,22-229,GSW,HOME,SAC,W (+12),0,25:15,4,8,.500,0,4,.000,4,4,1.000,2,3,5,3,2,1,4,0,12,11.1,+1,Jordan Poole
2022-02-07,22-233,GSW,AWAY,OKC,W (+12),0,29:56,5,8,.625,1,4,.250,0,0,,2,6,8,8,2,0,3,4,11,13.6,+17,Jordan Poole
2022-02-09,22-235,GSW,AWAY,UTA,L (-26),1,32:28,5,14,.357,3,8,.375,5,5,1.000,2,1,3,3,1,0,2,3,18,11.8,-8,Jordan Poole
2022-02-10,22-236,GSW,HOME,NYK,L (-2),0,26:29,5,11,.455,1,5,.200,0,0,,0,2,2,2,0,0,1,2,11,5.5,+4,Jordan Poole
2022-02-12,22-238,GSW,HOME,LAL,W (+2),0,24:59,2,8,.250,1,5,.200,6,6,1.000,1,0,1,4,0,0,2,2,11,6.9,+8,Jordan Poole
2022-02-14,22-240,GSW,AWAY,LAC,L (-15),0,25:01,5,11,.455,1,5,.200,2,2,1.000,1,6,7,3,1,0,2,2,13,10.1,-7,Jordan Poole
2022-02-16,22-242,GSW,HOME,DEN,L (-1),0,22:20,6,11,.545,2,4,.500,1,2,.500,0,1,1,5,2,1,3,2,15,12.0,-2,Jordan Poole
2022-02-24,22-250,GSW,AWAY,POR,W (+37),0,24:54,5,10,.500,2,6,.333,3,3,1.000,1,1,2,6,1,0,2,3,15,13.0,+33,Jordan Poole
2022-02-27,22-253,GSW,HOME,DAL,L (-6),0,19:08,0,7,.000,0,4,.000,4,4,1.000,0,6,6,1,0,0,1,1,4,0.2,-12,Jordan Poole
