DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-22,29-132,NOP,AWAY,TOR,L (-8),1,41:05,6,15,.400,1,6,.167,0,2,.000,2,2,4,6,0,2,5,2,13,5.9,-14,Jrue Holiday
2019-10-25,29-135,NOP,HOME,DAL,L (-7),1,33:13,2,11,.182,0,3,.000,4,4,1.000,1,3,4,8,2,0,0,1,8,9.9,-14,Jrue Holiday
2019-10-26,29-136,NOP,AWAY,HOU,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jrue Holiday
2019-10-28,29-138,NOP,HOME,GSW,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jrue Holiday
2019-10-31,29-141,NOP,HOME,DEN,W (+15),1,31:51,7,17,.412,5,9,.556,0,0,,0,5,5,7,2,0,2,2,19,15.5,+5,Jrue Holiday
2019-11-02,29-143,NOP,AWAY,OKC,L (-11),1,34:51,6,15,.400,2,5,.400,2,2,1.000,0,3,3,6,1,0,2,4,16,10.4,-10,Jrue Holiday
2019-11-04,29-145,NOP,AWAY,BRK,L (-10),1,34:00,7,17,.412,1,4,.250,0,0,,1,6,7,3,4,2,2,4,15,12.3,-19,Jrue Holiday
2019-11-08,29-149,NOP,HOME,TOR,L (-18),1,30:29,6,13,.462,1,4,.250,3,5,.600,1,5,6,6,3,0,2,0,16,15.9,-15,Jrue Holiday
2019-11-09,29-150,NOP,AWAY,CHO,W (+5),1,36:15,4,12,.333,0,5,.000,4,4,1.000,1,4,5,11,2,1,4,4,12,11.9,+8,Jrue Holiday
2019-11-11,29-152,NOP,HOME,HOU,L (-6),1,38:20,6,21,.286,0,7,.000,6,8,.750,0,9,9,11,1,1,6,3,18,9.8,-5,Jrue Holiday
2019-11-14,29-155,NOP,HOME,LAC,W (+5),1,36:31,13,24,.542,5,6,.833,5,7,.714,2,1,3,7,6,1,6,1,36,30.5,+6,Jrue Holiday
2019-11-16,29-157,NOP,AWAY,MIA,L (-15),1,36:24,5,12,.417,4,5,.800,0,0,,0,2,2,4,2,0,6,4,14,5.4,-15,Jrue Holiday
2019-11-17,29-158,NOP,HOME,GSW,W (+8),1,37:28,9,23,.391,0,5,.000,4,4,1.000,4,4,8,9,1,1,4,1,22,17.1,+7,Jrue Holiday
2019-11-19,29-160,NOP,HOME,POR,W (+11),1,34:49,10,18,.556,1,4,.250,1,1,1.000,2,3,5,10,0,0,5,1,22,17.3,+2,Jrue Holiday
2019-11-21,29-162,NOP,AWAY,PHO,W (+3),1,37:05,10,19,.526,1,4,.250,2,4,.500,0,4,4,9,3,1,5,4,23,17.5,+6,Jrue Holiday
2019-11-23,29-164,NOP,AWAY,UTA,L (-8),1,35:32,12,24,.500,3,9,.333,1,1,1.000,0,5,5,4,4,2,0,3,28,24.5,-9,Jrue Holiday
2019-11-24,29-165,NOP,AWAY,LAC,L (-25),1,35:49,7,15,.467,2,5,.400,2,2,1.000,2,5,7,4,0,0,2,3,18,12.8,-4,Jrue Holiday
2019-11-27,29-168,NOP,HOME,LAL,L (-4),1,40:28,12,23,.522,4,6,.667,1,1,1.000,2,4,6,12,3,0,7,3,29,23.5,+7,Jrue Holiday
2019-11-29,29-170,NOP,AWAY,OKC,L (-5),1,41:22,6,15,.400,2,5,.400,0,0,,1,3,4,6,2,2,3,2,14,11.3,-4,Jrue Holiday
2019-12-01,29-172,NOP,HOME,OKC,L (-3),1,35:48,10,19,.526,3,6,.500,3,3,1.000,1,2,3,4,0,0,0,2,26,20.0,-9,Jrue Holiday
2019-12-03,29-174,NOP,HOME,DAL,L (-21),1,36:44,8,18,.444,0,3,.000,2,6,.333,3,1,4,4,0,2,2,3,18,10.4,-22,Jrue Holiday
2019-12-05,29-176,NOP,HOME,PHO,L (-7),1,41:09,10,18,.556,2,6,.333,1,3,.333,2,5,7,6,5,0,4,4,23,20.1,-2,Jrue Holiday
2019-12-07,29-178,NOP,AWAY,DAL,L (-46),1,24:38,7,15,.467,0,4,.000,0,0,,1,2,3,4,0,0,2,1,14,8.0,-28,Jrue Holiday
2019-12-09,29-180,NOP,HOME,DET,L (-2),1,34:59,10,21,.476,0,3,.000,0,4,.000,2,4,6,5,2,0,2,4,20,12.2,-1,Jrue Holiday
2019-12-11,29-182,NOP,AWAY,MIL,L (-15),1,37:34,8,11,.727,4,6,.667,1,2,.500,0,6,6,6,0,2,8,2,21,14.7,-11,Jrue Holiday
2019-12-13,29-184,NOP,AWAY,PHI,L (-7),1,34:34,4,18,.222,0,6,.000,4,5,.800,3,3,6,10,0,1,2,0,12,9.3,-4,Jrue Holiday
2019-12-15,29-186,NOP,HOME,ORL,L (-11),1,40:07,12,20,.600,4,7,.571,1,2,.500,2,2,4,8,1,1,4,1,29,24.3,-5,Jrue Holiday
2019-12-17,29-188,NOP,HOME,BRK,L (-7),1,37:40,9,28,.321,2,7,.286,1,1,1.000,2,3,5,6,1,2,0,5,21,11.9,+5,Jrue Holiday
2019-12-18,29-189,NOP,AWAY,MIN,W (+8),1,33:19,5,20,.250,3,6,.500,5,7,.714,2,1,3,3,2,0,2,1,18,8.6,-7,Jrue Holiday
2019-12-20,29-191,NOP,AWAY,GSW,L (-4),1,36:44,10,22,.455,3,6,.500,2,4,.500,2,6,8,4,0,0,3,0,25,15.8,-8,Jrue Holiday
2019-12-23,29-194,NOP,AWAY,POR,W (+8),1,37:31,7,21,.333,4,11,.364,3,3,1.000,1,5,6,5,1,0,2,1,21,13.4,+15,Jrue Holiday
2019-12-25,29-196,NOP,AWAY,DEN,W (+12),1,31:25,8,18,.444,1,7,.143,3,3,1.000,2,2,4,8,6,0,4,2,20,19.4,+18,Jrue Holiday
2019-12-28,29-199,NOP,HOME,IND,W (+22),1,28:47,9,16,.563,2,5,.400,0,0,,2,1,3,7,2,1,3,1,20,18.3,+15,Jrue Holiday
2019-12-29,29-200,NOP,HOME,HOU,W (+15),1,35:28,10,18,.556,4,9,.444,1,2,.500,1,1,2,5,0,2,0,1,25,21.5,+19,Jrue Holiday
2020-01-03,29-205,NOP,AWAY,LAL,L (-10),1,35:34,4,14,.286,0,4,.000,4,4,1.000,0,3,3,6,1,1,3,0,12,7.6,-12,Jrue Holiday
2020-01-04,29-206,NOP,AWAY,SAC,W (+2),1,34:28,7,17,.412,3,8,.375,2,2,1.000,0,5,5,7,1,0,3,2,19,13.5,-15,Jrue Holiday
2020-01-06,29-208,NOP,HOME,UTA,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jrue Holiday
2020-01-08,29-210,NOP,HOME,CHI,W (+15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jrue Holiday
2020-01-10,29-212,NOP,AWAY,NYK,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jrue Holiday
2020-01-11,29-213,NOP,AWAY,BOS,L (-35),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jrue Holiday
2020-01-13,29-215,NOP,AWAY,DET,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jrue Holiday
2020-01-16,29-218,NOP,HOME,UTA,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jrue Holiday
2020-01-18,29-220,NOP,HOME,LAC,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jrue Holiday
2020-01-20,29-222,NOP,AWAY,MEM,W (+10),1,32:09,12,18,.667,7,10,.700,5,5,1.000,0,6,6,1,2,1,4,3,36,28.2,+8,Jrue Holiday
