DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,26-024,NYK,AWAY,IND,L (-14),1,35:28,7,15,.467,0,2,.000,3,4,.750,1,8,9,9,0,0,5,5,17,11.3,-5,Julius Randle
2020-12-26,26-027,NYK,HOME,PHI,L (-20),1,34:35,11,15,.733,2,2,1.000,1,2,.500,3,4,7,3,1,0,4,4,25,19.3,-20,Julius Randle
2020-12-27,26-028,NYK,HOME,MIL,W (+20),1,37:07,8,17,.471,3,5,.600,10,11,.909,3,11,14,7,0,1,2,4,29,27.3,+12,Julius Randle
2020-12-29,26-030,NYK,AWAY,CLE,W (+9),1,44:09,9,16,.563,4,4,1.000,6,10,.600,1,11,12,11,1,0,9,4,28,20.9,+3,Julius Randle
2020-12-31,26-032,NYK,AWAY,TOR,L (-17),1,37:39,5,12,.417,0,4,.000,6,7,.857,1,9,10,5,0,1,3,4,16,12.2,-18,Julius Randle
2021-01-02,26-034,NYK,AWAY,IND,W (+4),1,37:02,5,16,.313,2,5,.400,0,0,,0,11,11,8,2,0,4,3,12,8.5,+6,Julius Randle
2021-01-04,26-036,NYK,AWAY,ATL,W (+5),1,43:11,11,19,.579,0,5,.000,6,8,.750,4,13,17,9,1,0,7,2,28,24.5,+5,Julius Randle
2021-01-06,26-038,NYK,HOME,UTA,W (+12),1,39:31,10,26,.385,0,5,.000,10,12,.833,3,13,16,7,0,0,5,4,30,19.3,+25,Julius Randle
2021-01-08,26-040,NYK,HOME,OKC,L (-12),1,30:42,8,15,.533,1,1,1.000,1,3,.333,0,12,12,7,1,0,2,5,18,15.4,-2,Julius Randle
2021-01-10,26-042,NYK,HOME,DEN,L (-25),1,38:29,11,16,.688,2,5,.400,5,6,.833,1,9,10,5,0,0,3,2,29,24.9,-21,Julius Randle
2021-01-11,26-043,NYK,AWAY,CHO,L (-21),1,30:21,2,9,.222,0,2,.000,7,8,.875,0,5,5,5,0,1,4,2,11,6.0,-20,Julius Randle
2021-01-13,26-045,NYK,HOME,BRK,L (-7),1,40:15,13,25,.520,2,7,.286,2,2,1.000,0,7,7,5,2,0,2,3,30,22.1,+1,Julius Randle
2021-01-15,26-047,NYK,AWAY,CLE,L (-3),1,38:03,11,20,.550,2,4,.500,4,5,.800,1,5,6,6,0,0,1,3,28,22.2,-1,Julius Randle
2021-01-17,26-049,NYK,AWAY,BOS,W (+30),1,31:03,7,14,.500,2,5,.400,4,5,.800,0,12,12,4,3,0,3,2,20,18.2,+29,Julius Randle
2021-01-18,26-050,NYK,HOME,ORL,W (+7),1,39:24,5,19,.263,2,6,.333,9,13,.692,3,14,17,1,0,0,0,4,21,13.5,+15,Julius Randle
2021-01-21,26-053,NYK,AWAY,GSW,W (+15),1,36:23,4,11,.364,1,2,.500,7,7,1.000,2,15,17,9,1,0,2,3,16,19.9,+14,Julius Randle
2021-01-22,26-054,NYK,AWAY,SAC,L (-9),1,35:53,8,17,.471,0,4,.000,10,11,.909,1,14,15,4,0,0,2,2,26,21.8,-5,Julius Randle
2021-01-24,26-056,NYK,AWAY,POR,L (-3),1,32:41,7,18,.389,1,1,1.000,10,11,.909,3,4,7,5,2,0,5,6,25,16.2,-4,Julius Randle
2021-01-26,26-058,NYK,AWAY,UTA,L (-14),1,35:00,6,16,.375,2,4,.500,4,4,1.000,2,8,10,4,0,0,2,4,18,12.2,-14,Julius Randle
2021-01-29,26-061,NYK,HOME,CLE,W (+21),1,35:09,7,13,.538,0,2,.000,2,3,.667,0,8,8,6,1,1,2,2,16,14.8,+14,Julius Randle
2021-01-31,26-063,NYK,HOME,LAC,L (-14),1,35:08,9,18,.500,4,5,.800,5,6,.833,2,10,12,5,0,0,3,4,27,20.9,-17,Julius Randle
2021-02-01,26-064,NYK,AWAY,CHI,L (-8),1,39:14,7,16,.438,1,4,.250,8,9,.889,1,10,11,7,2,0,5,3,23,18.6,-9,Julius Randle
2021-02-03,26-066,NYK,AWAY,CHI,W (+4),1,38:20,11,20,.550,5,7,.714,0,2,.000,1,5,6,6,2,0,3,2,27,21.2,+14,Julius Randle
2021-02-06,26-069,NYK,HOME,POR,W (+11),1,38:43,7,16,.438,2,4,.500,6,8,.750,2,9,11,4,0,0,1,5,22,16.7,+11,Julius Randle
2021-02-07,26-070,NYK,HOME,MIA,L (-6),1,37:57,10,18,.556,3,8,.375,3,4,.750,2,11,13,7,0,1,3,0,26,24.3,-11,Julius Randle
2021-02-09,26-072,NYK,AWAY,MIA,L (-2),1,36:40,4,18,.222,1,7,.143,3,4,.750,0,8,8,3,2,0,3,3,12,2.9,-4,Julius Randle
2021-02-12,26-075,NYK,AWAY,WAS,W (+18),1,32:26,8,15,.533,2,3,.667,6,7,.857,3,15,18,4,1,0,4,3,24,21.5,+17,Julius Randle
2021-02-13,26-076,NYK,HOME,HOU,W (+22),1,33:14,7,15,.467,1,2,.500,7,8,.875,1,8,9,2,0,1,1,2,22,17.3,+6,Julius Randle
2021-02-15,26-078,NYK,HOME,ATL,W (+11),1,40:56,14,22,.636,7,13,.538,9,12,.750,0,9,9,5,0,0,3,1,44,35.8,+17,Julius Randle
