DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,22-336,MIN,AWAY,SAS,L (-4),1,22:23,2,6,.333,1,2,.500,3,3,1.000,2,7,9,3,0,0,3,6,8,4.8,-4,Karl-Anthony Towns
2018-10-19,22-338,MIN,HOME,CLE,W (+8),1,34:41,4,10,.400,2,2,1.000,2,2,1.000,1,8,9,2,0,4,4,4,12,8.3,+2,Karl-Anthony Towns
2018-10-20,22-339,MIN,AWAY,DAL,L (-4),1,33:36,9,16,.563,4,6,.667,9,10,.900,1,4,5,2,1,1,0,5,31,26.0,-5,Karl-Anthony Towns
2018-10-22,22-341,MIN,HOME,IND,W (+10),1,32:58,6,12,.500,1,5,.200,4,4,1.000,2,13,15,0,0,2,3,4,17,13.1,+3,Karl-Anthony Towns
2018-10-24,22-343,MIN,AWAY,TOR,L (-7),1,35:24,5,17,.294,1,5,.200,3,3,1.000,2,6,8,1,1,3,4,1,14,6.7,-4,Karl-Anthony Towns
2018-10-26,22-345,MIN,HOME,MIL,L (-30),1,26:50,7,16,.438,2,5,.400,0,0,,3,4,7,1,1,2,1,3,16,11.8,-23,Karl-Anthony Towns
2018-10-29,22-348,MIN,HOME,LAL,W (+4),1,32:00,7,18,.389,3,6,.500,8,8,1.000,9,7,16,6,1,4,5,4,25,25.0,+5,Karl-Anthony Towns
2018-10-31,22-350,MIN,HOME,UTA,W (+3),1,40:08,9,17,.529,4,9,.444,6,8,.750,3,13,16,4,2,2,3,4,28,26.5,+10,Karl-Anthony Towns
2018-11-02,22-352,MIN,AWAY,GSW,L (-17),1,35:22,5,13,.385,2,6,.333,1,2,.500,1,10,11,1,2,1,2,0,13,10.6,-15,Karl-Anthony Towns
2018-11-04,22-354,MIN,AWAY,POR,L (-30),1,25:23,7,13,.538,2,4,.500,7,8,.875,0,5,5,3,0,0,1,3,23,17.7,-16,Karl-Anthony Towns
2018-11-05,22-355,MIN,AWAY,LAC,L (-11),1,35:38,8,13,.615,1,3,.333,3,3,1.000,3,9,12,2,3,4,3,3,20,21.9,-5,Karl-Anthony Towns
2018-11-07,22-357,MIN,AWAY,LAL,L (-4),1,38:50,5,16,.313,1,6,.167,2,2,1.000,2,7,9,1,1,3,6,3,13,3.9,+1,Karl-Anthony Towns
2018-11-09,22-359,MIN,AWAY,SAC,L (-11),1,39:36,15,27,.556,2,5,.400,7,7,1.000,9,10,19,1,0,1,4,4,39,31.2,-5,Karl-Anthony Towns
2018-11-12,22-362,MIN,HOME,BRK,W (+7),1,37:12,9,11,.818,2,2,1.000,5,6,.833,2,19,21,3,1,2,10,5,25,20.1,+7,Karl-Anthony Towns
2018-11-14,22-364,MIN,HOME,NOP,W (+7),1,34:46,9,17,.529,2,4,.500,5,5,1.000,5,11,16,3,0,2,5,5,25,20.0,+9,Karl-Anthony Towns
2018-11-16,23-001,MIN,HOME,POR,W (+16),1,33:33,6,15,.400,2,4,.500,0,0,,3,6,9,1,1,1,3,2,14,8.4,+8,Karl-Anthony Towns
2018-11-18,23-003,MIN,HOME,MEM,L (-13),1,38:20,6,10,.600,1,1,1.000,2,2,1.000,3,17,20,2,0,1,4,5,15,13.7,-11,Karl-Anthony Towns
2018-11-21,23-006,MIN,HOME,DEN,L (-2),1,28:02,7,14,.500,1,5,.200,7,9,.778,1,6,7,2,0,0,6,4,22,10.5,-10,Karl-Anthony Towns
2018-11-23,23-008,MIN,AWAY,BRK,W (+10),1,27:39,9,18,.500,1,4,.250,2,2,1.000,4,5,9,1,1,1,2,5,21,14.7,+19,Karl-Anthony Towns
2018-11-24,23-009,MIN,HOME,CHI,W (+15),1,37:20,13,23,.565,1,5,.200,8,10,.800,9,14,23,6,0,0,3,6,35,32.6,+17,Karl-Anthony Towns
2018-11-26,23-011,MIN,AWAY,CLE,W (+7),1,38:04,9,19,.474,2,7,.286,1,2,.500,2,8,10,1,1,0,2,0,21,14.4,-7,Karl-Anthony Towns
2018-11-28,23-013,MIN,HOME,SAS,W (+39),1,28:02,6,11,.545,2,4,.500,2,2,1.000,5,6,11,5,2,1,4,3,16,17.0,+18,Karl-Anthony Towns
2018-12-01,23-016,MIN,HOME,BOS,L (-9),1,37:36,6,15,.400,2,6,.333,6,6,1.000,2,7,9,1,1,1,2,4,20,14.2,-12,Karl-Anthony Towns
2018-12-03,23-018,MIN,HOME,HOU,W (+12),1,32:39,10,24,.417,1,3,.333,3,4,.750,4,7,11,3,3,1,3,5,24,16.5,+16,Karl-Anthony Towns
2018-12-05,23-020,MIN,HOME,CHO,W (+17),1,35:45,13,20,.650,4,5,.800,5,7,.714,4,8,12,3,2,6,2,4,35,35.3,+26,Karl-Anthony Towns
2018-12-08,23-023,MIN,AWAY,POR,L (-8),1,30:25,6,16,.375,2,6,.333,5,6,.833,3,7,10,2,1,1,2,5,19,13.1,-2,Karl-Anthony Towns
2018-12-10,23-025,MIN,AWAY,GSW,L (-8),1,34:03,11,15,.733,1,4,.250,8,12,.667,4,7,11,4,0,1,4,2,31,26.9,-7,Karl-Anthony Towns
2018-12-12,23-027,MIN,AWAY,SAC,L (-11),1,34:37,8,15,.533,2,5,.400,1,1,1.000,1,10,11,4,0,3,2,4,19,16.7,-1,Karl-Anthony Towns
2018-12-15,23-030,MIN,AWAY,PHO,L (-8),1,38:02,11,26,.423,1,7,.143,5,6,.833,4,8,12,4,2,2,0,4,28,23.6,-7,Karl-Anthony Towns
2018-12-17,23-032,MIN,HOME,SAC,W (+27),1,21:27,5,11,.455,2,3,.667,2,2,1.000,2,12,14,3,0,3,1,0,14,16.5,0,Karl-Anthony Towns
2018-12-19,23-034,MIN,HOME,DET,L (-6),1,40:53,6,15,.400,0,7,.000,4,6,.667,1,7,8,2,1,3,2,6,16,10.0,-9,Karl-Anthony Towns
2018-12-21,23-036,MIN,AWAY,SAS,L (-26),1,28:55,4,15,.267,1,5,.200,4,5,.800,0,6,6,4,1,0,1,3,13,7.1,-10,Karl-Anthony Towns
2018-12-23,23-038,MIN,AWAY,OKC,W (+2),1,27:03,5,9,.556,2,2,1.000,6,6,1.000,0,4,4,6,0,1,4,5,18,13.8,-6,Karl-Anthony Towns
2018-12-26,23-041,MIN,AWAY,CHI,W (+25),1,34:55,8,13,.615,2,2,1.000,2,3,.667,4,16,20,4,0,0,3,3,20,19.9,+30,Karl-Anthony Towns
2018-12-28,23-043,MIN,HOME,ATL,L (-3),1,42:38,10,17,.588,1,4,.250,10,15,.667,7,12,19,5,1,3,4,3,31,31.0,+1,Karl-Anthony Towns
