DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-22,29-176,LAC,AWAY,LAL,W (+7),1,34:01,10,26,.385,1,8,.125,5,5,1.000,0,2,2,3,2,0,3,5,26,11.5,+1,Kawhi Leonard
2020-12-25,29-179,LAC,AWAY,DEN,W (+13),1,30:21,8,14,.571,2,4,.500,3,3,1.000,2,3,5,7,4,1,2,4,21,22.7,+13,Kawhi Leonard
2020-12-27,29-181,LAC,HOME,DAL,L (-51),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kawhi Leonard
2020-12-29,29-183,LAC,HOME,MIN,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kawhi Leonard
2020-12-30,29-184,LAC,HOME,POR,W (+23),1,30:25,9,17,.529,3,5,.600,7,8,.875,1,2,3,7,3,1,0,4,28,27.6,+23,Kawhi Leonard
2021-01-01,29-186,LAC,AWAY,UTA,L (-6),1,38:41,8,19,.421,2,4,.500,2,4,.500,4,12,16,9,0,3,0,2,20,23.1,+8,Kawhi Leonard
2021-01-03,29-188,LAC,AWAY,PHO,W (+5),1,34:08,4,21,.190,0,3,.000,7,10,.700,1,5,6,3,1,1,2,0,15,4.7,-11,Kawhi Leonard
2021-01-05,29-190,LAC,HOME,SAS,L (-3),1,37:14,13,22,.591,1,3,.333,3,3,1.000,2,1,3,10,2,1,0,1,30,30.8,+14,Kawhi Leonard
2021-01-06,29-191,LAC,AWAY,GSW,W (+7),1,34:31,7,12,.583,0,3,.000,7,7,1.000,0,4,4,4,1,1,7,2,21,13.3,+14,Kawhi Leonard
2021-01-08,29-193,LAC,AWAY,GSW,L (-10),1,34:11,7,17,.412,3,5,.600,7,8,.875,0,3,3,4,2,0,2,2,24,17.4,-1,Kawhi Leonard
