DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,23-008,SAS,HOME,CHO,L (-27),1,29:39,8,17,.471,3,7,.429,1,2,.500,2,9,11,4,2,0,2,2,20,17.0,-11,Keldon Johnson
2022-10-21,23-010,SAS,AWAY,IND,W (+3),1,33:24,8,15,.533,4,9,.444,3,4,.750,0,3,3,6,1,0,2,4,23,17.8,+16,Keldon Johnson
2022-10-22,23-011,SAS,AWAY,PHI,W (+9),1,31:45,7,17,.412,3,8,.375,4,5,.800,2,6,8,0,1,0,3,1,21,12.3,+13,Keldon Johnson
2022-10-24,23-013,SAS,AWAY,MIN,W (+9),1,33:48,8,20,.400,1,6,.167,1,4,.250,0,3,3,4,2,0,1,0,18,10.7,+5,Keldon Johnson
2022-10-26,23-015,SAS,AWAY,MIN,L (-12),1,33:17,9,20,.450,5,10,.500,4,4,1.000,0,4,4,3,0,0,3,2,27,16.1,-2,Keldon Johnson
2022-10-28,23-017,SAS,HOME,CHI,W (+5),1,34:40,8,19,.421,6,12,.500,11,12,.917,0,3,3,4,2,0,4,2,33,23.4,+10,Keldon Johnson
2022-10-30,23-019,SAS,HOME,MIN,W (+9),1,38:03,8,15,.533,5,10,.500,4,4,1.000,0,6,6,8,1,1,5,1,25,21.4,+20,Keldon Johnson
2022-11-02,23-022,SAS,HOME,TOR,L (-43),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Keldon Johnson
2022-11-04,23-024,SAS,HOME,LAC,L (-7),1,34:25,7,19,.368,2,9,.222,0,1,.000,1,6,7,3,0,0,0,3,16,8.5,-12,Keldon Johnson
2022-11-05,23-025,SAS,AWAY,DEN,L (-25),1,31:08,8,14,.571,4,7,.571,5,6,.833,0,3,3,4,0,0,3,0,25,18.7,-16,Keldon Johnson
2022-11-07,23-027,SAS,HOME,DEN,L (-6),1,35:40,12,20,.600,5,11,.455,1,2,.500,1,4,5,2,2,0,6,2,30,18.9,-17,Keldon Johnson
2022-11-09,23-029,SAS,HOME,MEM,L (-2),1,39:44,4,15,.267,2,8,.250,6,10,.600,2,6,8,4,0,0,3,1,16,8.1,-13,Keldon Johnson
2022-11-11,23-031,SAS,HOME,MIL,W (+18),1,31:57,9,17,.529,5,8,.625,6,6,1.000,0,2,2,2,1,0,4,2,29,18.9,+7,Keldon Johnson
2022-11-14,23-034,SAS,AWAY,GSW,L (-37),1,18:35,5,15,.333,3,9,.333,2,2,1.000,0,1,1,1,0,0,1,0,15,6.5,-18,Keldon Johnson
2022-11-15,23-035,SAS,AWAY,POR,L (-7),1,34:03,6,14,.429,4,9,.444,4,5,.800,0,5,5,5,2,0,4,1,20,14.8,-7,Keldon Johnson
2022-11-17,23-037,SAS,AWAY,SAC,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Keldon Johnson
2022-11-19,23-039,SAS,AWAY,LAC,L (-22),1,27:37,5,15,.333,1,5,.200,0,0,,1,1,2,1,1,0,0,1,11,4.8,-18,Keldon Johnson
2022-11-20,23-040,SAS,AWAY,LAL,L (-31),1,31:00,4,20,.200,1,10,.100,3,5,.600,2,1,3,1,1,0,2,2,12,-0.6,-28,Keldon Johnson
2022-11-23,23-043,SAS,HOME,NOP,L (-19),1,16:06,2,9,.222,0,4,.000,1,1,1.000,0,1,1,0,0,0,1,1,5,-1.6,-20,Keldon Johnson
2022-11-25,23-045,SAS,HOME,LAL,L (-11),1,35:08,6,23,.261,1,8,.125,2,3,.667,3,6,9,2,1,0,2,2,15,4.4,-11,Keldon Johnson
2022-11-26,23-046,SAS,HOME,LAL,L (-5),1,36:31,10,28,.357,3,9,.333,3,5,.600,3,7,10,3,2,1,0,6,26,16.2,-13,Keldon Johnson
2022-11-30,23-050,SAS,AWAY,OKC,L (-8),1,35:47,5,22,.227,4,13,.308,5,8,.625,2,5,7,6,0,0,1,2,19,9.7,-8,Keldon Johnson
2022-12-02,23-052,SAS,HOME,NOP,L (-18),1,35:36,7,23,.304,1,8,.125,0,1,.000,1,5,6,3,0,0,2,3,15,2.4,-19,Keldon Johnson
2022-12-04,23-054,SAS,HOME,PHO,L (-38),1,32:53,11,23,.478,1,5,.200,4,6,.667,1,4,5,2,1,0,1,5,27,15.8,-24,Keldon Johnson
2022-12-08,23-058,SAS,HOME,HOU,W (+9),1,34:49,14,21,.667,3,6,.500,1,3,.333,1,6,7,1,0,0,3,1,32,21.9,+5,Keldon Johnson
2022-12-10,23-060,SAS,AWAY,MIA,W (+4),1,35:37,7,15,.467,0,2,.000,7,7,1.000,1,5,6,2,0,0,5,1,21,11.5,-7,Keldon Johnson
2022-12-12,23-062,SAS,HOME,CLE,W (+1),1,33:35,8,25,.320,1,6,.167,4,5,.800,2,4,6,2,0,1,2,1,21,8.6,+3,Keldon Johnson
2022-12-14,23-064,SAS,HOME,POR,L (-16),1,32:43,10,16,.625,1,3,.333,4,8,.500,1,6,7,2,0,0,1,1,25,18.7,-5,Keldon Johnson
2022-12-17,23-067,SAS,HOME,MIA,L (-10),1,33:25,6,14,.429,3,5,.600,7,7,1.000,0,2,2,3,1,0,2,3,22,15.1,+1,Keldon Johnson
2022-12-19,23-069,SAS,AWAY,HOU,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Keldon Johnson
2022-12-22,23-072,SAS,AWAY,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Keldon Johnson
2022-12-23,23-073,SAS,AWAY,ORL,L (-20),1,30:43,5,14,.357,2,7,.286,5,9,.556,0,4,4,4,1,0,2,2,17,9.8,-14,Keldon Johnson
2022-12-26,23-076,SAS,HOME,UTA,W (+4),1,36:15,9,14,.643,0,2,.000,3,4,.750,0,3,3,5,2,0,2,3,21,17.6,0,Keldon Johnson
2022-12-27,23-077,SAS,AWAY,OKC,L (-16),1,30:44,7,18,.389,2,6,.333,3,4,.750,0,3,3,2,0,0,2,1,19,8.7,-4,Keldon Johnson
2022-12-29,23-079,SAS,HOME,NYK,W (+7),1,31:46,11,21,.524,3,8,.375,5,5,1.000,1,2,3,1,0,2,2,3,30,19.9,-5,Keldon Johnson
2022-12-31,23-081,SAS,HOME,DAL,L (-1),1,35:32,10,19,.526,4,5,.800,6,7,.857,2,2,4,0,0,0,0,4,30,20.7,-2,Keldon Johnson
2023-01-02,23-083,SAS,AWAY,BRK,L (-36),1,24:54,7,13,.538,2,6,.333,6,7,.857,0,4,4,1,0,1,3,2,22,14.1,-21,Keldon Johnson
2023-01-04,23-085,SAS,AWAY,NYK,L (-3),1,35:00,7,16,.438,2,6,.333,10,12,.833,0,7,7,2,0,0,3,3,26,16.1,-3,Keldon Johnson
2023-01-06,23-087,SAS,HOME,DET,W (+12),1,12:45,3,6,.500,0,3,.000,2,2,1.000,0,0,0,1,0,0,0,1,8,5.3,+2,Keldon Johnson
