DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-22,27-308,LAL,HOME,LAC,L (-7),1,23:03,2,4,.500,1,3,.333,4,4,1.000,0,2,2,1,2,1,2,2,9,8.2,-9,Kentavious Caldwell-Pope
2020-12-25,27-311,LAL,HOME,DAL,W (+23),1,24:09,3,7,.429,2,6,.333,0,0,,0,0,0,2,1,2,0,4,8,6.5,+14,Kentavious Caldwell-Pope
2020-12-27,27-313,LAL,HOME,MIN,W (+36),1,23:14,3,3,1.000,0,0,,2,3,.667,0,2,2,2,1,0,0,1,8,9.3,+29,Kentavious Caldwell-Pope
2020-12-28,27-314,LAL,HOME,POR,L (-8),1,28:33,5,9,.556,4,5,.800,0,0,,0,1,1,0,0,0,3,0,14,7.0,+11,Kentavious Caldwell-Pope
2020-12-30,27-316,LAL,AWAY,SAS,W (+14),1,26:23,3,5,.600,2,3,.667,2,2,1.000,0,2,2,2,1,0,0,3,10,9.5,+6,Kentavious Caldwell-Pope
2021-01-01,27-318,LAL,AWAY,SAS,W (+6),1,17:08,4,8,.500,1,2,.500,2,2,1.000,2,0,2,1,0,0,0,1,11,8.7,+4,Kentavious Caldwell-Pope
2021-01-03,27-320,LAL,AWAY,MEM,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kentavious Caldwell-Pope
2021-01-05,27-322,LAL,AWAY,MEM,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kentavious Caldwell-Pope
2021-01-07,27-324,LAL,HOME,SAS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kentavious Caldwell-Pope
2021-01-08,27-325,LAL,HOME,CHI,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kentavious Caldwell-Pope
2021-01-10,27-327,LAL,AWAY,HOU,W (+18),1,22:20,3,9,.333,1,4,.250,0,0,,1,3,4,3,2,0,2,1,7,5.2,+14,Kentavious Caldwell-Pope
2021-01-12,27-329,LAL,AWAY,HOU,W (+17),1,20:06,5,9,.556,4,5,.800,0,0,,2,1,3,1,3,0,0,1,14,14.7,+19,Kentavious Caldwell-Pope
2021-01-13,27-330,LAL,AWAY,OKC,W (+29),1,19:54,4,6,.667,2,4,.500,0,0,,0,3,3,1,1,0,0,2,10,9.2,+24,Kentavious Caldwell-Pope
2021-01-15,27-332,LAL,HOME,NOP,W (+17),1,24:42,6,11,.545,4,6,.667,0,0,,0,1,1,1,1,0,1,0,16,11.7,+15,Kentavious Caldwell-Pope
2021-01-18,27-335,LAL,HOME,GSW,L (-2),1,22:54,1,3,.333,1,3,.333,1,1,1.000,1,2,3,2,0,0,1,2,4,3.2,-2,Kentavious Caldwell-Pope
2021-01-21,27-338,LAL,AWAY,MIL,W (+7),1,27:19,7,10,.700,7,10,.700,2,2,1.000,0,3,3,0,0,1,2,0,23,18.4,+8,Kentavious Caldwell-Pope
2021-01-23,27-340,LAL,AWAY,CHI,W (+11),1,22:54,2,4,.500,1,3,.333,0,0,,0,4,4,1,1,0,1,2,5,4.1,+13,Kentavious Caldwell-Pope
2021-01-25,27-342,LAL,AWAY,CLE,W (+7),1,27:52,3,10,.300,1,8,.125,3,4,.750,0,1,1,2,0,0,0,5,10,3.5,-1,Kentavious Caldwell-Pope
2021-01-27,27-344,LAL,AWAY,PHI,L (-1),1,27:08,1,3,.333,1,2,.500,0,0,,0,3,3,2,1,0,1,0,3,3.6,+1,Kentavious Caldwell-Pope
2021-01-28,27-345,LAL,AWAY,DET,L (-15),1,27:55,3,7,.429,0,1,.000,0,0,,0,2,2,1,0,1,1,2,6,2.5,-20,Kentavious Caldwell-Pope
2021-01-30,27-347,LAL,AWAY,BOS,W (+1),1,20:12,0,4,.000,0,2,.000,0,0,,0,2,2,0,0,0,2,1,0,-4.6,-4,Kentavious Caldwell-Pope
2021-02-01,27-349,LAL,AWAY,ATL,W (+8),1,27:20,4,13,.308,3,6,.500,0,0,,0,0,0,2,0,0,0,2,11,4.1,+11,Kentavious Caldwell-Pope
2021-02-04,27-352,LAL,HOME,DEN,W (+21),1,27:42,4,7,.571,1,3,.333,1,1,1.000,0,2,2,1,0,0,1,2,10,6.2,+15,Kentavious Caldwell-Pope
2021-02-06,27-354,LAL,HOME,DET,W (+6),1,41:37,2,6,.333,0,1,.000,0,0,,1,4,5,3,1,1,1,2,4,4.5,+15,Kentavious Caldwell-Pope
2021-02-08,27-356,LAL,HOME,OKC,W (+7),1,34:07,2,5,.400,0,2,.000,4,6,.667,0,4,4,2,0,1,1,2,8,6.0,+6,Kentavious Caldwell-Pope
2021-02-10,27-358,LAL,HOME,OKC,W (+1),1,20:31,2,6,.333,0,2,.000,0,0,,0,2,2,1,0,0,1,2,4,0.1,-3,Kentavious Caldwell-Pope
2021-02-12,27-360,LAL,HOME,MEM,W (+10),1,19:51,1,2,.500,1,2,.500,0,0,,0,1,1,2,1,0,3,0,3,1.7,-5,Kentavious Caldwell-Pope
2021-02-14,27-362,LAL,AWAY,DEN,L (-17),1,18:45,2,6,.333,1,4,.250,2,2,1.000,0,1,1,0,2,1,0,2,7,5.8,-5,Kentavious Caldwell-Pope
2021-02-16,27-364,LAL,AWAY,MIN,W (+8),1,31:01,3,11,.273,1,5,.200,0,0,,1,2,3,0,1,0,1,0,7,1.8,-2,Kentavious Caldwell-Pope
2021-02-18,28-000,LAL,HOME,BRK,L (-11),1,28:34,3,8,.375,1,5,.200,2,2,1.000,1,0,1,1,0,0,3,3,9,1.8,-10,Kentavious Caldwell-Pope
2021-02-20,28-002,LAL,HOME,MIA,L (-2),1,35:18,3,5,.600,3,5,.600,2,2,1.000,1,2,3,4,1,1,2,2,11,11.7,+4,Kentavious Caldwell-Pope
2021-02-22,28-004,LAL,HOME,WAS,L (-3),1,39:53,8,15,.533,4,8,.500,1,1,1.000,2,1,3,1,1,0,1,1,21,15.7,-6,Kentavious Caldwell-Pope
2021-02-24,28-006,LAL,AWAY,UTA,L (-25),1,24:26,1,5,.200,0,4,.000,3,4,.750,1,2,3,1,0,0,1,2,5,1.7,-7,Kentavious Caldwell-Pope
2021-02-26,28-008,LAL,HOME,POR,W (+9),1,24:35,2,5,.400,1,3,.333,0,0,,1,0,1,2,1,0,1,1,5,4.0,+3,Kentavious Caldwell-Pope
2021-02-28,28-010,LAL,HOME,GSW,W (+26),1,22:49,1,5,.200,1,3,.333,6,8,.750,1,4,5,2,2,0,2,3,9,7.2,+13,Kentavious Caldwell-Pope
2021-03-02,28-012,LAL,HOME,PHO,L (-10),1,31:20,1,9,.111,0,5,.000,2,2,1.000,0,5,5,1,2,0,0,3,4,1.1,-11,Kentavious Caldwell-Pope
2021-03-03,28-013,LAL,AWAY,SAC,L (-3),1,29:09,4,4,1.000,2,2,1.000,0,0,,0,1,1,2,0,0,0,1,10,10.1,+20,Kentavious Caldwell-Pope
2021-03-12,28-022,LAL,HOME,IND,W (+5),1,27:53,2,6,.333,0,2,.000,3,3,1.000,1,4,5,1,1,0,1,1,7,5.8,-10,Kentavious Caldwell-Pope
2021-03-15,28-025,LAL,AWAY,GSW,W (+31),1,20:54,5,8,.625,3,4,.750,1,1,1.000,0,4,4,1,1,1,0,0,14,14.0,+9,Kentavious Caldwell-Pope
2021-03-16,28-026,LAL,HOME,MIN,W (+16),1,26:57,2,5,.400,2,4,.500,2,2,1.000,0,3,3,5,0,0,1,1,8,8.3,+4,Kentavious Caldwell-Pope
2021-03-18,28-028,LAL,HOME,CHO,W (+11),1,29:12,3,6,.500,1,3,.333,0,0,,0,2,2,0,1,1,0,2,7,5.5,-2,Kentavious Caldwell-Pope
2021-03-20,28-030,LAL,HOME,ATL,L (-5),1,20:44,0,5,.000,0,0,,0,1,.000,0,2,2,0,1,0,1,0,0,-3.3,-18,Kentavious Caldwell-Pope
2021-03-21,28-031,LAL,AWAY,PHO,L (-17),1,30:11,2,7,.286,1,4,.250,2,2,1.000,1,0,1,1,0,0,1,1,7,2.9,-17,Kentavious Caldwell-Pope
2021-03-23,28-033,LAL,AWAY,NOP,L (-17),1,21:30,1,7,.143,1,3,.333,0,0,,0,0,0,3,0,0,1,2,3,-1.2,-11,Kentavious Caldwell-Pope
2021-03-25,28-035,LAL,HOME,PHI,L (-8),1,30:33,6,10,.600,3,5,.600,4,4,1.000,0,4,4,3,2,0,1,0,19,18.7,-1,Kentavious Caldwell-Pope
2021-03-26,28-036,LAL,HOME,CLE,W (+14),1,28:29,2,8,.250,1,5,.200,2,2,1.000,0,2,2,0,1,0,3,2,7,0.0,+4,Kentavious Caldwell-Pope
2021-03-28,28-038,LAL,HOME,ORL,W (+3),1,30:06,1,4,.250,0,3,.000,2,3,.667,2,1,3,3,1,1,0,3,4,5.5,-5,Kentavious Caldwell-Pope
2021-03-31,28-041,LAL,HOME,MIL,L (-15),1,22:10,0,4,.000,0,1,.000,2,3,.667,1,2,3,1,0,0,2,2,2,-2.0,-6,Kentavious Caldwell-Pope
2021-04-02,28-043,LAL,AWAY,SAC,W (+21),1,36:30,4,11,.364,4,7,.571,1,2,.500,0,10,10,3,0,1,2,4,13,8.7,+23,Kentavious Caldwell-Pope
2021-04-04,28-045,LAL,AWAY,LAC,L (-18),1,33:07,3,9,.333,2,6,.333,0,0,,1,2,3,1,3,0,3,2,8,4.1,-20,Kentavious Caldwell-Pope
2021-04-06,28-047,LAL,AWAY,TOR,W (+9),1,25:41,4,5,.800,2,2,1.000,3,3,1.000,0,3,3,3,0,0,0,1,13,13.7,-1,Kentavious Caldwell-Pope
2021-04-08,28-049,LAL,AWAY,MIA,L (-6),1,39:02,11,20,.550,6,11,.545,0,0,,1,3,4,1,0,1,1,3,28,19.2,+5,Kentavious Caldwell-Pope
2021-04-10,28-051,LAL,AWAY,BRK,W (+25),1,32:06,5,10,.500,4,6,.667,0,0,,0,3,3,5,0,0,1,2,14,11.6,+7,Kentavious Caldwell-Pope
2021-04-12,28-053,LAL,AWAY,NYK,L (-15),1,28:04,5,10,.500,2,4,.500,0,0,,1,3,4,4,1,1,3,1,12,9.7,-6,Kentavious Caldwell-Pope
2021-04-13,28-054,LAL,AWAY,CHO,W (+8),1,34:23,3,7,.429,1,5,.200,2,2,1.000,0,3,3,2,0,2,0,1,9,8.6,+12,Kentavious Caldwell-Pope
2021-04-15,28-056,LAL,HOME,BOS,L (-8),1,23:23,1,7,.143,0,3,.000,0,1,.000,0,3,3,2,3,0,0,3,2,1.2,-3,Kentavious Caldwell-Pope
