DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-24,35-025,PHO,AWAY,GSW,W (+4),1,36:47,7,22,.318,1,2,.500,3,5,.600,2,9,11,3,0,1,2,1,18,9.1,0,Kevin Durant
2023-10-26,35-027,PHO,AWAY,LAL,L (-5),1,39:23,14,28,.500,1,5,.200,10,13,.769,0,11,11,2,1,1,8,2,39,21.4,+18,Kevin Durant
2023-10-28,35-029,PHO,HOME,UTA,W (+22),1,29:25,8,11,.727,1,4,.250,9,9,1.000,0,4,4,7,1,1,2,1,26,26.9,+30,Kevin Durant
2023-10-31,35-032,PHO,HOME,SAS,L (-1),1,37:19,12,19,.632,1,3,.333,1,2,.500,0,2,2,7,2,0,5,0,26,19.6,+3,Kevin Durant
2023-11-02,35-034,PHO,HOME,SAS,L (-11),1,36:38,10,15,.667,3,5,.600,5,9,.556,0,6,6,1,0,2,3,3,28,19.6,-17,Kevin Durant
2023-11-04,35-036,PHO,AWAY,PHI,L (-12),1,36:09,9,20,.450,1,4,.250,12,14,.857,1,7,8,3,1,2,5,1,31,21.7,-13,Kevin Durant
2023-11-05,35-037,PHO,AWAY,DET,W (+14),1,34:35,14,27,.519,1,3,.333,12,12,1.000,0,4,4,5,1,2,3,1,41,31.4,+7,Kevin Durant
2023-11-08,35-040,PHO,AWAY,CHI,W (+1),1,42:20,7,16,.438,2,5,.400,9,9,1.000,1,6,7,9,2,1,6,2,25,21.3,+5,Kevin Durant
2023-11-10,35-042,PHO,HOME,LAL,L (-3),1,38:36,13,27,.481,4,6,.667,8,10,.800,1,8,9,5,0,0,4,4,38,24.5,+8,Kevin Durant
2023-11-12,35-044,PHO,HOME,OKC,L (-12),1,36:14,7,18,.389,3,5,.600,11,11,1.000,0,9,9,4,1,2,3,1,28,22.7,-13,Kevin Durant
2023-11-15,35-047,PHO,HOME,MIN,W (+18),1,35:22,11,15,.733,2,2,1.000,7,7,1.000,0,6,6,6,0,1,2,3,31,28.4,+27,Kevin Durant
2023-11-17,35-049,PHO,AWAY,UTA,W (+3),1,33:23,15,22,.682,6,8,.750,2,2,1.000,0,9,9,9,0,0,1,1,38,36.2,-8,Kevin Durant
2023-11-19,35-051,PHO,AWAY,UTA,W (+3),1,46:19,14,27,.519,4,9,.444,7,7,1.000,0,8,8,10,2,2,7,2,39,30.7,+4,Kevin Durant
2023-11-21,35-053,PHO,HOME,POR,W (+13),1,37:14,13,21,.619,2,2,1.000,3,3,1.000,0,4,4,9,0,1,3,4,31,25.1,+20,Kevin Durant
2023-11-22,35-054,PHO,HOME,GSW,W (+8),1,34:13,7,14,.500,3,4,.750,15,15,1.000,0,8,8,2,0,2,6,2,32,23.4,+5,Kevin Durant
2023-11-24,35-056,PHO,AWAY,MEM,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kevin Durant
2023-11-26,35-058,PHO,AWAY,NYK,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Kevin Durant
