DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-19,25-255,GSW,AWAY,LAL,W (+7),1,15:28,3,5,.600,0,0,,1,2,.500,2,2,4,1,1,1,1,0,7,7.7,-8,Kevon Looney
2021-10-21,25-257,GSW,HOME,LAC,W (+2),1,14:07,2,3,.667,0,0,,2,2,1.000,4,3,7,1,0,1,0,4,6,8.2,+8,Kevon Looney
2021-10-24,25-260,GSW,AWAY,SAC,W (+12),1,18:56,3,5,.600,0,0,,2,2,1.000,1,3,4,1,0,1,0,1,8,8.3,-6,Kevon Looney
2021-10-26,25-262,GSW,AWAY,OKC,W (+8),1,18:04,2,5,.400,0,0,,1,2,.500,2,6,8,0,1,0,0,3,5,4.9,-1,Kevon Looney
2021-10-28,25-264,GSW,HOME,MEM,L (-3),1,10:42,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,1,3,4,1.8,+2,Kevon Looney
2021-10-30,25-266,GSW,HOME,OKC,W (+21),1,18:17,3,4,.750,0,0,,1,2,.500,3,5,8,1,0,3,1,3,7,9.2,+18,Kevon Looney
2021-11-03,25-270,GSW,HOME,CHO,W (+22),1,14:37,3,3,1.000,0,0,,1,4,.250,0,6,6,1,1,0,3,1,7,5.0,0,Kevon Looney
2021-11-05,25-272,GSW,HOME,NOP,W (+41),1,11:04,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,0,3,0,-0.3,+4,Kevon Looney
2021-11-07,25-274,GSW,HOME,HOU,W (+13),1,16:18,1,2,.500,0,0,,1,3,.333,0,3,3,1,1,1,0,1,3,4.1,+8,Kevon Looney
2021-11-08,25-275,GSW,HOME,ATL,W (+14),1,17:22,2,3,.667,0,0,,2,2,1.000,1,5,6,1,0,0,0,3,6,6.4,+8,Kevon Looney
2021-11-10,25-277,GSW,HOME,MIN,W (+13),1,28:56,5,11,.455,0,0,,1,2,.500,12,5,17,1,2,1,1,4,11,15.6,+3,Kevon Looney
2021-11-12,25-279,GSW,HOME,CHI,W (+26),1,20:27,1,5,.200,0,0,,2,2,1.000,3,7,10,1,0,0,0,0,4,5.8,+14,Kevon Looney
2021-11-14,25-281,GSW,AWAY,CHO,L (-4),1,20:18,2,4,.500,0,0,,2,4,.500,3,5,8,3,0,0,1,2,6,7.1,-7,Kevon Looney
2021-11-16,25-283,GSW,AWAY,BRK,W (+18),1,14:38,1,2,.500,0,0,,2,2,1.000,1,3,4,0,0,2,0,3,4,4.8,+11,Kevon Looney
2021-11-18,25-285,GSW,AWAY,CLE,W (+15),1,19:27,1,3,.333,0,0,,0,0,,1,3,4,2,1,0,0,3,2,3.1,-17,Kevon Looney
2021-11-19,25-286,GSW,AWAY,DET,W (+3),1,26:30,1,6,.167,0,0,,0,0,,4,8,12,2,0,1,2,4,2,1.9,+6,Kevon Looney
2021-11-21,25-288,GSW,HOME,TOR,W (+15),1,26:17,3,4,.750,0,0,,1,4,.250,5,5,10,4,2,2,1,2,7,13.6,+25,Kevon Looney
2021-11-24,25-291,GSW,HOME,PHI,W (+20),1,22:37,3,6,.500,0,0,,0,0,,1,4,5,0,1,2,0,3,6,6.1,+10,Kevon Looney
2021-11-26,25-293,GSW,HOME,POR,W (+15),1,20:03,6,7,.857,0,0,,0,0,,3,4,7,0,0,0,0,3,12,11.6,-3,Kevon Looney
2021-11-28,25-295,GSW,AWAY,LAC,W (+15),1,13:31,1,1,1.000,0,0,,0,1,.000,2,1,3,1,2,0,2,2,2,2.9,-4,Kevon Looney
2021-11-30,25-297,GSW,AWAY,PHO,L (-8),1,17:23,2,6,.333,0,0,,1,2,.500,4,2,6,1,0,1,2,1,5,3.6,-17,Kevon Looney
2021-12-03,25-300,GSW,HOME,PHO,W (+22),1,14:47,1,4,.250,0,0,,0,0,,1,5,6,2,0,1,0,4,2,2.3,+7,Kevon Looney
2021-12-04,25-301,GSW,HOME,SAS,L (-5),1,13:07,1,3,.333,0,1,.000,0,1,.000,2,1,3,0,0,0,1,3,2,-0.6,-20,Kevon Looney
2021-12-06,25-303,GSW,HOME,ORL,W (+31),1,12:35,2,3,.667,0,0,,3,4,.750,3,2,5,1,0,0,0,2,7,7.9,-5,Kevon Looney
2021-12-08,25-305,GSW,HOME,POR,W (+10),1,17:33,5,8,.625,0,0,,1,2,.500,1,5,6,2,1,0,0,3,11,10.4,+13,Kevon Looney
2021-12-11,25-308,GSW,AWAY,PHI,L (-9),1,25:08,4,6,.667,0,0,,1,2,.500,1,7,8,4,0,2,2,3,9,9.8,+12,Kevon Looney
2021-12-13,25-310,GSW,AWAY,IND,W (+2),1,27:01,7,10,.700,0,0,,0,0,,2,6,8,3,0,0,0,3,14,13.9,+10,Kevon Looney
