DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,19-351,UTA,HOME,SAC,L (-16),0,18:53,3,5,.600,1,3,.333,1,1,1.000,0,2,2,2,0,0,1,0,8,6.7,-9,Keyonte George
2023-10-27,19-353,UTA,HOME,LAC,W (+2),0,12:00,3,5,.600,2,3,.667,0,0,,1,2,3,2,0,0,1,2,8,6.6,-3,Keyonte George
2023-10-28,19-354,UTA,AWAY,PHO,L (-22),0,27:02,4,12,.333,2,8,.250,2,2,1.000,2,5,7,6,1,0,2,0,12,11.3,-8,Keyonte George
2023-10-30,19-356,UTA,AWAY,DEN,L (-8),0,19:58,1,6,.167,1,4,.250,0,0,,1,0,1,2,1,0,0,0,3,2.3,-12,Keyonte George
2023-11-01,19-358,UTA,HOME,MEM,W (+24),0,23:26,4,8,.500,1,4,.250,0,0,,0,1,1,3,1,1,3,0,9,6.1,+10,Keyonte George
2023-11-02,19-359,UTA,HOME,ORL,L (-2),0,16:43,1,2,.500,1,1,1.000,3,5,.600,0,2,2,3,0,0,2,1,6,4.5,-5,Keyonte George
2023-11-04,19-361,UTA,AWAY,MIN,L (-28),0,27:14,3,6,.500,1,4,.250,1,2,.500,0,0,0,4,0,0,3,2,8,3.6,-15,Keyonte George
2023-11-06,19-363,UTA,AWAY,CHI,L (-17),0,20:37,2,5,.400,1,3,.333,0,0,,0,2,2,4,0,0,2,1,5,3.3,-15,Keyonte George
2023-11-08,20-000,UTA,AWAY,IND,L (-16),1,30:52,3,8,.375,1,3,.333,0,0,,0,2,2,9,0,0,1,2,7,7.7,-11,Keyonte George
2023-11-10,20-002,UTA,AWAY,MEM,W (+6),1,29:32,2,12,.167,1,6,.167,2,2,1.000,0,3,3,11,0,1,2,1,7,6.3,+1,Keyonte George
2023-11-14,20-006,UTA,HOME,POR,W (+16),1,26:20,4,9,.444,2,7,.286,5,5,1.000,0,4,4,7,1,0,2,2,15,14.6,+8,Keyonte George
2023-11-17,20-009,UTA,HOME,PHO,L (-3),1,28:58,5,11,.455,3,6,.500,2,3,.667,0,3,3,6,1,0,3,2,15,11.2,+2,Keyonte George
2023-11-19,20-011,UTA,HOME,PHO,L (-3),1,34:01,2,12,.167,0,5,.000,3,4,.750,2,3,5,11,1,0,5,2,7,4.2,-9,Keyonte George
2023-11-21,20-013,UTA,AWAY,LAL,L (-32),1,21:20,3,11,.273,1,5,.200,2,2,1.000,1,2,3,2,1,0,2,2,9,3.4,-21,Keyonte George
2023-11-22,20-014,UTA,AWAY,POR,L (-16),1,33:39,3,9,.333,3,6,.500,7,7,1.000,0,3,3,7,1,0,0,2,16,16.9,-1,Keyonte George
2023-11-25,20-017,UTA,HOME,NOP,W (+5),1,27:02,4,13,.308,4,9,.444,3,5,.600,0,6,6,5,0,0,5,1,15,6.6,-2,Keyonte George
2023-11-27,20-019,UTA,HOME,NOP,W (+2),1,31:07,6,14,.429,3,8,.375,4,6,.667,1,4,5,3,2,0,2,0,19,14.8,-1,Keyonte George
2023-11-29,20-021,UTA,AWAY,MEM,L (-14),1,23:41,2,6,.333,2,4,.500,2,2,1.000,1,2,3,2,0,0,2,0,8,5.3,-7,Keyonte George
2023-11-30,20-022,UTA,AWAY,MIN,L (-11),1,32:46,4,19,.211,1,6,.167,3,3,1.000,1,3,4,4,0,0,2,2,12,1.9,-11,Keyonte George
2023-12-02,20-024,UTA,HOME,POR,W (+5),1,35:38,7,17,.412,1,8,.125,6,10,.600,2,4,6,6,0,0,4,2,21,12.3,+1,Keyonte George
2023-12-06,20-028,UTA,AWAY,DAL,L (-50),1,31:43,2,11,.182,0,4,.000,3,4,.750,0,4,4,11,0,1,5,0,7,4.3,-48,Keyonte George
2023-12-08,20-030,UTA,HOME,LAC,L (-14),1,28:17,5,11,.455,2,5,.400,3,5,.600,0,0,0,3,1,0,1,1,15,10.2,-25,Keyonte George
2023-12-11,20-033,UTA,AWAY,OKC,L (-14),1,32:59,10,17,.588,5,9,.556,5,5,1.000,0,3,3,7,1,0,3,0,30,25.9,+5,Keyonte George
2023-12-13,20-035,UTA,HOME,NYK,W (+4),1,3:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0,-3.1,0,Keyonte George
2023-12-14,20-036,UTA,AWAY,POR,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Keyonte George
2023-12-16,20-038,UTA,AWAY,SAC,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Keyonte George
2023-12-18,20-040,UTA,HOME,BRK,W (+17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Keyonte George
2023-12-20,20-042,UTA,AWAY,CLE,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Keyonte George
2023-12-21,20-043,UTA,AWAY,DET,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Keyonte George
2023-12-23,20-045,UTA,AWAY,TOR,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Keyonte George
2023-12-26,20-048,UTA,AWAY,SAS,W (+12),0,24:25,4,11,.364,2,5,.400,0,1,.000,0,0,0,4,1,0,2,3,10,4.1,+8,Keyonte George
2023-12-28,20-050,UTA,AWAY,NOP,L (-7),0,21:38,1,7,.143,1,5,.200,1,2,.500,0,3,3,5,0,0,2,1,4,1.1,-13,Keyonte George
2023-12-30,20-052,UTA,HOME,MIA,W (+8),0,27:37,6,10,.600,5,8,.625,4,5,.800,0,6,6,2,0,0,2,3,21,16.0,+14,Keyonte George
2024-01-01,20-054,UTA,HOME,DAL,W (+37),0,28:55,3,8,.375,2,6,.333,6,6,1.000,0,3,3,3,0,0,0,1,14,12.2,+38,Keyonte George
2024-01-03,20-056,UTA,HOME,DET,W (+6),0,22:44,2,9,.222,1,4,.250,0,0,,0,2,2,2,1,0,1,1,5,1.1,+4,Keyonte George
2024-01-05,20-058,UTA,AWAY,BOS,L (-29),0,20:21,4,10,.400,2,7,.286,2,2,1.000,1,3,4,1,0,0,1,0,12,7.9,-16,Keyonte George
2024-01-06,20-059,UTA,AWAY,PHI,W (+11),0,16:01,2,4,.500,0,2,.000,2,2,1.000,0,2,2,3,0,0,2,2,6,3.9,+5,Keyonte George
2024-01-08,20-061,UTA,AWAY,MIL,W (+16),0,22:27,7,13,.538,4,9,.444,1,1,1.000,0,6,6,4,0,0,2,0,19,15.3,+7,Keyonte George
2024-01-10,20-063,UTA,HOME,DEN,W (+13),0,22:18,2,7,.286,1,4,.250,1,2,.500,0,1,1,3,1,0,1,0,6,3.9,+7,Keyonte George
2024-01-12,20-065,UTA,HOME,TOR,W (+32),0,24:12,3,10,.300,0,5,.000,3,3,1.000,0,3,3,6,0,0,3,0,9,5.3,+12,Keyonte George
2024-01-13,20-066,UTA,HOME,LAL,W (+7),0,26:31,5,11,.455,3,9,.333,6,6,1.000,0,3,3,3,1,0,1,0,19,16.3,-6,Keyonte George
2024-01-15,20-068,UTA,HOME,IND,W (+27),0,23:44,6,11,.545,3,7,.429,4,5,.800,0,0,0,5,1,0,2,1,19,15.4,+13,Keyonte George
2024-01-18,20-071,UTA,HOME,OKC,L (-5),0,13:55,1,5,.200,1,2,.500,0,0,,0,1,1,2,0,0,2,0,3,-0.4,-9,Keyonte George
2024-01-20,20-073,UTA,AWAY,HOU,L (-1),0,9:45,1,3,.333,1,2,.500,0,0,,0,1,1,2,0,0,3,1,3,-0.4,-13,Keyonte George
2024-01-23,20-076,UTA,AWAY,NOP,L (-29),0,24:49,1,8,.125,1,4,.250,9,10,.900,0,1,1,5,1,0,0,2,12,10.4,-18,Keyonte George
2024-01-25,20-078,UTA,AWAY,WAS,W (+15),0,31:08,1,6,.167,0,2,.000,3,4,.750,0,4,4,7,0,0,3,0,5,3.9,+13,Keyonte George
2024-01-27,20-080,UTA,AWAY,CHO,W (+12),0,12:39,2,5,.400,1,4,.250,5,5,1.000,0,0,0,1,0,0,1,1,10,6.6,-7,Keyonte George
2024-01-29,20-082,UTA,AWAY,BRK,L (-33),0,26:41,6,11,.545,3,7,.429,6,7,.857,0,4,4,3,0,0,1,1,21,17.2,-26,Keyonte George
2024-01-30,20-083,UTA,AWAY,NYK,L (-15),0,22:30,6,12,.500,1,5,.200,2,2,1.000,0,2,2,1,0,0,2,2,15,7.5,-6,Keyonte George
2024-02-01,20-085,UTA,HOME,PHI,L (-3),0,21:00,5,9,.556,1,4,.250,0,0,,0,3,3,3,0,0,2,1,11,7.3,-1,Keyonte George
2024-02-04,20-088,UTA,HOME,MIL,W (+15),0,24:47,7,13,.538,5,9,.556,0,0,,0,10,10,2,0,0,3,2,19,13.3,+16,Keyonte George
2024-02-06,20-090,UTA,HOME,OKC,W (+7),0,26:54,6,11,.545,4,6,.667,0,0,,1,1,2,5,1,1,1,0,16,15.9,+6,Keyonte George
2024-02-08,20-092,UTA,AWAY,PHO,L (-14),0,30:27,4,11,.364,0,5,.000,3,4,.750,0,0,0,6,1,0,1,0,11,8.7,-1,Keyonte George
2024-02-12,20-096,UTA,HOME,GSW,L (-22),1,29:19,2,10,.200,1,6,.167,0,0,,0,1,1,4,0,0,2,1,5,-0.5,-32,Keyonte George
2024-02-14,20-098,UTA,HOME,LAL,L (-16),1,32:59,5,9,.556,3,5,.600,0,0,,0,5,5,7,2,0,2,3,13,13.9,-5,Keyonte George
2024-02-15,20-099,UTA,HOME,GSW,L (-3),1,40:33,11,22,.500,9,16,.563,2,3,.667,0,2,2,6,3,0,2,6,33,25.0,+7,Keyonte George
2024-02-22,20-106,UTA,HOME,CHO,L (-8),1,31:07,7,14,.500,2,8,.250,0,0,,0,3,3,5,0,0,5,2,16,7.6,+7,Keyonte George
2024-02-25,20-109,UTA,HOME,SAS,W (+19),1,30:20,3,13,.231,1,4,.250,0,0,,0,3,3,6,1,1,3,0,7,2.9,+11,Keyonte George
2024-02-27,20-111,UTA,AWAY,ATL,L (-27),1,33:30,5,15,.333,4,9,.444,0,0,,0,1,1,6,0,0,2,1,14,7.6,-14,Keyonte George
2024-02-29,20-113,UTA,AWAY,ORL,L (-8),1,31:07,5,12,.417,2,4,.500,7,7,1.000,0,3,3,9,1,0,2,0,19,18.8,-4,Keyonte George
2024-03-02,20-115,UTA,AWAY,MIA,L (-6),1,43:08,12,23,.522,6,14,.429,1,2,.500,0,4,4,4,0,0,5,0,31,18.3,-8,Keyonte George
2024-03-04,20-117,UTA,HOME,WAS,W (+12),1,5:46,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-1.4,-6,Keyonte George
2024-03-06,20-119,UTA,HOME,CHI,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Keyonte George
2024-03-09,20-122,UTA,AWAY,DEN,L (-21),1,38:23,10,17,.588,5,8,.625,4,5,.800,0,5,5,6,0,0,4,2,29,21.6,-2,Keyonte George
2024-03-12,20-125,UTA,HOME,BOS,L (-16),1,35:07,9,17,.529,5,10,.500,3,4,.750,0,1,1,6,0,2,3,5,26,18.2,-26,Keyonte George
2024-03-15,20-128,UTA,HOME,ATL,W (+2),1,34:31,8,19,.421,1,7,.143,8,8,1.000,0,4,4,5,2,0,2,2,25,18.8,0,Keyonte George
2024-03-16,20-129,UTA,HOME,MIN,L (-19),1,29:49,5,16,.313,1,7,.143,7,8,.875,0,3,3,2,0,0,4,2,18,5.9,-13,Keyonte George
2024-03-18,20-131,UTA,HOME,MIN,L (-10),1,29:48,6,12,.500,2,3,.667,1,1,1.000,0,3,3,8,1,0,6,0,15,10.5,-5,Keyonte George
2024-03-20,20-133,UTA,AWAY,OKC,L (-12),1,27:59,3,14,.214,0,7,.000,3,3,1.000,0,7,7,2,0,0,2,1,9,1.5,-23,Keyonte George
2024-03-21,20-134,UTA,AWAY,DAL,L (-16),1,33:04,6,16,.375,1,6,.167,5,5,1.000,0,2,2,5,1,0,6,0,18,8.3,-9,Keyonte George
2024-03-23,20-136,UTA,AWAY,HOU,L (-28),1,31:26,4,13,.308,2,9,.222,5,6,.833,0,4,4,5,0,0,2,0,15,9.8,-30,Keyonte George
2024-03-25,20-138,UTA,HOME,DAL,L (-10),1,35:06,2,11,.182,0,6,.000,2,2,1.000,0,5,5,6,2,0,3,2,6,3.0,-1,Keyonte George
2024-03-27,20-140,UTA,HOME,SAS,L (-7),1,39:35,5,12,.417,2,6,.333,2,2,1.000,0,1,1,8,0,0,5,2,14,7.7,-5,Keyonte George
2024-03-29,20-142,UTA,HOME,HOU,L (-1),1,29:08,3,12,.250,0,4,.000,0,0,,0,1,1,6,0,0,6,3,6,-3.9,-12,Keyonte George
2024-03-31,20-144,UTA,AWAY,SAC,L (-21),1,36:55,4,14,.286,3,10,.300,7,7,1.000,0,2,2,2,1,0,2,2,18,10.0,-14,Keyonte George
2024-04-02,20-146,UTA,HOME,CLE,L (-16),1,36:19,2,11,.182,1,5,.200,4,4,1.000,0,4,4,3,0,0,4,1,9,1.0,-19,Keyonte George
2024-04-05,20-149,UTA,AWAY,LAC,L (-29),1,18:47,2,9,.222,0,4,.000,2,2,1.000,0,2,2,5,0,0,5,2,6,-1.2,-13,Keyonte George
2024-04-07,20-151,UTA,AWAY,GSW,L (-8),1,34:14,8,16,.500,4,11,.364,5,5,1.000,0,2,2,1,0,0,1,1,25,16.9,-2,Keyonte George
2024-04-09,20-153,UTA,HOME,DEN,L (-16),1,30:02,4,11,.364,2,9,.222,0,0,,1,2,3,5,0,0,5,0,10,3.7,-15,Keyonte George
2024-04-11,20-155,UTA,HOME,HOU,W (+3),1,32:55,7,14,.500,2,6,.333,4,5,.800,0,4,4,5,2,0,5,3,20,13.1,-2,Keyonte George
2024-04-12,20-156,UTA,AWAY,LAC,W (+1),1,28:18,5,15,.333,2,7,.286,2,3,.667,0,1,1,2,0,0,5,1,14,1.4,-4,Keyonte George
2024-04-14,20-158,UTA,AWAY,GSW,L (-7),1,20:08,8,11,.727,5,6,.833,0,1,.000,0,1,1,4,0,0,1,1,21,17.8,+13,Keyonte George
