DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-18,32-252,GSW,HOME,LAL,W (+14),1,19:39,6,13,.462,2,6,.333,4,5,.800,0,2,2,3,1,0,2,3,18,11.4,+11,Klay Thompson
2022-10-21,32-255,GSW,HOME,DEN,L (-5),1,23:34,6,14,.429,4,10,.400,0,0,,1,3,4,3,0,0,4,0,16,8.3,+9,Klay Thompson
2022-10-23,32-257,GSW,HOME,SAC,W (+5),1,27:03,3,10,.300,2,7,.286,0,0,,0,4,4,3,0,0,1,1,8,4.1,+15,Klay Thompson
2022-10-25,32-259,GSW,AWAY,PHO,L (-29),1,18:32,1,8,.125,0,5,.000,0,0,,0,0,0,2,0,1,0,3,2,-2.3,-12,Klay Thompson
2022-10-27,32-261,GSW,HOME,MIA,W (+13),1,29:02,6,19,.316,5,14,.357,2,2,1.000,0,2,2,1,0,0,1,1,19,8.0,+7,Klay Thompson
2022-10-29,32-263,GSW,AWAY,CHO,L (-7),1,31:49,5,14,.357,1,7,.143,0,0,,0,4,4,3,0,0,0,1,11,6.1,-16,Klay Thompson
2022-10-30,32-264,GSW,AWAY,DET,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Klay Thompson
2022-11-01,32-266,GSW,AWAY,MIA,L (-7),1,30:37,7,19,.368,4,12,.333,1,1,1.000,0,3,3,2,1,1,4,1,19,8.1,+6,Klay Thompson
2022-11-03,32-268,GSW,AWAY,ORL,L (-1),1,34:01,10,24,.417,7,15,.467,0,0,,1,3,4,3,1,0,0,2,27,18.1,+13,Klay Thompson
2022-11-04,32-269,GSW,AWAY,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Klay Thompson
2022-11-07,32-272,GSW,HOME,SAC,W (+3),1,37:57,6,18,.333,3,10,.300,1,2,.500,0,2,2,3,1,2,3,4,16,5.9,+10,Klay Thompson
2022-11-11,32-276,GSW,HOME,CLE,W (+5),1,29:27,3,13,.231,2,7,.286,1,2,.500,1,4,5,1,1,0,1,2,9,2.5,+3,Klay Thompson
2022-11-13,32-278,GSW,AWAY,SAC,L (-7),1,32:28,6,16,.375,5,13,.385,0,0,,0,7,7,3,1,1,2,1,17,11.7,-1,Klay Thompson
2022-11-14,32-279,GSW,HOME,SAS,W (+37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Klay Thompson
2022-11-16,32-281,GSW,AWAY,PHO,L (-11),1,29:34,6,17,.353,3,9,.333,4,4,1.000,0,5,5,2,0,0,3,5,19,7.4,-8,Klay Thompson
2022-11-18,32-283,GSW,HOME,NYK,W (+10),1,31:24,8,16,.500,4,10,.400,0,0,,1,2,3,2,0,0,1,2,20,12.9,+18,Klay Thompson
2022-11-20,32-285,GSW,AWAY,HOU,W (+7),1,35:34,14,23,.609,10,13,.769,3,4,.750,2,2,4,3,2,0,2,1,41,33.8,+14,Klay Thompson
2022-11-21,32-286,GSW,AWAY,NOP,L (-45),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Klay Thompson
2022-11-23,32-288,GSW,HOME,LAC,W (+17),1,27:13,5,10,.500,3,7,.429,5,6,.833,0,0,0,0,2,0,4,1,18,10.2,+11,Klay Thompson
2022-11-25,32-290,GSW,HOME,UTA,W (+11),1,35:07,7,16,.438,6,12,.500,0,0,,1,5,6,1,0,0,1,1,20,13.1,+9,Klay Thompson
2022-11-27,32-292,GSW,AWAY,MIN,W (+23),1,29:56,8,13,.615,5,8,.625,0,0,,0,2,2,2,2,1,1,2,21,18.0,+31,Klay Thompson
2022-11-29,32-294,GSW,AWAY,DAL,L (-3),1,31:02,2,9,.222,1,6,.167,0,0,,0,7,7,2,0,0,1,1,5,1.6,-21,Klay Thompson
2022-12-02,32-297,GSW,HOME,CHI,W (+8),1,36:50,9,21,.429,3,13,.231,5,5,1.000,1,4,5,6,0,0,1,2,26,19.2,+11,Klay Thompson
2022-12-03,32-298,GSW,HOME,HOU,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Klay Thompson
2022-12-05,32-300,GSW,HOME,IND,L (-8),1,36:34,9,23,.391,8,16,.500,2,2,1.000,2,0,2,4,0,1,0,1,28,20.0,+1,Klay Thompson
2022-12-07,32-302,GSW,AWAY,UTA,L (-1),1,35:42,8,25,.320,4,11,.364,2,2,1.000,0,2,2,3,1,3,2,2,22,10.7,-7,Klay Thompson
2022-12-10,32-305,GSW,HOME,BOS,W (+16),1,35:46,14,26,.538,4,11,.364,2,2,1.000,2,3,5,2,2,1,1,5,34,24.8,+9,Klay Thompson
2022-12-13,32-308,GSW,AWAY,MIL,L (-17),1,27:08,6,16,.375,2,7,.286,0,0,,1,0,1,2,0,0,1,1,14,5.9,-21,Klay Thompson
