DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,28-030,MEM,HOME,CLE,W (+11),0,21:50,3,7,.429,2,5,.400,2,2,1.000,0,7,7,4,2,0,0,2,10,12.4,-10,Kyle Anderson
2021-10-23,28-033,MEM,AWAY,LAC,W (+6),0,16:54,1,9,.111,0,1,.000,2,2,1.000,3,4,7,1,1,1,0,0,4,3.8,-6,Kyle Anderson
2021-10-24,28-034,MEM,AWAY,LAL,L (-3),0,19:38,1,8,.125,0,2,.000,0,0,,1,1,2,0,0,1,0,2,2,-2.3,-15,Kyle Anderson
2021-10-27,28-037,MEM,AWAY,POR,L (-20),0,22:23,2,6,.333,1,2,.500,1,2,.500,2,4,6,3,1,0,2,2,6,5.1,-16,Kyle Anderson
2021-10-28,28-038,MEM,AWAY,GSW,W (+3),0,29:12,3,7,.429,0,1,.000,2,2,1.000,3,6,9,3,0,2,1,2,8,9.9,-5,Kyle Anderson
2021-10-30,28-040,MEM,HOME,MIA,L (-26),0,19:18,5,7,.714,3,4,.750,0,0,,0,2,2,2,1,1,2,0,13,11.8,-4,Kyle Anderson
2021-11-01,28-042,MEM,HOME,DEN,W (+9),0,25:31,4,10,.400,1,4,.250,0,0,,1,8,9,3,1,0,0,0,9,9.8,+3,Kyle Anderson
2021-11-03,28-044,MEM,HOME,DEN,W (+2),0,23:28,7,11,.636,2,3,.667,0,0,,0,3,3,1,0,0,0,4,16,11.1,-6,Kyle Anderson
2021-11-05,28-046,MEM,AWAY,WAS,L (-28),0,19:08,0,4,.000,0,0,,0,0,,0,4,4,4,2,0,2,3,0,0.0,-8,Kyle Anderson
2021-11-08,28-049,MEM,HOME,MIN,W (+7),0,28:29,5,8,.625,2,2,1.000,0,1,.000,3,6,9,7,0,1,1,2,12,15.7,+15,Kyle Anderson
2021-11-10,28-051,MEM,HOME,CHO,L (-10),0,24:38,5,11,.455,0,2,.000,2,4,.500,1,6,7,2,2,0,2,2,12,8.6,-16,Kyle Anderson
2021-11-12,28-053,MEM,HOME,PHO,L (-25),0,17:55,1,4,.250,0,1,.000,2,2,1.000,1,1,2,1,2,0,1,1,4,3.9,-15,Kyle Anderson
2021-11-13,28-054,MEM,AWAY,NOP,L (-11),0,24:20,5,9,.556,1,3,.333,2,2,1.000,1,3,4,2,0,0,0,1,13,11.3,+5,Kyle Anderson
2021-11-15,28-056,MEM,HOME,HOU,W (+34),0,17:43,6,9,.667,3,5,.600,0,0,,0,5,5,1,1,1,1,3,15,12.8,+3,Kyle Anderson
2021-11-18,28-059,MEM,HOME,LAC,W (+12),0,21:45,3,6,.500,0,1,.000,0,0,,1,2,3,3,1,1,1,1,6,6.7,-12,Kyle Anderson
2021-11-20,28-061,MEM,AWAY,MIN,L (-43),1,20:11,1,5,.200,0,2,.000,0,0,,0,4,4,2,0,0,1,2,2,-0.3,-28,Kyle Anderson
2021-11-22,28-063,MEM,AWAY,UTA,W (+1),1,23:24,4,6,.667,1,2,.500,0,0,,2,6,8,4,1,0,2,0,9,11.4,+2,Kyle Anderson
2021-11-24,28-065,MEM,HOME,TOR,L (-13),0,24:27,5,8,.625,1,2,.500,0,0,,1,5,6,2,0,0,2,1,11,8.6,-17,Kyle Anderson
2021-11-26,28-067,MEM,HOME,ATL,L (-32),0,16:26,0,8,.000,0,5,.000,0,0,,0,3,3,1,1,0,0,0,0,-3.0,-21,Kyle Anderson
2021-11-28,28-069,MEM,HOME,SAC,W (+27),0,18:32,3,6,.500,1,2,.500,0,0,,1,4,5,4,1,0,2,1,7,7.3,+11,Kyle Anderson
2021-11-30,28-071,MEM,AWAY,TOR,W (+7),0,19:22,2,5,.400,0,1,.000,2,2,1.000,2,3,5,0,1,2,0,1,6,7.6,-11,Kyle Anderson
2021-12-02,28-073,MEM,HOME,OKC,W (+73),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2021-12-04,28-075,MEM,AWAY,DAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2021-12-06,28-077,MEM,AWAY,MIA,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2021-12-08,28-079,MEM,HOME,DAL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2021-12-09,28-080,MEM,HOME,LAL,W (+13),0,15:20,3,7,.429,1,2,.500,0,0,,0,4,4,4,0,2,0,1,7,8.3,+7,Kyle Anderson
2021-12-11,28-082,MEM,HOME,HOU,W (+7),1,30:33,5,6,.833,0,1,.000,6,14,.429,1,6,7,4,3,1,3,3,16,15.4,+15,Kyle Anderson
2021-12-13,28-084,MEM,HOME,PHI,W (+35),0,18:11,3,6,.500,1,1,1.000,2,2,1.000,0,3,3,3,4,0,1,2,9,11.2,+15,Kyle Anderson
2021-12-15,28-086,MEM,AWAY,POR,W (+10),0,27:16,4,10,.400,0,2,.000,5,7,.714,0,11,11,3,3,2,2,0,13,14.6,+25,Kyle Anderson
2021-12-17,28-088,MEM,AWAY,SAC,W (+19),0,19:15,2,7,.286,1,1,1.000,1,2,.500,0,6,6,6,0,0,0,0,6,7.5,+27,Kyle Anderson
2021-12-19,28-090,MEM,HOME,POR,L (-5),0,27:53,5,14,.357,0,1,.000,1,3,.333,0,4,4,1,4,1,2,2,11,6.2,-6,Kyle Anderson
2021-12-20,28-091,MEM,HOME,OKC,L (-3),0,21:39,2,6,.333,0,0,,0,0,,2,5,7,2,0,0,0,1,4,4.5,-16,Kyle Anderson
2021-12-23,28-094,MEM,AWAY,GSW,L (-9),0,19:31,3,5,.600,2,3,.667,0,0,,0,5,5,2,0,1,0,2,8,8.5,+8,Kyle Anderson
2021-12-26,28-097,MEM,AWAY,SAC,W (+25),0,26:23,5,8,.625,1,3,.333,3,4,.750,0,3,3,3,0,0,1,2,14,11.2,+1,Kyle Anderson
2021-12-27,28-098,MEM,AWAY,PHO,W (+1),0,23:09,1,5,.200,0,1,.000,0,0,,1,5,6,1,2,1,3,4,2,-0.1,-7,Kyle Anderson
2021-12-29,28-100,MEM,HOME,LAL,W (+5),1,29:51,3,5,.600,0,2,.000,2,2,1.000,1,3,4,2,0,0,0,2,8,7.9,+10,Kyle Anderson
2021-12-31,28-102,MEM,HOME,SAS,W (+13),1,24:13,2,8,.250,0,1,.000,0,0,,0,4,4,2,0,0,2,2,4,-1.0,-4,Kyle Anderson
2022-01-03,28-105,MEM,AWAY,BRK,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-04,28-106,MEM,AWAY,CLE,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-06,28-108,MEM,HOME,DET,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-08,28-110,MEM,AWAY,LAC,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-09,28-111,MEM,AWAY,LAL,W (+8),1,28:45,6,11,.545,0,3,.000,2,2,1.000,1,6,7,8,2,2,1,1,14,18.8,+14,Kyle Anderson
2022-01-11,28-113,MEM,HOME,GSW,W (+8),1,24:12,4,8,.500,0,0,,0,0,,3,1,4,2,3,1,2,1,8,9.1,+3,Kyle Anderson
2022-01-13,28-115,MEM,HOME,MIN,W (+8),1,22:30,3,7,.429,0,0,,0,2,.000,2,4,6,3,0,1,1,1,6,5.5,-8,Kyle Anderson
2022-01-14,28-116,MEM,HOME,DAL,L (-27),0,18:47,4,10,.400,2,2,1.000,2,2,1.000,1,4,5,1,0,0,0,0,12,9.2,-6,Kyle Anderson
2022-01-17,28-119,MEM,HOME,CHI,W (+13),0,20:58,2,5,.400,0,1,.000,0,0,,0,5,5,2,3,1,3,3,4,3.7,+6,Kyle Anderson
2022-01-19,28-121,MEM,AWAY,MIL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-21,28-123,MEM,AWAY,DEN,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-23,28-125,MEM,AWAY,DAL,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-26,28-128,MEM,AWAY,SAS,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-28,28-130,MEM,HOME,UTA,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Anderson
2022-01-29,28-131,MEM,HOME,WAS,W (+20),0,23:26,2,5,.400,0,0,,0,0,,2,7,9,4,0,0,0,0,4,7.6,+5,Kyle Anderson
2022-01-31,28-133,MEM,AWAY,PHI,L (-3),0,19:55,1,2,.500,0,0,,1,2,.500,0,1,1,3,3,0,0,2,3,6.2,-3,Kyle Anderson
2022-02-02,28-135,MEM,AWAY,NYK,W (+12),0,14:28,2,7,.286,0,1,.000,0,1,.000,0,1,1,5,1,1,1,3,4,2.8,+4,Kyle Anderson
2022-02-05,28-138,MEM,AWAY,ORL,W (+20),0,19:29,1,5,.200,0,0,,5,7,.714,2,4,6,1,0,2,1,1,7,6.4,+11,Kyle Anderson
2022-02-08,28-141,MEM,HOME,LAC,W (+26),0,24:29,5,10,.500,0,1,.000,1,1,1.000,2,6,8,0,3,0,0,1,11,11.8,+19,Kyle Anderson
2022-02-10,28-143,MEM,AWAY,DET,W (+25),0,26:06,6,11,.545,0,1,.000,1,2,.500,3,8,11,2,1,1,2,5,13,10.9,+28,Kyle Anderson
2022-02-12,28-145,MEM,AWAY,CHO,W (+7),0,17:20,1,2,.500,0,1,.000,0,0,,0,7,7,6,0,0,2,3,2,4.1,+11,Kyle Anderson
2022-02-15,28-148,MEM,AWAY,NOP,W (+12),0,16:01,0,2,.000,0,0,,0,0,,0,1,1,4,1,0,1,0,0,1.7,+10,Kyle Anderson
2022-02-16,28-149,MEM,HOME,POR,L (-4),0,7:32,0,1,.000,0,0,,2,5,.400,0,1,1,1,2,0,0,0,2,3.1,-1,Kyle Anderson
2022-02-24,28-157,MEM,AWAY,MIN,L (-5),0,13:52,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,3,1,2,-1.8,+6,Kyle Anderson
2022-02-26,28-159,MEM,AWAY,CHI,W (+6),0,28:32,3,6,.500,0,0,,0,0,,5,6,11,3,0,3,1,4,6,9.9,+1,Kyle Anderson
2022-02-28,28-161,MEM,HOME,SAS,W (+13),0,24:19,4,7,.571,1,1,1.000,0,0,,2,7,9,6,0,1,0,1,9,13.7,+19,Kyle Anderson
2022-03-03,28-164,MEM,AWAY,BOS,L (-13),0,24:19,3,7,.429,0,1,.000,0,0,,1,4,5,4,6,0,0,3,6,11.8,+10,Kyle Anderson
