DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-18,23-086,LAL,AWAY,POR,L (-9),0,28:54,5,15,.333,1,7,.143,4,5,.800,0,5,5,0,1,0,1,3,15,6.4,-12,Kyle Kuzma
2018-10-20,23-088,LAL,HOME,HOU,L (-9),0,25:01,5,13,.385,1,5,.200,0,0,,1,1,2,3,0,2,0,4,11,6.8,-14,Kyle Kuzma
2018-10-22,23-090,LAL,HOME,SAS,L (-1),1,45:08,15,25,.600,4,10,.400,3,4,.750,0,8,8,3,0,0,2,1,37,27.2,-3,Kyle Kuzma
2018-10-24,23-092,LAL,AWAY,PHO,W (+18),1,29:28,7,15,.467,0,2,.000,3,3,1.000,1,3,4,1,0,1,0,1,17,11.9,+13,Kyle Kuzma
2018-10-25,23-093,LAL,HOME,DEN,W (+7),1,34:17,8,18,.444,2,6,.333,4,4,1.000,0,3,3,0,1,2,1,4,22,13.3,+7,Kyle Kuzma
2018-10-27,23-095,LAL,AWAY,SAS,L (-4),1,31:06,6,14,.429,3,8,.375,0,0,,1,3,4,1,0,0,0,3,15,8.7,-1,Kyle Kuzma
2018-10-29,23-097,LAL,AWAY,MIN,L (-4),1,32:16,8,18,.444,2,7,.286,1,2,.500,2,4,6,3,0,0,0,2,19,13.1,-6,Kyle Kuzma
2018-10-31,23-099,LAL,HOME,DAL,W (+1),1,30:35,7,11,.636,1,2,.500,3,4,.750,1,7,8,3,0,1,3,3,18,14.1,+12,Kyle Kuzma
2018-11-03,23-102,LAL,AWAY,POR,W (+4),1,28:35,5,10,.500,1,3,.333,1,3,.333,0,6,6,0,0,1,1,3,12,6.5,-15,Kyle Kuzma
2018-11-04,23-103,LAL,HOME,TOR,L (-14),1,31:41,10,16,.625,0,4,.000,4,5,.800,0,5,5,2,0,0,3,3,24,15.1,-18,Kyle Kuzma
2018-11-07,23-106,LAL,HOME,MIN,W (+4),1,32:38,8,15,.533,4,7,.571,1,2,.500,0,2,2,1,1,0,2,2,21,12.8,+3,Kyle Kuzma
2018-11-10,23-109,LAL,AWAY,SAC,W (+15),1,31:28,5,13,.385,1,5,.200,0,0,,1,2,3,3,2,0,1,1,11,7.9,0,Kyle Kuzma
2018-11-11,23-110,LAL,HOME,ATL,W (+1),1,31:33,8,18,.444,1,6,.167,1,1,1.000,4,4,8,1,2,0,1,3,18,13.1,+14,Kyle Kuzma
2018-11-14,23-113,LAL,HOME,POR,W (+9),1,25:04,3,8,.375,1,2,.500,0,0,,0,5,5,0,1,0,1,0,7,4.1,+5,Kyle Kuzma
2018-11-17,23-116,LAL,AWAY,ORL,L (-13),1,27:09,3,10,.300,1,4,.250,1,2,.500,0,6,6,0,0,2,5,2,8,-0.8,-7,Kyle Kuzma
2018-11-18,23-117,LAL,AWAY,MIA,W (+16),1,21:06,7,12,.583,1,3,.333,0,0,,0,1,1,1,1,0,1,2,15,9.6,+2,Kyle Kuzma
2018-11-21,23-120,LAL,AWAY,CLE,W (+4),1,28:41,4,9,.444,2,5,.400,2,2,1.000,0,5,5,0,0,2,2,3,12,7.0,+13,Kyle Kuzma
2018-11-23,23-122,LAL,HOME,UTA,W (+7),1,28:55,4,12,.333,1,5,.200,0,1,.000,0,6,6,0,2,0,1,2,9,3.8,+5,Kyle Kuzma
2018-11-25,23-124,LAL,HOME,ORL,L (-4),1,34:45,7,15,.467,2,4,.500,5,7,.714,1,3,4,5,1,0,1,1,21,17.2,+11,Kyle Kuzma
2018-11-27,23-126,LAL,AWAY,DEN,L (-32),1,31:01,9,15,.600,1,7,.143,2,2,1.000,1,2,3,3,0,1,2,3,21,15.0,-19,Kyle Kuzma
2018-11-29,23-128,LAL,HOME,IND,W (+8),1,33:01,4,9,.444,1,5,.200,2,3,.667,0,9,9,2,0,0,1,3,11,7.8,+8,Kyle Kuzma
2018-11-30,23-129,LAL,HOME,DAL,W (+11),1,36:56,4,12,.333,3,7,.429,4,7,.571,0,12,12,6,0,0,2,1,15,12.4,+13,Kyle Kuzma
