DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,19-123,CHO,AWAY,CLE,L (-7),0,15:48,0,5,.000,0,3,.000,0,0,,0,1,1,3,2,0,3,2,0,-2.9,+2,LaMelo Ball
2020-12-26,19-126,CHO,HOME,OKC,L (-2),0,15:19,5,10,.500,2,4,.500,1,2,.500,2,3,5,1,1,0,2,1,13,9.2,-11,LaMelo Ball
2020-12-27,19-127,CHO,HOME,BRK,W (+2),0,20:01,2,6,.333,2,3,.667,0,0,,0,5,5,5,1,0,3,4,6,4.0,-4,LaMelo Ball
2020-12-30,19-130,CHO,AWAY,DAL,W (+19),0,29:25,7,10,.700,4,5,.800,4,4,1.000,4,4,8,5,1,1,2,3,22,23.8,+8,LaMelo Ball
2021-01-01,19-132,CHO,HOME,MEM,L (-15),0,26:42,6,14,.429,2,7,.286,1,2,.500,1,2,3,6,2,0,2,2,15,11.9,0,LaMelo Ball
2021-01-02,19-133,CHO,AWAY,PHI,L (-15),0,30:41,4,12,.333,1,4,.250,4,6,.667,2,2,4,5,4,2,2,4,13,12.7,-10,LaMelo Ball
2021-01-04,19-135,CHO,AWAY,PHI,L (-17),0,30:25,5,16,.313,0,5,.000,2,3,.667,2,5,7,9,2,0,2,2,12,10.8,-9,LaMelo Ball
2021-01-06,19-137,CHO,AWAY,ATL,W (+8),0,23:40,5,11,.455,1,4,.250,2,2,1.000,2,6,8,5,0,0,1,2,13,12.2,0,LaMelo Ball
2021-01-08,19-139,CHO,AWAY,NOP,W (+8),0,25:34,4,11,.364,1,5,.200,3,4,.750,4,6,10,9,1,0,3,3,12,13.2,+5,LaMelo Ball
2021-01-09,19-140,CHO,HOME,ATL,W (+8),0,31:10,9,13,.692,3,5,.600,1,2,.500,3,9,12,11,1,0,1,4,22,27.0,+18,LaMelo Ball
2021-01-11,19-142,CHO,HOME,NYK,W (+21),0,29:34,3,13,.231,2,6,.333,0,0,,1,13,14,7,3,1,1,2,8,11.5,+4,LaMelo Ball
2021-01-13,19-144,CHO,HOME,DAL,L (-11),0,25:25,2,8,.250,0,4,.000,0,1,.000,0,7,7,5,0,0,2,3,4,1.2,-15,LaMelo Ball
2021-01-14,19-145,CHO,AWAY,TOR,L (-3),0,26:05,6,14,.429,2,5,.400,0,0,,2,4,6,11,3,1,5,2,14,14.8,-4,LaMelo Ball
2021-01-16,19-147,CHO,AWAY,TOR,L (-3),0,22:59,4,11,.364,2,6,.333,1,2,.500,2,3,5,4,0,0,1,3,11,7.4,-19,LaMelo Ball
2021-01-22,19-153,CHO,HOME,CHI,L (-13),0,16:34,3,7,.429,0,2,.000,1,1,1.000,0,1,1,2,2,0,5,1,7,1.6,-15,LaMelo Ball
