DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,25-150,UTA,HOME,DEN,W (+21),1,33:03,6,12,.500,3,7,.429,2,2,1.000,0,4,4,4,2,0,1,3,17,14.8,+4,Lauri Markkanen
2022-10-21,25-152,UTA,AWAY,MIN,W (+6),1,39:08,10,23,.435,2,10,.200,2,2,1.000,5,8,13,5,0,1,1,1,24,20.6,+7,Lauri Markkanen
2022-10-23,25-154,UTA,AWAY,NOP,W (+1),1,39:16,9,17,.529,2,6,.333,11,11,1.000,3,9,12,2,2,1,2,3,31,28.4,+6,Lauri Markkanen
2022-10-24,25-155,UTA,AWAY,HOU,L (-6),1,30:54,7,19,.368,0,6,.000,0,3,.000,3,3,6,1,0,0,1,0,14,5.0,+1,Lauri Markkanen
2022-10-26,25-157,UTA,HOME,HOU,W (+8),1,34:00,10,15,.667,1,4,.250,3,4,.750,1,8,9,3,0,1,4,1,24,18.6,+10,Lauri Markkanen
2022-10-28,25-159,UTA,AWAY,DEN,L (-16),1,25:56,7,14,.500,3,6,.500,0,0,,2,8,10,1,0,0,3,3,17,10.3,-10,Lauri Markkanen
2022-10-29,25-160,UTA,HOME,MEM,W (+1),1,37:56,9,21,.429,2,9,.222,3,3,1.000,2,7,9,5,1,1,2,1,23,18.2,+9,Lauri Markkanen
2022-10-31,25-162,UTA,HOME,MEM,W (+16),1,31:34,11,15,.733,4,6,.667,5,6,.833,4,7,11,2,1,4,2,2,31,31.8,+15,Lauri Markkanen
2022-11-02,25-164,UTA,AWAY,DAL,L (-3),1,33:32,6,10,.600,0,4,.000,2,3,.667,0,7,7,0,0,0,2,3,14,7.9,+3,Lauri Markkanen
2022-11-04,25-166,UTA,AWAY,LAL,W (+14),1,32:42,9,17,.529,3,9,.333,6,6,1.000,3,10,13,4,1,1,1,1,27,26.9,+4,Lauri Markkanen
2022-11-06,25-168,UTA,AWAY,LAC,W (+8),1,33:21,5,9,.556,1,3,.333,7,7,1.000,2,7,9,3,1,1,2,3,18,17.8,+8,Lauri Markkanen
2022-11-07,25-169,UTA,HOME,LAL,W (+23),1,27:44,10,15,.667,1,4,.250,2,3,.667,1,2,3,2,0,1,1,2,23,17.7,+14,Lauri Markkanen
2022-11-09,25-171,UTA,AWAY,ATL,W (+6),1,31:21,9,18,.500,6,8,.750,8,8,1.000,2,6,8,0,0,1,3,2,32,23.1,-12,Lauri Markkanen
2022-11-12,25-174,UTA,AWAY,WAS,L (-9),1,31:13,8,14,.571,1,3,.333,0,0,,1,4,5,1,0,2,1,0,17,13.4,-23,Lauri Markkanen
2022-11-13,25-175,UTA,AWAY,PHI,L (-7),1,34:08,6,13,.462,2,5,.400,1,4,.250,3,7,10,0,0,0,4,1,15,6.9,-15,Lauri Markkanen
2022-11-15,25-177,UTA,HOME,NYK,L (-7),1,29:32,5,11,.455,2,5,.400,1,2,.500,4,2,6,4,0,2,2,4,13,10.9,+16,Lauri Markkanen
2022-11-18,25-180,UTA,HOME,PHO,W (+1),1,34:36,15,18,.833,2,3,.667,6,8,.750,1,5,6,3,1,0,1,2,38,34.1,+5,Lauri Markkanen
2022-11-19,25-181,UTA,AWAY,POR,W (+5),1,32:28,7,13,.538,3,5,.600,6,8,.750,3,7,10,2,1,0,3,4,23,17.9,-2,Lauri Markkanen
2022-11-21,25-183,UTA,AWAY,LAC,L (-7),1,38:49,10,21,.476,1,5,.200,4,4,1.000,7,3,10,3,1,1,2,1,25,21.5,+14,Lauri Markkanen
2022-11-23,25-185,UTA,HOME,DET,L (-9),1,34:22,4,13,.308,3,7,.429,2,2,1.000,0,8,8,2,0,0,3,3,13,5.1,-3,Lauri Markkanen
2022-11-25,25-187,UTA,AWAY,GSW,L (-11),1,37:12,9,17,.529,5,11,.455,1,1,1.000,3,3,6,1,0,0,4,3,24,14.2,+12,Lauri Markkanen
2022-11-26,25-188,UTA,AWAY,PHO,L (-1),1,35:37,4,13,.308,2,8,.250,5,7,.714,1,9,10,2,0,0,2,3,15,8.3,+2,Lauri Markkanen
2022-11-28,25-190,UTA,HOME,CHI,L (-7),1,37:54,12,18,.667,7,11,.636,1,2,.500,2,7,9,1,0,0,2,1,32,25.6,-3,Lauri Markkanen
2022-11-30,25-192,UTA,HOME,LAC,W (+13),1,36:21,7,11,.636,4,7,.571,5,5,1.000,1,8,9,2,0,0,1,3,23,20.4,+6,Lauri Markkanen
2022-12-02,25-194,UTA,HOME,IND,W (+20),1,33:13,8,15,.533,5,9,.556,3,4,.750,2,11,13,3,1,0,1,1,24,22.7,+19,Lauri Markkanen
2022-12-03,25-195,UTA,HOME,POR,L (-5),1,35:29,4,10,.400,4,6,.667,9,9,1.000,1,5,6,2,3,1,5,2,21,17.1,+6,Lauri Markkanen
2022-12-07,25-199,UTA,HOME,GSW,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Lauri Markkanen
2022-12-09,25-201,UTA,HOME,MIN,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Lauri Markkanen
2022-12-10,25-202,UTA,AWAY,DEN,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Lauri Markkanen
2022-12-13,25-205,UTA,HOME,NOP,W (+21),1,30:52,8,16,.500,2,7,.286,1,2,.500,2,9,11,1,1,1,2,3,19,13.9,+23,Lauri Markkanen
2022-12-15,25-207,UTA,HOME,NOP,W (+3),1,42:09,8,15,.533,5,9,.556,10,10,1.000,0,5,5,3,0,0,2,5,31,23.3,-3,Lauri Markkanen
2022-12-17,25-209,UTA,AWAY,MIL,L (-26),1,28:14,7,13,.538,3,6,.500,1,1,1.000,1,3,4,2,0,0,0,2,18,13.9,-14,Lauri Markkanen
2022-12-19,25-211,UTA,AWAY,CLE,L (-23),1,31:54,7,12,.583,3,6,.500,7,10,.700,1,5,6,1,2,0,2,2,24,19.3,-21,Lauri Markkanen
2022-12-20,25-212,UTA,AWAY,DET,W (+15),1,35:47,13,20,.650,9,13,.692,3,4,.750,0,5,5,1,1,0,1,3,38,29.8,+20,Lauri Markkanen
2022-12-22,25-214,UTA,HOME,WAS,W (+8),1,29:15,7,14,.500,4,9,.444,3,3,1.000,0,5,5,1,0,0,1,4,21,13.6,+22,Lauri Markkanen
2022-12-26,25-218,UTA,AWAY,SAS,L (-4),1,37:45,8,18,.444,3,10,.300,13,13,1.000,1,11,12,1,0,2,0,2,32,27.9,-2,Lauri Markkanen
2022-12-28,25-220,UTA,AWAY,GSW,L (-5),1,35:48,10,22,.455,7,13,.538,2,3,.667,2,14,16,1,1,0,2,1,29,22.1,+2,Lauri Markkanen
2022-12-30,25-222,UTA,AWAY,SAC,L (-1),1,34:25,16,24,.667,1,7,.143,3,3,1.000,1,4,5,0,0,0,1,0,36,26.5,-1,Lauri Markkanen
2022-12-31,25-223,UTA,HOME,MIA,L (-3),1,36:02,7,15,.467,3,7,.429,12,12,1.000,5,9,14,0,1,0,1,2,29,26.7,-1,Lauri Markkanen
2023-01-03,25-226,UTA,HOME,SAC,L (-2),1,36:02,6,15,.400,1,7,.143,15,15,1.000,0,8,8,1,0,0,2,2,28,20.2,-6,Lauri Markkanen
2023-01-05,25-228,UTA,AWAY,HOU,W (+17),1,36:09,15,27,.556,6,15,.400,13,13,1.000,1,7,8,1,0,1,0,0,49,40.3,+16,Lauri Markkanen
2023-01-07,25-230,UTA,AWAY,CHI,L (-8),1,36:26,12,20,.600,2,7,.286,2,3,.667,1,3,4,3,3,0,2,3,28,21.9,0,Lauri Markkanen
2023-01-08,25-231,UTA,AWAY,MEM,L (-5),1,29:18,8,18,.444,1,4,.250,4,4,1.000,1,7,8,1,0,2,1,1,21,15.1,0,Lauri Markkanen
2023-01-10,25-233,UTA,HOME,CLE,W (+2),1,39:19,6,18,.333,1,5,.200,12,14,.857,3,13,16,1,1,0,1,2,25,19.9,+7,Lauri Markkanen
2023-01-13,25-236,UTA,HOME,ORL,W (+4),1,36:10,4,13,.308,3,6,.500,17,21,.810,1,11,12,2,1,1,5,2,28,20.2,+8,Lauri Markkanen
2023-01-14,25-237,UTA,HOME,PHI,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Lauri Markkanen
2023-01-16,25-239,UTA,AWAY,MIN,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Lauri Markkanen
2023-01-18,25-241,UTA,HOME,LAC,W (+23),1,33:18,11,20,.550,6,8,.750,6,6,1.000,2,10,12,1,1,2,0,3,34,30.7,+26,Lauri Markkanen
2023-01-20,25-243,UTA,HOME,BRK,L (-11),1,36:45,8,16,.500,6,10,.600,0,0,,2,9,11,1,1,0,2,0,22,17.8,-21,Lauri Markkanen
2023-01-23,25-246,UTA,HOME,CHO,W (+18),1,32:23,8,14,.571,4,8,.500,5,6,.833,0,11,11,2,1,1,2,3,25,21.2,+23,Lauri Markkanen
2023-01-25,25-248,UTA,AWAY,POR,L (-10),1,34:10,7,16,.438,3,6,.500,7,8,.875,1,3,4,1,0,0,0,0,24,17.5,+2,Lauri Markkanen
2023-01-28,25-251,UTA,HOME,DAL,W (+8),1,36:00,11,20,.550,4,8,.500,3,4,.750,0,5,5,0,1,1,1,2,29,20.4,+7,Lauri Markkanen
2023-02-01,25-255,UTA,HOME,TOR,W (+3),1,35:33,7,13,.538,4,9,.444,10,10,1.000,2,11,13,1,1,1,4,3,28,23.6,-1,Lauri Markkanen
2023-02-03,25-257,UTA,HOME,ATL,L (-7),1,36:53,8,19,.421,3,11,.273,6,7,.857,4,6,10,1,0,0,0,1,25,19.4,+3,Lauri Markkanen
2023-02-06,25-260,UTA,HOME,DAL,L (-13),1,36:15,9,17,.529,1,7,.143,0,0,,1,6,7,0,2,1,2,6,19,11.5,-23,Lauri Markkanen
2023-02-08,25-262,UTA,HOME,MIN,L (-25),1,23:24,8,16,.500,3,7,.429,2,2,1.000,1,4,5,3,0,0,2,2,21,14.2,-32,Lauri Markkanen
2023-02-10,25-264,UTA,AWAY,TOR,W (+6),1,38:08,9,20,.450,2,7,.286,3,3,1.000,2,7,9,5,1,0,3,3,23,16.4,+12,Lauri Markkanen
2023-02-11,25-265,UTA,AWAY,NYK,L (-6),1,34:57,9,23,.391,3,10,.300,8,10,.800,4,1,5,3,0,3,0,1,29,22.6,+1,Lauri Markkanen
2023-02-13,25-267,UTA,AWAY,IND,W (+6),1,36:32,10,20,.500,2,9,.222,7,7,1.000,1,10,11,2,0,0,3,1,29,20.7,+3,Lauri Markkanen
2023-02-15,25-269,UTA,AWAY,MEM,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Lauri Markkanen
2023-02-23,25-277,UTA,HOME,OKC,W (+1),1,40:26,15,28,.536,3,12,.250,10,10,1.000,5,5,10,2,0,0,4,3,43,30.6,+14,Lauri Markkanen
2023-02-25,25-279,UTA,HOME,SAS,W (+16),1,32:09,9,17,.529,3,7,.429,6,6,1.000,1,3,4,2,0,0,2,1,27,19.3,+7,Lauri Markkanen
2023-02-28,25-282,UTA,HOME,SAS,L (-8),1,35:03,9,21,.429,4,8,.500,6,8,.750,3,7,10,1,1,0,3,1,28,18.6,+5,Lauri Markkanen
2023-03-03,25-285,UTA,AWAY,OKC,L (-27),1,29:37,6,14,.429,0,5,.000,8,11,.727,4,6,10,2,0,1,6,3,20,10.9,-26,Lauri Markkanen
