DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,30-318,POR,AWAY,LAC,L (-12),0,22:39,8,16,.500,3,5,.600,1,1,1.000,0,2,2,5,0,0,1,0,20,15.1,-5,Malcolm Brogdon
2023-10-27,30-320,POR,HOME,ORL,L (-5),0,30:36,6,15,.400,2,6,.333,4,6,.667,2,5,7,1,0,0,2,2,18,9.9,-4,Malcolm Brogdon
2023-10-29,30-322,POR,AWAY,PHI,L (-28),0,25:51,7,16,.438,2,6,.333,2,2,1.000,1,4,5,5,1,0,2,2,18,13.2,-6,Malcolm Brogdon
2023-10-30,30-323,POR,AWAY,TOR,W (+8),0,29:24,9,21,.429,3,7,.429,0,1,.000,1,2,3,5,0,0,1,2,21,12.5,+9,Malcolm Brogdon
2023-11-01,30-325,POR,AWAY,DET,W (+9),0,25:27,5,11,.455,1,4,.250,3,4,.750,1,5,6,6,1,0,2,1,14,12.9,+17,Malcolm Brogdon
2023-11-03,30-327,POR,HOME,MEM,W (+2),1,44:21,6,19,.316,2,9,.222,10,12,.833,0,7,7,10,3,0,4,1,24,20.0,+14,Malcolm Brogdon
2023-11-05,30-329,POR,HOME,MEM,L (-12),1,39:02,6,20,.300,2,8,.250,4,4,1.000,3,4,7,11,1,0,1,2,18,16.6,-17,Malcolm Brogdon
2023-11-08,30-332,POR,AWAY,SAC,L (-3),1,5:03,2,3,.667,1,2,.500,0,0,,0,1,1,1,0,0,0,1,5,4.3,+1,Malcolm Brogdon
2023-11-12,30-336,POR,AWAY,LAL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Malcolm Brogdon
2023-11-14,30-338,POR,AWAY,UTA,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Malcolm Brogdon
2023-11-15,30-339,POR,HOME,CLE,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Malcolm Brogdon
2023-11-17,30-341,POR,HOME,LAL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Malcolm Brogdon
2023-11-19,30-343,POR,HOME,OKC,L (-43),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Malcolm Brogdon
2023-11-21,30-345,POR,AWAY,PHO,L (-13),1,24:54,6,14,.429,4,5,.800,3,4,.750,1,0,1,5,0,0,2,2,19,12.6,-3,Malcolm Brogdon
2023-11-22,30-346,POR,HOME,UTA,W (+16),1,23:52,9,16,.563,1,5,.200,1,1,1.000,1,3,4,8,1,0,0,0,20,20.6,+12,Malcolm Brogdon
2023-11-26,30-350,POR,AWAY,MIL,L (-6),1,33:42,7,23,.304,2,6,.333,2,3,.667,2,6,8,12,2,1,2,4,18,15.0,-6,Malcolm Brogdon
2023-11-27,30-351,POR,AWAY,IND,W (+4),1,36:07,9,20,.450,1,3,.333,5,6,.833,0,2,2,7,0,0,1,1,24,17.3,-6,Malcolm Brogdon
2023-11-30,30-354,POR,AWAY,CLE,W (+8),1,30:46,3,7,.429,1,3,.333,4,4,1.000,2,1,3,7,2,1,5,0,11,11.6,-9,Malcolm Brogdon
2023-12-02,30-356,POR,AWAY,UTA,L (-5),1,37:34,8,17,.471,5,9,.556,4,6,.667,1,2,3,6,2,1,3,0,25,20.7,-2,Malcolm Brogdon
2023-12-06,30-360,POR,AWAY,GSW,L (-4),1,12:31,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,1,0,-1.8,+5,Malcolm Brogdon
2023-12-08,30-362,POR,HOME,DAL,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Malcolm Brogdon
2023-12-11,31-000,POR,AWAY,LAC,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Malcolm Brogdon
2023-12-14,31-003,POR,HOME,UTA,L (-8),0,14:00,3,6,.500,3,6,.500,0,2,.000,0,0,0,1,0,0,0,0,9,5.9,-8,Malcolm Brogdon
2023-12-16,31-005,POR,HOME,DAL,L (-11),0,24:14,4,7,.571,1,4,.250,0,0,,0,2,2,2,1,0,1,4,9,6.1,-23,Malcolm Brogdon
2023-12-17,31-006,POR,HOME,GSW,L (-4),0,26:42,3,8,.375,2,5,.400,0,0,,0,1,1,5,0,0,0,1,8,7.0,-2,Malcolm Brogdon
