DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,24-257,SAC,HOME,POR,L (-7),0,15:42,2,7,.286,2,5,.400,0,0,,1,1,2,3,0,1,2,1,6,3.3,-18,Malik Monk
2022-10-22,24-260,SAC,HOME,LAC,L (-2),0,13:03,0,4,.000,0,2,.000,0,1,.000,0,2,2,1,1,0,2,1,0,-3.3,-13,Malik Monk
2022-10-23,24-261,SAC,AWAY,GSW,L (-5),0,28:33,6,15,.400,4,10,.400,0,0,,3,4,7,8,3,0,1,0,16,18.8,+2,Malik Monk
2022-10-27,24-265,SAC,HOME,MEM,L (-15),0,22:01,5,9,.556,3,7,.429,2,2,1.000,0,2,2,7,0,1,1,2,15,15.1,-11,Malik Monk
2022-10-29,24-267,SAC,HOME,MIA,W (+6),0,13:31,2,5,.400,1,4,.250,1,1,1.000,0,2,2,2,0,0,2,2,6,2.5,0,Malik Monk
2022-10-31,24-269,SAC,AWAY,CHO,W (+7),0,15:08,2,9,.222,2,7,.286,1,1,1.000,0,1,1,2,0,0,1,0,7,2.2,-7,Malik Monk
2022-11-02,24-271,SAC,AWAY,MIA,L (-3),0,22:00,8,13,.615,2,5,.400,1,1,1.000,0,0,0,7,0,1,3,3,19,14.5,+1,Malik Monk
2022-11-05,24-274,SAC,AWAY,ORL,W (+3),0,28:31,5,10,.500,3,7,.429,2,2,1.000,0,1,1,5,0,0,1,3,15,11.6,+16,Malik Monk
2022-11-07,24-276,SAC,AWAY,GSW,L (-3),0,30:35,7,16,.438,3,8,.375,7,7,1.000,0,6,6,4,1,0,0,1,24,20.8,+12,Malik Monk
2022-11-09,24-278,SAC,HOME,CLE,W (+7),0,27:22,4,9,.444,3,5,.600,3,4,.750,0,2,2,5,0,1,1,3,14,11.5,+5,Malik Monk
