DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,26-292,BOS,HOME,MIL,W (+1),1,38:27,0,3,.000,0,2,.000,3,4,.750,0,1,1,7,0,2,2,2,3,4.3,0,Marcus Smart
2020-12-25,26-294,BOS,HOME,BRK,L (-28),1,31:53,4,12,.333,3,7,.429,2,2,1.000,2,1,3,6,2,1,1,5,13,11.8,-24,Marcus Smart
2020-12-27,26-296,BOS,AWAY,IND,L (-1),1,31:38,4,8,.500,2,4,.500,1,2,.500,1,2,3,6,2,0,2,1,11,11.7,-4,Marcus Smart
2020-12-29,26-298,BOS,AWAY,IND,W (+5),1,31:44,3,10,.300,3,6,.500,8,10,.800,1,0,1,5,1,1,0,1,17,15.9,-4,Marcus Smart
2020-12-30,26-299,BOS,HOME,MEM,W (+19),1,26:19,5,11,.455,4,9,.444,0,0,,0,2,2,4,3,1,2,1,14,13.0,+8,Marcus Smart
2021-01-01,26-301,BOS,AWAY,DET,L (-3),1,38:11,5,14,.357,3,6,.500,0,3,.000,0,3,3,9,3,0,4,3,13,9.0,-1,Marcus Smart
2021-01-03,26-303,BOS,AWAY,DET,W (+2),1,34:09,5,10,.500,1,5,.200,6,6,1.000,1,2,3,10,0,1,2,1,17,18.6,-1,Marcus Smart
2021-01-04,26-304,BOS,AWAY,TOR,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Smart
2021-01-06,26-306,BOS,AWAY,MIA,W (+2),1,32:12,3,10,.300,1,3,.333,2,2,1.000,1,3,4,6,1,0,0,5,9,8.0,-6,Marcus Smart
2021-01-08,26-308,BOS,HOME,WAS,W (+9),1,36:04,2,10,.200,0,5,.000,9,11,.818,0,5,5,5,2,0,3,4,13,8.4,+4,Marcus Smart
2021-01-15,26-315,BOS,HOME,ORL,W (+27),1,27:49,5,13,.385,4,10,.400,0,0,,0,2,2,2,1,0,1,2,14,8.1,+28,Marcus Smart
2021-01-17,26-317,BOS,HOME,NYK,L (-30),1,29:22,4,15,.267,0,7,.000,2,5,.400,0,2,2,2,2,0,0,3,10,2.7,-22,Marcus Smart
2021-01-20,26-320,BOS,AWAY,PHI,L (-8),1,34:06,10,19,.526,1,6,.167,4,7,.571,0,4,4,4,1,0,2,1,25,17.1,-15,Marcus Smart
2021-01-22,26-322,BOS,AWAY,PHI,L (-12),1,39:18,7,17,.412,2,5,.400,4,4,1.000,0,3,3,7,3,0,3,5,20,14.7,-2,Marcus Smart
2021-01-24,26-324,BOS,HOME,CLE,W (+38),1,27:13,5,8,.625,1,2,.500,1,2,.500,0,0,0,9,5,1,2,0,12,18.0,+30,Marcus Smart
2021-01-25,26-325,BOS,AWAY,CHI,W (+16),1,25:40,4,6,.667,1,3,.333,4,4,1.000,0,5,5,11,2,1,3,2,13,18.5,+21,Marcus Smart
2021-01-27,26-327,BOS,AWAY,SAS,L (-4),1,39:03,6,15,.400,2,7,.286,0,0,,1,3,4,3,1,0,2,1,14,8.2,-11,Marcus Smart
2021-01-30,26-330,BOS,HOME,LAL,L (-1),1,26:15,2,7,.286,0,3,.000,0,0,,0,2,2,7,2,1,1,2,4,6.3,-5,Marcus Smart
2021-02-02,26-333,BOS,AWAY,GSW,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Smart
2021-02-03,26-334,BOS,AWAY,SAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Smart
2021-02-05,26-336,BOS,AWAY,LAC,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Smart
2021-02-07,26-338,BOS,AWAY,PHO,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Smart
2021-02-09,26-340,BOS,AWAY,UTA,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Smart
2021-02-11,26-342,BOS,HOME,TOR,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Smart
2021-02-12,26-343,BOS,HOME,DET,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Smart
