DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,22-177,DEN,HOME,SAC,L (-2),1,29:36,9,15,.600,3,7,.429,3,3,1.000,1,4,5,2,2,3,2,3,24,21.3,0,Michael Porter Jr.
2020-12-25,22-179,DEN,HOME,LAC,L (-13),1,23:20,4,9,.444,2,6,.333,0,0,,0,3,3,2,2,0,0,2,10,8.8,-14,Michael Porter Jr.
2020-12-28,22-182,DEN,HOME,HOU,W (+13),1,23:38,5,11,.455,2,6,.333,2,3,.667,0,9,9,2,0,1,0,2,14,11.9,+2,Michael Porter Jr.
2020-12-29,22-183,DEN,AWAY,SAC,L (-10),1,40:20,12,18,.667,4,7,.571,2,2,1.000,4,6,10,1,0,2,0,4,30,27.3,-9,Michael Porter Jr.
2021-01-01,22-186,DEN,HOME,PHO,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-03,22-188,DEN,AWAY,MIN,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-05,22-190,DEN,HOME,MIN,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-07,22-192,DEN,HOME,DAL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-09,22-194,DEN,AWAY,PHI,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-10,22-195,DEN,AWAY,NYK,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-12,22-197,DEN,AWAY,BRK,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-14,22-199,DEN,HOME,GSW,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-17,22-202,DEN,HOME,UTA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-19,22-204,DEN,HOME,OKC,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Porter Jr.
2021-01-22,22-207,DEN,AWAY,PHO,W (+4),0,19:33,3,7,.429,1,4,.250,0,0,,0,6,6,2,1,0,0,1,7,7.1,+9,Michael Porter Jr.
2021-01-23,22-208,DEN,AWAY,PHO,W (+8),0,35:04,5,9,.556,3,4,.750,1,1,1.000,2,9,11,0,1,1,3,2,14,11.7,+19,Michael Porter Jr.
2021-01-25,22-210,DEN,AWAY,DAL,W (+4),0,27:37,10,18,.556,6,10,.600,4,5,.800,3,5,8,0,2,0,1,2,30,24.8,+10,Michael Porter Jr.
2021-01-27,22-212,DEN,AWAY,MIA,W (+27),0,24:59,7,12,.583,3,7,.429,0,0,,0,5,5,1,4,0,3,3,17,13.4,+8,Michael Porter Jr.
2021-01-29,22-214,DEN,AWAY,SAS,L (-10),0,18:52,3,5,.600,2,2,1.000,1,2,.500,1,3,4,0,0,2,3,1,9,5.9,-16,Michael Porter Jr.
