DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,31-006,MEM,AWAY,IND,L (-28),1,28:58,3,11,.273,2,5,.400,3,3,1.000,1,1,2,3,1,0,1,1,11,7.2,-11,Mike Conley
2018-10-19,31-008,MEM,HOME,ATL,W (+14),1,25:00,6,13,.462,2,5,.400,2,3,.667,0,4,4,11,0,0,0,4,16,16.2,+26,Mike Conley
2018-10-22,31-011,MEM,AWAY,UTA,W (+8),1,34:39,6,20,.300,1,6,.167,10,11,.909,2,5,7,4,3,0,1,2,23,17.9,+13,Mike Conley
2018-10-24,31-013,MEM,AWAY,SAC,L (-5),1,36:10,10,22,.455,4,11,.364,3,4,.750,2,4,6,5,1,0,3,2,27,18.5,-17,Mike Conley
2018-10-27,31-016,MEM,HOME,PHO,W (+21),1,28:28,6,13,.462,0,4,.000,6,6,1.000,0,0,0,7,2,0,3,2,18,14.4,+11,Mike Conley
2018-10-30,31-019,MEM,HOME,WAS,W (+12),1,35:12,6,18,.333,2,8,.250,5,7,.714,0,3,3,7,1,1,2,2,19,12.7,+20,Mike Conley
2018-11-02,31-022,MEM,AWAY,UTA,W (+10),1,32:55,7,18,.389,3,6,.500,11,13,.846,2,3,5,5,1,0,0,2,28,23.4,-6,Mike Conley
2018-11-04,31-024,MEM,AWAY,PHO,L (-2),1,26:52,3,16,.188,1,5,.200,5,6,.833,0,1,1,5,2,0,2,4,12,3.8,-15,Mike Conley
2018-11-05,31-025,MEM,AWAY,GSW,L (-16),1,30:54,4,8,.500,1,5,.200,0,1,.000,0,1,1,5,0,1,3,1,9,5.7,-21,Mike Conley
2018-11-07,31-027,MEM,HOME,DEN,W (+2),1,36:15,2,9,.222,0,2,.000,0,0,,0,3,3,8,1,0,2,2,4,3.2,+4,Mike Conley
2018-11-10,31-030,MEM,HOME,PHI,W (+6),1,42:04,12,24,.500,4,10,.400,4,6,.667,0,4,4,6,2,1,1,3,32,25.1,+19,Mike Conley
2018-11-12,31-032,MEM,HOME,UTA,L (-8),1,35:43,7,16,.438,3,8,.375,7,7,1.000,0,4,4,3,0,0,2,4,24,15.3,0,Mike Conley
2018-11-14,31-034,MEM,AWAY,MIL,W (+3),1,35:38,9,16,.563,2,6,.333,6,8,.750,0,2,2,4,2,0,2,2,26,20.2,-8,Mike Conley
2018-11-16,31-036,MEM,HOME,SAC,W (+8),1,34:28,7,16,.438,1,4,.250,4,8,.500,0,3,3,6,0,0,4,2,19,9.3,+9,Mike Conley
2018-11-18,31-038,MEM,AWAY,MIN,W (+13),1,35:05,5,12,.417,2,5,.400,6,6,1.000,0,1,1,8,0,0,2,1,18,15.1,+21,Mike Conley
2018-11-19,31-039,MEM,HOME,DAL,W (+10),1,35:07,10,18,.556,7,11,.636,1,2,.500,0,5,5,7,2,0,3,1,28,24.0,+18,Mike Conley
2018-11-21,31-041,MEM,AWAY,SAS,W (+1),1,34:54,11,23,.478,3,7,.429,5,5,1.000,1,3,4,9,1,1,0,0,30,27.9,+2,Mike Conley
2018-11-23,31-043,MEM,AWAY,LAC,L (-5),1,29:59,6,10,.600,3,6,.500,4,4,1.000,0,3,3,11,0,0,6,6,19,14.6,+8,Mike Conley
2018-11-25,31-045,MEM,HOME,NYK,L (-5),1,38:40,8,24,.333,2,10,.200,5,6,.833,1,3,4,11,1,0,0,1,23,18.9,-6,Mike Conley
2018-11-27,31-047,MEM,HOME,TOR,L (-8),1,34:31,7,19,.368,2,7,.286,4,6,.667,3,2,5,6,3,2,3,4,20,15.4,0,Mike Conley
2018-11-30,31-050,MEM,AWAY,BRK,W (+6),1,45:41,13,25,.520,2,7,.286,9,9,1.000,0,5,5,10,0,1,3,3,37,29.7,+9,Mike Conley
2018-12-02,31-052,MEM,AWAY,PHI,L (-8),1,33:29,6,17,.353,3,6,.500,6,7,.857,0,2,2,5,1,1,1,1,21,15.5,-7,Mike Conley
2018-12-05,31-055,MEM,HOME,LAC,W (+10),1,34:19,9,16,.563,2,4,.500,2,4,.500,0,7,7,4,2,2,3,1,22,18.5,+16,Mike Conley
2018-12-07,31-057,MEM,AWAY,NOP,W (+4),1,34:35,2,12,.167,0,4,.000,5,6,.833,1,2,3,10,1,0,1,1,9,8.9,+1,Mike Conley
2018-12-08,31-058,MEM,HOME,LAL,L (-23),1,29:43,4,12,.333,1,3,.333,3,3,1.000,0,1,1,3,4,0,0,0,12,11.6,-5,Mike Conley
2018-12-10,31-060,MEM,AWAY,DEN,L (-6),1,31:42,5,14,.357,2,8,.250,7,7,1.000,0,1,1,6,2,0,1,2,19,15.9,+2,Mike Conley
2018-12-12,31-062,MEM,HOME,POR,W (+9),1,32:01,9,18,.500,2,4,.500,3,4,.750,1,5,6,6,1,0,2,0,23,19.0,+19,Mike Conley
2018-12-14,31-064,MEM,HOME,MIA,L (-3),1,37:22,7,15,.467,2,4,.500,6,6,1.000,1,2,3,8,2,3,0,0,22,25.3,+5,Mike Conley
2018-12-15,31-065,MEM,HOME,HOU,L (-8),1,37:08,8,17,.471,1,6,.167,5,5,1.000,0,2,2,6,0,0,0,0,22,18.1,-1,Mike Conley
2018-12-17,31-067,MEM,AWAY,GSW,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Mike Conley
2018-12-19,31-069,MEM,AWAY,POR,L (-7),1,37:11,7,19,.368,5,10,.500,4,5,.800,1,3,4,6,0,1,3,0,23,15.6,+6,Mike Conley
