DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,22-277,CHO,AWAY,CLE,L (-7),0,22:05,3,10,.300,0,5,.000,0,0,,1,5,6,1,1,0,0,1,6,3.7,+6,Miles Bridges
2020-12-26,22-280,CHO,HOME,OKC,L (-2),0,23:07,5,8,.625,4,4,1.000,0,0,,3,2,5,0,1,2,2,4,14,11.9,-4,Miles Bridges
2020-12-27,22-281,CHO,HOME,BRK,W (+2),0,27:42,4,9,.444,2,5,.400,0,0,,0,4,4,3,1,2,2,3,10,7.8,+2,Miles Bridges
2020-12-30,22-284,CHO,AWAY,DAL,W (+19),0,29:43,6,9,.667,4,6,.667,4,4,1.000,0,16,16,2,0,2,5,1,20,18.3,+18,Miles Bridges
2021-01-01,22-286,CHO,HOME,MEM,L (-15),0,25:47,1,5,.200,0,2,.000,0,0,,0,7,7,2,0,3,1,2,2,2.7,0,Miles Bridges
2021-01-02,22-287,CHO,AWAY,PHI,L (-15),0,24:08,4,11,.364,0,5,.000,0,0,,2,2,4,2,1,2,3,1,8,4.3,+2,Miles Bridges
2021-01-04,22-289,CHO,AWAY,PHI,L (-17),0,23:56,3,6,.500,1,1,1.000,0,0,,0,5,5,0,0,0,3,3,7,1.3,-31,Miles Bridges
2021-01-06,22-291,CHO,AWAY,ATL,W (+8),0,22:22,0,5,.000,0,3,.000,2,2,1.000,2,4,6,2,2,0,0,2,2,3.7,+10,Miles Bridges
2021-01-08,22-293,CHO,AWAY,NOP,W (+8),0,30:28,8,11,.727,4,6,.667,0,0,,2,2,4,1,0,0,2,2,20,15.4,+14,Miles Bridges
2021-01-09,22-294,CHO,HOME,ATL,W (+8),0,25:16,0,4,.000,0,1,.000,2,2,1.000,0,3,3,1,1,0,1,3,2,-0.4,+13,Miles Bridges
2021-01-11,22-296,CHO,HOME,NYK,W (+21),0,25:26,5,6,.833,2,2,1.000,1,1,1.000,0,2,2,2,1,2,0,2,13,14.4,+11,Miles Bridges
2021-01-13,22-298,CHO,HOME,DAL,L (-11),0,28:44,2,9,.222,0,3,.000,0,0,,4,2,6,5,1,0,4,3,4,1.2,-14,Miles Bridges
2021-01-14,22-299,CHO,AWAY,TOR,L (-3),0,28:46,5,7,.714,2,3,.667,0,0,,0,2,2,3,1,0,1,3,12,10.6,+14,Miles Bridges
2021-01-16,22-301,CHO,AWAY,TOR,L (-3),0,25:47,2,7,.286,1,3,.333,5,6,.833,0,1,1,4,1,1,1,3,10,8.1,-23,Miles Bridges
2021-01-22,22-307,CHO,HOME,CHI,L (-13),0,19:23,0,0,,0,0,,2,2,1.000,2,5,7,0,0,0,4,1,2,0.5,-12,Miles Bridges
2021-01-24,22-309,CHO,AWAY,ORL,W (+3),0,24:49,8,11,.727,2,5,.400,0,0,,1,5,6,2,2,0,1,3,18,16.9,+8,Miles Bridges
2021-01-25,22-310,CHO,AWAY,ORL,L (-9),0,27:30,4,11,.364,0,4,.000,2,2,1.000,1,4,5,0,1,1,0,2,10,6.7,+3,Miles Bridges
2021-01-27,22-312,CHO,HOME,IND,L (-10),0,25:50,3,9,.333,3,6,.500,2,2,1.000,1,2,3,1,0,1,2,3,11,5.4,-30,Miles Bridges
2021-01-29,22-314,CHO,HOME,IND,W (+3),0,26:38,4,9,.444,1,3,.333,0,0,,0,4,4,3,0,0,1,2,9,5.8,-1,Miles Bridges
2021-01-30,22-315,CHO,HOME,MIL,W (+12),0,28:35,5,9,.556,1,2,.500,0,0,,0,5,5,4,2,0,2,2,11,10.2,+25,Miles Bridges
2021-02-01,22-317,CHO,AWAY,MIA,W (+8),0,27:05,2,8,.250,1,3,.333,2,2,1.000,1,2,3,5,1,1,1,3,7,6.5,+14,Miles Bridges
2021-02-03,22-319,CHO,HOME,PHI,L (-7),1,32:18,7,11,.636,2,5,.400,0,0,,1,6,7,3,1,1,3,5,16,12.4,-12,Miles Bridges
2021-02-05,22-321,CHO,HOME,UTA,L (-17),0,15:31,1,7,.143,0,4,.000,0,0,,0,1,1,2,0,0,0,2,2,-1.6,-19,Miles Bridges
2021-02-07,22-323,CHO,HOME,WAS,W (+22),0,30:46,5,10,.500,1,3,.333,0,0,,6,8,14,2,0,2,2,3,11,12.2,+12,Miles Bridges
2021-02-08,22-324,CHO,HOME,HOU,W (+25),0,27:02,8,12,.667,2,5,.400,1,1,1.000,3,7,10,0,0,0,0,0,19,18.0,+11,Miles Bridges
2021-02-10,22-326,CHO,AWAY,MEM,L (-16),0,30:59,5,9,.556,2,4,.500,3,4,.750,2,8,10,2,1,1,4,2,15,12.4,-23,Miles Bridges
2021-02-12,22-328,CHO,HOME,MIN,W (+6),0,30:52,3,6,.500,1,3,.333,4,4,1.000,4,6,10,0,0,0,1,2,11,10.8,0,Miles Bridges
2021-02-14,22-330,CHO,HOME,SAS,L (-12),1,36:50,2,5,.400,0,3,.000,1,1,1.000,1,5,6,2,1,1,3,5,5,2.6,-12,Miles Bridges
2021-02-20,22-336,CHO,HOME,GSW,W (+2),0,22:15,3,4,.750,2,3,.667,2,2,1.000,1,3,4,1,0,0,2,0,10,8.7,+3,Miles Bridges
2021-02-22,22-338,CHO,AWAY,UTA,L (-22),0,27:33,2,6,.333,1,3,.333,0,0,,1,2,3,2,2,1,2,0,5,5.0,-11,Miles Bridges
2021-02-24,22-340,CHO,AWAY,PHO,W (+3),0,26:38,5,7,.714,2,4,.500,2,2,1.000,0,6,6,1,0,0,0,2,14,12.8,+10,Miles Bridges
2021-02-26,22-342,CHO,AWAY,GSW,L (-9),0,23:32,3,6,.500,1,3,.333,3,4,.750,1,3,4,4,2,0,4,4,10,7.4,-12,Miles Bridges
2021-02-28,22-344,CHO,AWAY,SAC,W (+1),0,32:34,5,7,.714,3,4,.750,0,0,,2,7,9,4,0,0,0,3,13,15.2,+15,Miles Bridges
2021-03-01,22-345,CHO,AWAY,POR,L (-12),0,28:17,4,8,.500,0,1,.000,1,1,1.000,1,1,2,2,1,1,2,3,9,5.9,-2,Miles Bridges
2021-03-03,22-347,CHO,AWAY,MIN,W (+33),0,29:12,5,7,.714,1,3,.333,2,2,1.000,2,8,10,5,0,1,1,3,13,15.9,+26,Miles Bridges
2021-03-11,22-355,CHO,HOME,DET,W (+3),0,23:24,3,6,.500,0,2,.000,0,0,,1,7,8,1,0,0,0,1,6,6.1,-4,Miles Bridges
2021-03-13,22-357,CHO,HOME,TOR,W (+10),0,16:23,1,2,.500,0,1,.000,0,0,,1,5,6,1,1,0,4,2,2,0.1,+1,Miles Bridges
2021-03-15,22-359,CHO,HOME,SAC,W (+6),0,27:49,4,5,.800,0,0,,2,3,.667,0,3,3,0,0,1,1,1,10,7.9,+10,Miles Bridges
2021-03-17,22-361,CHO,AWAY,DEN,L (-25),0,20:09,3,6,.500,0,1,.000,0,0,,0,2,2,3,0,0,0,1,6,5.3,-18,Miles Bridges
2021-03-18,22-362,CHO,AWAY,LAL,L (-11),0,24:34,3,6,.500,0,2,.000,0,1,.000,3,6,9,2,1,0,0,1,6,8.5,-1,Miles Bridges
2021-03-20,22-364,CHO,AWAY,LAC,L (-27),0,27:44,7,11,.636,5,9,.556,2,2,1.000,1,2,3,4,0,1,1,4,21,18.3,-13,Miles Bridges
2021-03-22,23-001,CHO,AWAY,SAS,W (+3),0,27:52,1,2,.500,0,1,.000,0,0,,0,4,4,1,0,1,0,3,2,2.4,-1,Miles Bridges
2021-03-24,23-003,CHO,AWAY,HOU,W (+25),0,24:34,1,5,.200,1,3,.333,2,2,1.000,2,6,8,2,1,2,1,0,5,7.9,+22,Miles Bridges
2021-03-26,23-005,CHO,HOME,MIA,W (+5),0,27:52,3,7,.429,2,4,.500,2,2,1.000,0,4,4,1,0,0,0,2,10,7.4,-1,Miles Bridges
2021-03-28,23-007,CHO,HOME,PHO,L (-4),0,36:46,8,13,.615,1,5,.200,1,1,1.000,5,7,12,1,0,0,4,4,18,12.8,+7,Miles Bridges
2021-03-30,23-009,CHO,AWAY,WAS,W (+10),0,25:14,3,8,.375,1,4,.250,1,2,.500,1,2,3,2,0,2,0,1,8,6.9,+9,Miles Bridges
