DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,27-215,IND,HOME,WAS,W (+23),1,23:20,5,8,.625,0,2,.000,1,2,.500,0,8,8,1,0,3,2,4,11,8.6,+14,Myles Turner
2023-10-28,27-218,IND,AWAY,CLE,W (+12),1,29:25,7,14,.500,1,5,.200,5,5,1.000,1,11,12,1,0,2,2,5,20,15.1,-5,Myles Turner
2023-10-30,27-220,IND,HOME,CHI,L (-7),1,31:45,6,14,.429,3,8,.375,5,8,.625,2,9,11,3,0,2,1,2,20,17.2,-9,Myles Turner
2023-11-01,27-222,IND,AWAY,BOS,L (-51),1,21:44,4,12,.333,0,3,.000,0,0,,1,4,5,3,1,1,1,1,8,5.5,-20,Myles Turner
2023-11-03,27-224,IND,HOME,CLE,W (+5),1,30:37,9,14,.643,4,5,.800,5,6,.833,1,8,9,0,2,2,3,4,27,22.3,+11,Myles Turner
2023-11-04,27-225,IND,HOME,CHO,L (-1),1,26:33,5,9,.556,3,5,.600,1,2,.500,0,6,6,2,1,0,4,4,14,7.9,+12,Myles Turner
2023-11-06,27-227,IND,HOME,SAS,W (+41),1,20:55,5,7,.714,1,1,1.000,4,4,1.000,4,7,11,2,0,1,0,3,15,17.9,+19,Myles Turner
2023-11-08,27-229,IND,HOME,UTA,W (+16),1,22:56,8,12,.667,0,2,.000,6,8,.750,3,3,6,0,0,3,0,2,22,20.3,+3,Myles Turner
2023-11-09,27-230,IND,HOME,MIL,W (+2),1,37:16,8,16,.500,4,9,.444,1,1,1.000,1,5,6,4,0,1,1,4,21,16.1,+14,Myles Turner
2023-11-12,27-233,IND,AWAY,PHI,L (-11),1,29:25,7,17,.412,4,9,.444,4,4,1.000,2,3,5,0,1,3,3,4,22,13.7,-6,Myles Turner
2023-11-14,27-235,IND,AWAY,PHI,W (+6),1,19:13,5,11,.455,1,4,.250,6,8,.750,1,2,3,0,1,1,1,6,17,10.1,+5,Myles Turner
2023-11-19,27-240,IND,HOME,ORL,L (-12),1,22:34,3,10,.300,0,3,.000,4,6,.667,3,1,4,3,1,3,1,2,10,9.2,-20,Myles Turner
2023-11-21,27-242,IND,AWAY,ATL,W (+5),1,25:26,4,7,.571,0,2,.000,3,4,.750,1,8,9,1,0,4,1,3,11,11.7,+5,Myles Turner
2023-11-22,27-243,IND,HOME,TOR,L (-1),1,28:38,7,11,.636,2,3,.667,1,2,.500,1,7,8,0,1,2,2,3,17,13.7,+13,Myles Turner
2023-11-24,27-245,IND,HOME,DET,W (+23),1,26:58,8,14,.571,1,3,.333,6,6,1.000,5,5,10,2,1,5,2,5,23,23.3,+23,Myles Turner
2023-11-27,27-248,IND,HOME,POR,L (-4),1,26:37,5,11,.455,0,3,.000,1,1,1.000,1,7,8,0,2,2,1,4,11,8.9,+2,Myles Turner
2023-11-30,27-251,IND,AWAY,MIA,L (-10),1,29:04,5,14,.357,0,5,.000,3,5,.600,4,5,9,2,0,1,0,3,13,9.6,-13,Myles Turner
2023-12-02,27-253,IND,AWAY,MIA,W (+15),1,30:19,8,12,.667,1,4,.250,0,0,,2,8,10,1,0,2,2,4,17,14.1,+10,Myles Turner
2023-12-04,27-255,IND,HOME,BOS,W (+10),1,34:22,7,16,.438,2,6,.333,1,1,1.000,1,9,10,1,1,1,0,1,17,14.0,+22,Myles Turner
2023-12-07,27-258,IND,AWAY,MIL,W (+9),1,31:50,9,18,.500,2,8,.250,6,8,.750,1,9,10,2,1,3,0,2,26,23.3,-5,Myles Turner
2023-12-11,27-262,IND,AWAY,DET,W (+8),1,30:44,10,15,.667,0,2,.000,3,6,.500,3,5,8,1,1,3,2,2,23,19.9,+12,Myles Turner
2023-12-13,27-264,IND,AWAY,MIL,L (-14),1,32:36,8,14,.571,2,2,1.000,4,4,1.000,4,5,9,0,0,2,2,4,22,17.5,-5,Myles Turner
2023-12-15,27-266,IND,AWAY,WAS,L (-14),1,19:50,2,10,.200,1,4,.250,1,2,.500,2,2,4,1,0,3,1,1,6,2.8,-17,Myles Turner
2023-12-16,27-267,IND,AWAY,MIN,L (-18),1,21:06,2,7,.286,1,2,.500,7,8,.875,2,3,5,0,1,0,1,1,12,9.4,-15,Myles Turner
