DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,23-054,MIN,HOME,OKC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Naz Reid
2022-10-21,23-056,MIN,HOME,UTA,L (-6),0,9:19,0,3,.000,0,1,.000,0,0,,1,1,2,1,1,2,1,2,0,0.2,-1,Naz Reid
2022-10-23,23-058,MIN,AWAY,OKC,W (+10),0,13:04,5,7,.714,2,4,.500,2,4,.500,1,1,2,1,0,1,0,4,14,11.1,+2,Naz Reid
2022-10-24,23-059,MIN,HOME,SAS,L (-9),0,12:43,3,7,.429,0,1,.000,0,0,,1,2,3,0,0,1,0,0,6,4.3,-1,Naz Reid
2022-10-26,23-061,MIN,HOME,SAS,W (+12),0,5:13,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,0,0,2,4.0,+3,Naz Reid
2022-10-28,23-063,MIN,HOME,LAL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Naz Reid
2022-10-30,23-065,MIN,AWAY,SAS,L (-9),0,8:33,5,7,.714,1,2,.500,0,0,,1,1,2,0,1,0,0,0,11,10.1,+12,Naz Reid
2022-11-01,23-067,MIN,AWAY,PHO,L (-9),0,15:46,5,6,.833,1,2,.500,2,2,1.000,0,3,3,0,1,0,0,0,13,12.7,+10,Naz Reid
2022-11-04,23-070,MIN,HOME,MIL,L (-13),0,22:01,3,7,.429,0,3,.000,2,2,1.000,0,5,5,0,0,1,1,3,8,4.3,+1,Naz Reid
2022-11-05,23-071,MIN,HOME,HOU,W (+12),0,13:15,4,7,.571,2,4,.500,1,2,.500,0,3,3,0,0,1,5,6,11,1.5,+8,Naz Reid
2022-11-07,23-073,MIN,HOME,NYK,L (-13),0,18:17,5,8,.625,0,3,.000,1,2,.500,2,0,2,0,0,1,0,2,11,8.3,-14,Naz Reid
2022-11-09,23-075,MIN,HOME,PHO,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Naz Reid
