DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,20-189,BRK,HOME,MIN,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Nic Claxton
2019-10-25,20-191,BRK,HOME,NYK,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Nic Claxton
2019-10-27,20-193,BRK,AWAY,MEM,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Nic Claxton
2019-10-30,20-196,BRK,HOME,IND,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Nic Claxton
2019-11-01,20-198,BRK,HOME,HOU,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Nic Claxton
2019-11-02,20-199,BRK,AWAY,DET,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Nic Claxton
2019-11-04,20-201,BRK,HOME,NOP,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Nic Claxton
2019-11-08,20-205,BRK,AWAY,POR,W (+4),0,12:04,3,5,.600,0,0,,2,5,.400,5,1,6,1,0,0,0,2,8,8.2,+5,Nic Claxton
2019-11-10,20-207,BRK,AWAY,PHO,L (-26),0,12:00,2,2,1.000,0,0,,0,0,,1,1,2,2,0,0,0,1,4,5.4,0,Nic Claxton
2019-11-12,20-209,BRK,AWAY,UTA,L (-5),0,11:47,0,2,.000,0,1,.000,0,0,,0,2,2,1,1,0,0,1,0,0.5,-5,Nic Claxton
2019-11-14,20-211,BRK,AWAY,DEN,L (-8),0,16:34,1,3,.333,0,2,.000,0,0,,0,3,3,0,0,0,0,0,2,1.2,-7,Nic Claxton
2019-11-16,20-213,BRK,AWAY,CHI,W (+6),0,17:26,4,6,.667,0,2,.000,0,1,.000,0,2,2,2,0,0,0,1,8,6.6,+4,Nic Claxton
2019-11-18,20-215,BRK,HOME,IND,L (-29),0,14:42,0,1,.000,0,0,,1,2,.500,0,1,1,1,0,1,0,0,1,1.6,-14,Nic Claxton
2019-11-20,20-217,BRK,HOME,CHO,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Nic Claxton
2019-11-22,20-219,BRK,HOME,SAC,W (+19),0,3:20,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,3,2,2,-1.2,-2,Nic Claxton
2019-11-24,20-221,BRK,AWAY,NYK,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Nic Claxton
2019-11-25,20-222,BRK,AWAY,CLE,W (+2),0,12:31,1,2,.500,0,0,,0,0,,1,1,2,3,0,3,1,1,2,4.8,-8,Nic Claxton
