DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,23-240,DEN,AWAY,LAC,W (+9),1,33:32,6,13,.462,1,4,.250,8,10,.800,2,6,8,5,1,2,2,4,21,19.0,+8,Nikola Jovic
2018-10-20,23-243,DEN,HOME,PHO,W (+28),1,30:43,11,11,1.000,3,3,1.000,10,11,.909,0,11,11,11,4,1,0,3,35,45.8,+29,Nikola Jovic
2018-10-21,23-244,DEN,HOME,GSW,W (+2),1,32:23,7,14,.500,0,1,.000,9,12,.750,3,8,11,6,0,0,2,2,23,20.7,-4,Nikola Jovic
2018-10-23,23-246,DEN,HOME,SAC,W (+14),1,23:17,6,11,.545,1,2,.500,1,1,1.000,2,10,12,6,1,0,3,4,14,13.7,+18,Nikola Jovic
2018-10-25,23-248,DEN,AWAY,LAL,L (-7),1,32:50,9,17,.529,1,5,.200,5,5,1.000,3,8,11,3,1,1,6,5,24,16.0,-5,Nikola Jovic
2018-10-29,23-252,DEN,HOME,NOP,W (+5),1,28:57,3,8,.375,2,4,.500,4,4,1.000,1,8,9,10,0,2,0,4,12,17.5,+5,Nikola Jovic
2018-10-31,23-254,DEN,AWAY,CHI,W (+1),1,32:47,9,20,.450,3,6,.500,1,1,1.000,5,7,12,9,2,3,6,2,22,20.8,+4,Nikola Jovic
2018-11-01,23-255,DEN,AWAY,CLE,W (+19),1,22:21,2,5,.400,0,1,.000,0,0,,1,5,6,3,1,1,2,2,4,4.5,+9,Nikola Jovic
2018-11-03,23-257,DEN,HOME,UTA,W (+15),1,28:54,3,9,.333,0,3,.000,1,2,.500,3,7,10,16,1,0,4,2,7,13.1,+8,Nikola Jovic
2018-11-05,23-259,DEN,HOME,BOS,W (+8),1,27:27,2,3,.667,0,0,,4,6,.667,2,8,10,8,0,0,3,4,8,10.7,-4,Nikola Jovic
2018-11-07,23-261,DEN,AWAY,MEM,L (-2),1,25:36,0,1,.000,0,1,.000,4,4,1.000,1,6,7,4,3,0,6,5,4,3.6,0,Nikola Jovic
2018-11-09,23-263,DEN,HOME,BRK,L (-2),1,33:12,14,22,.636,1,1,1.000,8,10,.800,7,14,21,3,1,2,6,5,37,32.0,+5,Nikola Jovic
2018-11-11,23-265,DEN,HOME,MIL,L (-7),1,29:25,7,14,.500,4,8,.500,2,2,1.000,1,5,6,6,1,1,3,1,20,17.7,-17,Nikola Jovic
2018-11-13,23-267,DEN,HOME,HOU,L (-10),1,32:59,6,14,.429,0,1,.000,2,3,.667,4,8,12,7,2,0,3,3,14,14.1,-14,Nikola Jovic
2018-11-15,23-269,DEN,HOME,ATL,W (+45),1,25:22,5,11,.455,1,2,.500,1,2,.500,1,8,9,7,4,1,2,3,12,15.4,+37,Nikola Jovic
2018-11-17,23-271,DEN,AWAY,NOP,L (-10),1,34:05,10,20,.500,2,8,.250,3,4,.750,3,7,10,8,1,0,1,2,25,23.6,-11,Nikola Jovic
2018-11-19,23-273,DEN,AWAY,MIL,L (-6),1,32:34,8,18,.444,3,8,.375,1,1,1.000,3,2,5,5,1,0,3,1,20,14.4,-16,Nikola Jovic
2018-11-21,23-275,DEN,AWAY,MIN,W (+2),1,36:42,3,13,.231,1,5,.200,0,0,,2,10,12,10,1,0,3,4,7,6.9,+4,Nikola Jovic
2018-11-23,23-277,DEN,HOME,ORL,W (+25),1,22:52,2,7,.286,0,3,.000,2,2,1.000,3,7,10,11,2,0,0,4,6,14.2,+7,Nikola Jovic
2018-11-24,23-278,DEN,AWAY,OKC,W (+7),1,27:11,6,20,.300,0,7,.000,4,5,.800,2,4,6,5,0,1,4,4,16,5.2,+15,Nikola Jovic
2018-11-27,23-281,DEN,HOME,LAL,W (+32),1,22:36,5,14,.357,2,4,.500,2,2,1.000,0,7,7,7,1,1,3,1,14,11.5,+14,Nikola Jovic
2018-11-30,23-284,DEN,AWAY,POR,W (+1),1,32:03,7,12,.583,0,2,.000,1,1,1.000,3,3,6,7,1,1,1,3,15,16.8,+2,Nikola Jovic
2018-12-03,23-287,DEN,AWAY,TOR,W (+3),1,35:30,8,13,.615,0,1,.000,7,8,.875,4,7,11,15,2,0,2,1,23,31.7,+14,Nikola Jovic
2018-12-05,23-289,DEN,AWAY,ORL,W (+6),1,34:38,5,13,.385,1,3,.333,1,2,.500,0,8,8,13,1,0,1,3,12,14.8,+10,Nikola Jovic
2018-12-07,23-291,DEN,AWAY,CHO,L (-6),1,33:22,6,18,.333,0,6,.000,4,5,.800,4,7,11,6,1,2,4,5,16,10.9,+8,Nikola Jovic
2018-12-08,23-292,DEN,AWAY,ATL,L (-8),1,32:38,9,17,.529,0,2,.000,6,7,.857,4,7,11,7,2,0,1,1,24,25.7,-6,Nikola Jovic
2018-12-10,23-294,DEN,HOME,MEM,W (+6),1,38:24,9,14,.643,1,2,.500,8,9,.889,3,9,12,6,2,0,3,3,27,27.2,+6,Nikola Jovic
2018-12-14,23-298,DEN,HOME,OKC,W (+11),1,35:45,8,16,.500,2,4,.500,6,6,1.000,3,12,15,9,3,0,6,3,24,23.8,+10,Nikola Jovic
2018-12-16,23-300,DEN,HOME,TOR,W (+9),1,34:34,11,19,.579,0,1,.000,4,5,.800,4,6,10,4,2,0,3,0,26,23.1,+1,Nikola Jovic
2018-12-18,23-302,DEN,HOME,DAL,W (+8),1,34:57,13,25,.520,2,6,.333,4,4,1.000,6,10,16,4,3,1,5,4,32,26.8,+15,Nikola Jovic
2018-12-22,23-306,DEN,AWAY,LAC,L (-21),1,20:37,7,15,.467,2,2,1.000,3,3,1.000,2,4,6,3,0,1,4,2,19,11.9,-16,Nikola Jovic
2018-12-26,23-310,DEN,AWAY,SAS,L (-8),1,30:59,1,5,.200,1,1,1.000,1,2,.500,2,2,4,10,2,0,5,1,4,6.1,-9,Nikola Jovic
2018-12-28,23-312,DEN,HOME,SAS,W (+3),1,36:56,10,14,.714,1,4,.250,0,0,,0,9,9,9,0,0,6,6,21,15.8,+3,Nikola Jovic
2018-12-29,23-313,DEN,AWAY,PHO,W (+4),1,37:40,8,11,.727,0,2,.000,7,8,.875,1,7,8,9,3,1,4,3,23,25.7,+12,Nikola Jovic
2019-01-01,23-316,DEN,HOME,NYK,W (+7),1,34:29,8,16,.500,1,2,.500,2,3,.667,6,8,14,15,1,3,5,3,19,24.6,+6,Nikola Jovic
2019-01-03,23-318,DEN,AWAY,SAC,W (+4),1,31:35,10,18,.556,3,8,.375,3,4,.750,3,10,13,6,1,1,5,1,26,22.6,+12,Nikola Jovic
2019-01-05,23-320,DEN,HOME,CHO,W (+13),1,34:16,16,29,.552,3,9,.333,4,5,.800,8,4,12,6,3,1,2,1,39,37.0,+8,Nikola Jovic
2019-01-07,23-322,DEN,AWAY,HOU,L (-12),1,28:08,11,20,.550,1,1,1.000,1,1,1.000,5,8,13,4,2,1,8,2,24,17.0,-22,Nikola Jovic
2019-01-08,23-323,DEN,AWAY,MIA,W (+4),1,39:37,11,21,.524,1,2,.500,6,6,1.000,3,8,11,10,1,0,3,3,29,27.0,+9,Nikola Jovic
2019-01-10,23-325,DEN,HOME,LAC,W (+21),1,27:48,8,19,.421,0,5,.000,2,3,.667,5,9,14,10,0,2,1,3,18,19.9,+6,Nikola Jovic
2019-01-12,23-327,DEN,AWAY,PHO,L (-9),1,33:48,8,15,.533,1,4,.250,6,7,.857,1,9,10,4,0,1,2,0,23,20.2,+8,Nikola Jovic
2019-01-13,23-328,DEN,HOME,POR,W (+3),1,36:43,15,23,.652,4,7,.571,6,8,.750,1,9,10,8,0,0,3,4,40,33.5,+17,Nikola Jovic
2019-01-15,23-330,DEN,HOME,GSW,L (-31),1,23:13,6,12,.500,0,1,.000,5,5,1.000,1,3,4,8,0,0,3,3,17,14.0,-21,Nikola Jovic
2019-01-17,23-332,DEN,HOME,CHI,W (+30),1,25:28,6,18,.333,0,3,.000,6,6,1.000,4,4,8,11,1,1,2,3,18,18.0,+26,Nikola Jovic
2019-01-19,23-334,DEN,HOME,CLE,W (+22),1,27:39,8,12,.667,3,6,.500,0,1,.000,3,8,11,12,1,0,1,3,19,25.1,+21,Nikola Jovic
2019-01-23,23-338,DEN,AWAY,UTA,L (-6),1,37:05,10,21,.476,1,7,.143,7,7,1.000,3,18,21,6,2,1,3,5,28,26.7,-11,Nikola Jovic
2019-01-25,23-340,DEN,HOME,PHO,W (+37),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Nikola Jovic
