DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,31-360,CHI,AWAY,MIA,W (+8),1,33:07,5,13,.385,1,5,.200,4,4,1.000,5,12,17,2,0,3,1,1,15,17.1,+16,Nikola Vucevic
2022-10-21,31-362,CHI,AWAY,WAS,L (-2),1,29:59,5,14,.357,2,7,.286,12,12,1.000,2,6,8,1,0,0,1,0,24,19.1,-10,Nikola Vucevic
2022-10-22,31-363,CHI,HOME,CLE,L (-32),1,30:47,7,12,.583,2,3,.667,0,0,,1,3,4,3,0,3,2,3,16,13.0,-10,Nikola Vucevic
2022-10-24,32-000,CHI,HOME,BOS,W (+18),1,30:37,7,19,.368,0,3,.000,4,5,.800,10,13,23,5,0,0,2,3,18,18.3,+1,Nikola Vucevic
2022-10-26,32-002,CHI,HOME,IND,W (+15),1,31:15,5,10,.500,1,3,.333,3,3,1.000,1,6,7,4,0,0,2,4,14,10.7,-1,Nikola Vucevic
2022-10-28,32-004,CHI,AWAY,SAS,L (-5),1,24:31,4,13,.308,1,5,.200,0,0,,3,2,5,2,0,1,2,3,9,3.1,-15,Nikola Vucevic
2022-10-29,32-005,CHI,HOME,PHI,L (-5),1,36:22,8,14,.571,5,7,.714,2,2,1.000,3,16,19,3,1,0,4,4,23,20.8,-2,Nikola Vucevic
2022-11-01,32-008,CHI,AWAY,BRK,W (+9),1,31:56,3,8,.375,0,1,.000,1,2,.500,3,12,15,2,1,0,1,2,7,8.5,+5,Nikola Vucevic
2022-11-02,32-009,CHI,HOME,CHO,W (+18),1,31:34,5,16,.313,2,6,.333,2,2,1.000,2,11,13,3,0,1,4,2,14,7.5,-4,Nikola Vucevic
2022-11-04,32-011,CHI,AWAY,BOS,L (-4),1,35:14,10,14,.714,4,5,.800,0,0,,3,9,12,3,1,0,1,4,24,23.5,+10,Nikola Vucevic
2022-11-06,32-013,CHI,AWAY,TOR,L (-9),1,35:28,8,13,.615,2,5,.400,0,0,,4,8,12,6,0,1,4,2,18,17.4,-10,Nikola Vucevic
