DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,30-153,LAC,HOME,POR,W (+12),0,22:54,2,6,.333,2,5,.400,2,2,1.000,0,3,3,1,0,0,2,0,8,4.2,-4,Norman Powell
2023-10-27,30-155,LAC,AWAY,UTA,L (-2),0,25:16,7,10,.700,2,4,.500,4,4,1.000,0,3,3,1,1,0,1,2,20,16.6,+3,Norman Powell
2023-10-29,30-157,LAC,HOME,SAS,W (+40),0,19:06,5,11,.455,2,5,.400,1,2,.500,1,2,3,1,2,1,0,1,13,11.2,+8,Norman Powell
2023-10-31,30-159,LAC,HOME,ORL,W (+16),0,28:56,5,8,.625,2,5,.400,5,7,.714,0,3,3,3,0,0,3,4,17,11.0,-2,Norman Powell
2023-11-01,30-160,LAC,AWAY,LAL,L (-5),0,35:01,6,14,.429,0,4,.000,0,0,,0,2,2,3,0,1,0,6,12,5.6,-14,Norman Powell
2023-11-06,30-165,LAC,AWAY,NYK,L (-14),0,22:21,5,7,.714,4,6,.667,0,0,,0,1,1,0,0,1,3,1,14,8.7,-6,Norman Powell
2023-11-08,30-167,LAC,AWAY,BRK,L (-7),0,22:29,4,8,.500,2,5,.400,0,0,,0,1,1,1,2,2,1,2,10,8.6,-6,Norman Powell
2023-11-10,30-169,LAC,AWAY,DAL,L (-18),0,11:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-3.1,-35,Norman Powell
2023-11-12,30-171,LAC,HOME,MEM,L (-4),0,31:11,7,13,.538,4,7,.571,2,6,.333,0,2,2,3,0,0,0,5,20,12.8,+8,Norman Powell
2023-11-14,30-173,LAC,AWAY,DEN,L (-3),0,25:57,4,7,.571,2,3,.667,4,5,.800,0,1,1,1,0,0,0,5,14,9.3,+5,Norman Powell
2023-11-17,30-176,LAC,HOME,HOU,W (+6),0,29:54,3,11,.273,2,5,.400,2,2,1.000,1,2,3,3,1,1,0,2,10,7.8,-6,Norman Powell
2023-11-20,30-179,LAC,AWAY,SAS,W (+25),0,29:44,5,12,.417,2,6,.333,7,7,1.000,0,5,5,0,2,1,1,0,19,15.8,+18,Norman Powell
2023-11-22,30-181,LAC,AWAY,SAS,W (+7),0,13:39,2,4,.500,1,1,1.000,0,1,.000,0,1,1,0,0,1,2,1,5,1.2,+1,Norman Powell
2023-11-24,30-183,LAC,HOME,NOP,L (-10),0,27:40,8,14,.571,3,5,.600,1,1,1.000,0,1,1,0,3,0,0,1,20,16.3,-2,Norman Powell
2023-11-25,30-184,LAC,HOME,DAL,W (+19),0,24:30,4,4,1.000,3,3,1.000,4,4,1.000,0,3,3,1,0,0,1,2,15,13.6,+2,Norman Powell
2023-11-27,30-186,LAC,HOME,DEN,L (-9),0,21:12,2,8,.250,1,5,.200,5,5,1.000,1,1,2,1,1,1,0,3,10,7.4,-10,Norman Powell
2023-11-29,30-188,LAC,AWAY,SAC,W (+14),0,13:05,1,6,.167,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,-0.9,0,Norman Powell
2023-11-30,30-189,LAC,AWAY,GSW,L (-6),0,17:42,1,2,.500,0,0,,3,3,1.000,0,0,0,0,1,0,2,1,5,2.6,-13,Norman Powell
2023-12-02,30-191,LAC,HOME,GSW,W (+1),0,29:33,5,12,.417,2,5,.400,0,0,,1,0,1,0,0,0,2,1,12,3.9,+14,Norman Powell
2023-12-06,30-195,LAC,HOME,DEN,W (+9),0,31:38,5,12,.417,1,3,.333,6,6,1.000,0,5,5,2,1,0,1,0,17,13.5,+24,Norman Powell
2023-12-08,30-197,LAC,AWAY,UTA,W (+14),0,27:56,4,11,.364,2,8,.250,0,0,,0,1,1,1,0,0,1,0,10,3.9,+2,Norman Powell
2023-12-11,30-200,LAC,HOME,POR,W (+5),0,24:55,6,9,.667,2,4,.500,2,2,1.000,0,3,3,1,1,2,0,4,16,14.5,+3,Norman Powell
2023-12-12,30-201,LAC,HOME,SAC,W (+20),0,27:17,5,11,.455,2,4,.500,3,3,1.000,0,1,1,2,0,0,1,1,15,9.6,+26,Norman Powell
2023-12-14,30-203,LAC,HOME,GSW,W (+8),0,36:09,9,13,.692,1,4,.250,2,2,1.000,0,5,5,2,1,0,1,3,21,17.2,+20,Norman Powell
2023-12-16,30-205,LAC,HOME,NYK,W (+22),0,24:25,6,10,.600,1,2,.500,3,3,1.000,0,2,2,0,0,1,1,1,16,11.3,+9,Norman Powell
2023-12-18,30-207,LAC,AWAY,IND,W (+24),0,29:47,6,11,.545,4,6,.667,3,3,1.000,0,3,3,0,0,0,0,1,19,14.2,+23,Norman Powell
2023-12-20,30-209,LAC,AWAY,DAL,W (+9),0,31:07,7,10,.700,3,6,.500,4,4,1.000,0,3,3,2,1,0,1,2,21,18.3,+16,Norman Powell
2023-12-21,30-210,LAC,AWAY,OKC,L (-19),0,23:11,6,11,.545,4,8,.500,0,0,,1,3,4,1,0,1,1,0,16,12.7,-2,Norman Powell
2023-12-23,30-212,LAC,HOME,BOS,L (-37),0,25:01,3,9,.333,1,3,.333,0,0,,0,0,0,0,0,0,1,5,7,-1.1,-10,Norman Powell
2023-12-26,30-215,LAC,HOME,CHO,W (+9),0,28:01,2,7,.286,1,5,.200,2,2,1.000,0,3,3,0,0,0,0,1,7,3.4,+5,Norman Powell
2023-12-29,30-218,LAC,HOME,MEM,W (+11),0,24:57,5,12,.417,1,4,.250,2,2,1.000,0,6,6,1,0,0,1,2,13,7.3,-7,Norman Powell
2024-01-01,30-221,LAC,HOME,MIA,W (+17),0,33:01,9,11,.818,4,5,.800,0,0,,0,2,2,2,2,0,1,4,22,19.3,+13,Norman Powell
2024-01-03,30-223,LAC,AWAY,PHO,W (+9),0,26:25,5,8,.625,3,5,.600,0,0,,0,2,2,1,0,0,3,1,13,7.3,-7,Norman Powell
2024-01-05,30-225,LAC,AWAY,NOP,W (+16),0,25:00,5,13,.385,3,6,.500,0,0,,0,3,3,2,1,0,0,1,13,8.8,+36,Norman Powell
