DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,26-100,TOR,HOME,MIN,W (+3),1,33:48,7,13,.538,4,9,.444,2,2,1.000,0,6,6,1,2,3,2,2,20,17.5,+6,OG Anunoby
2023-10-27,26-102,TOR,AWAY,CHI,L (-1),1,27:49,5,8,.625,1,4,.250,0,1,.000,0,3,3,0,2,0,1,2,11,8.1,+28,OG Anunoby
2023-10-28,26-103,TOR,HOME,PHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,OG Anunoby
2023-10-30,26-105,TOR,HOME,POR,L (-8),1,30:14,4,12,.333,2,9,.222,0,0,,0,3,3,1,2,1,2,0,10,5.5,0,OG Anunoby
2023-11-01,26-107,TOR,HOME,MIL,W (+19),1,24:57,7,7,1.000,1,1,1.000,1,2,.500,0,2,2,3,1,0,2,5,16,13.2,+16,OG Anunoby
2023-11-02,26-108,TOR,AWAY,PHI,L (-15),1,32:45,7,12,.583,2,4,.500,0,0,,1,3,4,1,0,1,3,2,16,9.6,+5,OG Anunoby
2023-11-05,26-111,TOR,AWAY,SAS,W (+7),1,38:02,8,16,.500,7,13,.538,1,4,.250,2,4,6,4,2,0,1,3,24,20.0,+8,OG Anunoby
2023-11-08,26-114,TOR,AWAY,DAL,W (+11),1,35:43,9,17,.529,3,8,.375,5,6,.833,1,4,5,2,0,0,2,4,26,17.0,+9,OG Anunoby
2023-11-11,26-117,TOR,AWAY,BOS,L (-23),1,27:31,3,13,.231,2,8,.250,0,0,,1,2,3,2,1,0,0,0,8,3.8,-26,OG Anunoby
2023-11-13,26-119,TOR,HOME,WAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,OG Anunoby
2023-11-15,26-121,TOR,HOME,MIL,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,OG Anunoby
2023-11-17,26-123,TOR,HOME,BOS,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,OG Anunoby
2023-11-19,26-125,TOR,HOME,DET,W (+29),1,26:52,2,11,.182,1,6,.167,4,6,.667,1,4,5,3,2,0,1,3,9,5.1,+15,OG Anunoby
2023-11-21,26-127,TOR,AWAY,ORL,L (-19),1,30:26,4,8,.500,3,5,.600,0,0,,0,1,1,4,0,3,4,0,11,8.2,-15,OG Anunoby
2023-11-22,26-128,TOR,AWAY,IND,W (+1),1,36:01,5,12,.417,1,4,.250,2,2,1.000,2,2,4,3,1,0,2,3,13,8.5,-6,OG Anunoby
2023-11-24,26-130,TOR,HOME,CHI,W (+13),1,33:56,10,14,.714,5,7,.714,1,2,.500,1,5,6,3,1,0,2,2,26,22.3,+9,OG Anunoby
2023-11-26,26-132,TOR,AWAY,CLE,L (-3),1,34:04,4,12,.333,2,5,.400,1,3,.333,5,2,7,1,0,1,1,1,11,7.5,+11,OG Anunoby
2023-11-28,26-134,TOR,AWAY,BRK,L (-12),1,36:31,4,12,.333,2,6,.333,0,0,,2,1,3,2,0,0,2,3,10,3.1,-14,OG Anunoby
2023-11-29,26-135,TOR,HOME,PHO,W (+7),1,33:31,5,10,.500,3,5,.600,0,1,.000,0,3,3,1,3,1,0,3,13,11.7,+1,OG Anunoby
2023-12-01,26-137,TOR,HOME,NYK,L (-13),1,27:08,4,13,.308,1,6,.167,0,0,,1,4,5,3,1,2,3,5,9,2.9,-4,OG Anunoby
2023-12-06,26-142,TOR,HOME,MIA,L (-9),1,39:01,8,13,.615,5,10,.500,2,2,1.000,1,7,8,6,1,1,2,2,23,23.0,-9,OG Anunoby
