DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,21-312,ATL,HOME,HOU,W (+10),0,21:07,6,8,.750,0,0,,1,3,.333,1,8,9,0,0,0,0,4,13,10.5,+8,Onyeka Okongwu
2022-10-21,21-314,ATL,HOME,ORL,W (+10),0,16:23,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,0,1,4,3,0.7,+4,Onyeka Okongwu
2022-10-23,21-316,ATL,HOME,CHO,L (-17),0,23:23,4,6,.667,0,0,,2,4,.500,3,2,5,1,1,2,2,4,10,8.8,+1,Onyeka Okongwu
2022-10-26,21-319,ATL,AWAY,DET,W (+5),0,21:18,5,5,1.000,0,0,,0,0,,0,3,3,0,1,1,0,2,10,10.3,-19,Onyeka Okongwu
2022-10-28,21-321,ATL,AWAY,DET,W (+24),0,21:31,7,10,.700,0,0,,2,2,1.000,5,2,7,2,1,1,0,2,16,18.2,+10,Onyeka Okongwu
2022-10-29,21-322,ATL,AWAY,MIL,L (-8),0,19:13,3,5,.600,0,0,,0,0,,2,4,6,1,0,1,2,4,6,4.1,+6,Onyeka Okongwu
2022-10-31,21-324,ATL,AWAY,TOR,L (-30),0,16:15,3,4,.750,0,0,,2,2,1.000,1,4,5,1,0,2,1,3,8,8.2,0,Onyeka Okongwu
2022-11-02,21-326,ATL,AWAY,NYK,W (+13),0,19:21,2,4,.500,0,0,,0,0,,3,4,7,1,1,0,0,2,4,6.2,-2,Onyeka Okongwu
2022-11-05,21-329,ATL,HOME,NOP,W (+3),0,17:44,1,2,.500,0,0,,2,2,1.000,0,1,1,1,1,0,0,5,4,3.0,-4,Onyeka Okongwu
2022-11-07,21-331,ATL,HOME,MIL,W (+19),0,22:00,6,11,.545,0,1,.000,0,0,,3,3,6,2,1,0,1,1,12,10.7,+22,Onyeka Okongwu
2022-11-09,21-333,ATL,HOME,UTA,L (-6),0,19:59,2,4,.500,0,0,,0,0,,1,4,5,3,1,1,0,2,4,6.9,-17,Onyeka Okongwu
2022-11-10,21-334,ATL,HOME,PHI,W (+9),0,21:15,5,6,.833,0,0,,0,0,,2,9,11,0,0,2,1,5,10,10.3,-17,Onyeka Okongwu
