DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,20-347,ORL,HOME,HOU,W (+30),1,27:54,3,6,.500,0,1,.000,6,7,.857,0,5,5,5,1,0,1,2,12,12.8,+13,Paolo Banchero
2023-10-27,20-349,ORL,AWAY,POR,W (+5),1,35:08,5,12,.417,0,0,,4,9,.444,2,5,7,4,2,0,3,1,14,9.9,+2,Paolo Banchero
2023-10-30,20-352,ORL,AWAY,LAL,L (-3),1,30:28,4,14,.286,1,5,.200,0,2,.000,1,4,5,5,0,0,2,3,9,2.2,-12,Paolo Banchero
2023-10-31,20-353,ORL,AWAY,LAC,L (-16),1,32:03,5,13,.385,1,3,.333,4,8,.500,0,4,4,4,4,0,3,3,15,10.1,-15,Paolo Banchero
2023-11-02,20-355,ORL,AWAY,UTA,W (+2),1,35:45,9,13,.692,1,2,.500,11,15,.733,2,7,9,5,3,2,6,4,30,26.7,-5,Paolo Banchero
2023-11-04,20-357,ORL,HOME,LAL,W (+19),1,34:02,9,15,.600,2,4,.500,5,7,.714,1,6,7,10,1,1,4,2,25,23.7,+23,Paolo Banchero
2023-11-06,20-359,ORL,HOME,DAL,L (-15),1,37:20,8,18,.444,0,1,.000,6,6,1.000,1,4,5,6,0,0,6,5,22,10.7,-15,Paolo Banchero
2023-11-09,20-362,ORL,HOME,ATL,L (-1),1,34:08,7,14,.500,1,3,.333,2,4,.500,4,4,8,4,1,0,5,4,17,10.4,-5,Paolo Banchero
2023-11-11,20-364,ORL,HOME,MIL,W (+15),1,38:16,10,22,.455,2,5,.400,4,5,.800,3,9,12,5,1,0,3,2,26,19.7,+10,Paolo Banchero
2023-11-14,21-002,ORL,AWAY,BRK,L (-20),1,35:21,6,15,.400,4,7,.571,3,6,.500,0,6,6,3,2,1,2,0,19,14.3,-16,Paolo Banchero
2023-11-15,21-003,ORL,AWAY,CHI,W (+2),1,32:40,4,12,.333,2,4,.500,7,10,.700,1,8,9,3,1,0,1,0,17,14.2,-8,Paolo Banchero
2023-11-17,21-005,ORL,AWAY,CHI,W (+6),1,31:42,6,14,.429,0,1,.000,1,4,.250,3,5,8,4,0,1,7,3,13,3.3,0,Paolo Banchero
2023-11-19,21-007,ORL,AWAY,IND,W (+12),1,26:40,9,14,.643,0,0,,6,7,.857,1,2,3,0,1,2,1,1,24,19.7,+28,Paolo Banchero
2023-11-21,21-009,ORL,HOME,TOR,W (+19),1,31:45,10,20,.500,2,3,.667,3,3,1.000,1,4,5,3,0,1,3,2,25,15.9,+14,Paolo Banchero
2023-11-22,21-010,ORL,HOME,DEN,W (+5),1,34:42,8,14,.571,4,5,.800,3,5,.600,1,2,3,4,1,3,3,1,23,19.4,-4,Paolo Banchero
2023-11-24,21-012,ORL,HOME,BOS,W (+17),1,34:32,10,16,.625,2,6,.333,1,2,.500,1,6,7,5,0,0,3,4,23,16.8,+7,Paolo Banchero
2023-11-26,21-014,ORL,HOME,CHO,W (+13),1,37:05,9,18,.500,2,5,.400,3,6,.500,0,7,7,8,2,0,2,2,23,19.7,+8,Paolo Banchero
2023-11-29,21-017,ORL,HOME,WAS,W (+19),1,26:46,2,8,.250,0,0,,2,3,.667,1,3,4,4,0,0,4,2,6,0.4,+8,Paolo Banchero
2023-12-01,21-019,ORL,HOME,WAS,W (+5),1,38:02,11,20,.550,3,4,.750,3,3,1.000,3,10,13,7,0,0,2,2,28,25.6,+1,Paolo Banchero
2023-12-02,21-020,ORL,AWAY,BRK,L (-28),1,33:56,6,15,.400,0,2,.000,7,9,.778,1,9,10,8,1,0,1,3,19,17.9,-16,Paolo Banchero
