DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,29-206,TOR,HOME,MIN,W (+3),1,34:06,5,17,.294,3,5,.600,2,2,1.000,0,7,7,6,1,0,2,2,15,9.6,+7,Pascal Siakam
2023-10-27,29-208,TOR,AWAY,CHI,L (-1),1,41:17,7,15,.467,1,5,.200,3,5,.600,1,7,8,2,0,0,3,4,18,9.1,-2,Pascal Siakam
2023-10-28,29-209,TOR,HOME,PHI,L (-7),1,36:18,3,8,.375,2,5,.400,3,4,.750,1,6,7,4,0,1,2,4,11,8.6,-5,Pascal Siakam
2023-10-30,29-211,TOR,HOME,POR,L (-8),1,35:06,9,21,.429,0,6,.000,2,3,.667,1,5,6,3,1,0,0,1,20,13.4,-2,Pascal Siakam
2023-11-01,29-213,TOR,HOME,MIL,W (+19),1,32:54,9,13,.692,5,8,.625,3,3,1.000,0,6,6,7,0,0,3,3,26,23.0,+22,Pascal Siakam
2023-11-02,29-214,TOR,AWAY,PHI,L (-15),1,33:09,5,11,.455,0,3,.000,0,0,,1,2,3,6,0,0,2,5,10,5.8,-14,Pascal Siakam
2023-11-05,29-217,TOR,AWAY,SAS,W (+7),1,35:49,2,12,.167,1,4,.250,3,3,1.000,0,6,6,5,1,0,3,3,8,2.5,+7,Pascal Siakam
2023-11-08,29-220,TOR,AWAY,DAL,W (+11),1,37:11,15,25,.600,0,5,.000,1,4,.250,4,8,12,5,0,0,3,2,31,23.2,+7,Pascal Siakam
2023-11-11,29-223,TOR,AWAY,BOS,L (-23),1,28:07,6,17,.353,0,4,.000,5,6,.833,2,5,7,3,3,0,3,0,17,12.1,-9,Pascal Siakam
2023-11-13,29-225,TOR,HOME,WAS,W (+4),1,37:32,15,23,.652,0,3,.000,9,14,.643,2,9,11,7,3,0,6,1,39,32.5,+18,Pascal Siakam
2023-11-15,29-227,TOR,HOME,MIL,L (-16),1,28:36,4,9,.444,0,2,.000,3,5,.600,2,5,7,5,0,1,4,1,11,8.2,-21,Pascal Siakam
2023-11-17,29-229,TOR,HOME,BOS,L (-3),1,29:06,11,16,.688,0,1,.000,1,1,1.000,1,5,6,5,0,0,3,5,23,16.9,+17,Pascal Siakam
2023-11-19,29-231,TOR,HOME,DET,W (+29),1,28:40,10,18,.556,1,2,.500,2,3,.667,3,4,7,6,1,0,0,1,23,22.1,+23,Pascal Siakam
2023-11-21,29-233,TOR,AWAY,ORL,L (-19),1,30:10,5,10,.500,0,2,.000,6,8,.750,0,2,2,8,1,0,2,1,16,15.0,-7,Pascal Siakam
2023-11-22,29-234,TOR,AWAY,IND,W (+1),1,37:36,13,24,.542,1,3,.333,9,11,.818,3,7,10,5,0,1,2,2,36,29.2,-5,Pascal Siakam
2023-11-24,29-236,TOR,HOME,CHI,W (+13),1,37:29,6,12,.500,1,6,.167,5,6,.833,0,3,3,8,1,0,3,2,18,15.3,+14,Pascal Siakam
2023-11-26,29-238,TOR,AWAY,CLE,L (-3),1,37:39,7,17,.412,0,4,.000,4,6,.667,4,4,8,6,1,1,4,0,18,14.0,+6,Pascal Siakam
2023-11-28,29-240,TOR,AWAY,BRK,L (-12),1,34:58,6,18,.333,0,4,.000,5,7,.714,2,8,10,2,1,0,2,2,17,9.4,-14,Pascal Siakam
