DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-20,32-171,LAC,AWAY,LAL,W (+6),1,36:11,4,12,.333,2,7,.286,5,6,.833,1,9,10,4,2,0,5,5,15,9.0,+16,Paul George
2022-10-22,32-173,LAC,AWAY,SAC,W (+2),1,38:35,16,31,.516,3,10,.300,5,5,1.000,2,4,6,6,2,1,4,2,40,29.4,-4,Paul George
2022-10-23,32-174,LAC,HOME,PHO,L (-17),1,33:40,4,11,.364,2,6,.333,6,6,1.000,0,7,7,4,2,0,2,2,16,14.0,-7,Paul George
2022-10-25,32-176,LAC,AWAY,OKC,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-10-27,32-178,LAC,AWAY,OKC,L (-8),1,30:59,4,12,.333,0,4,.000,2,2,1.000,0,7,7,3,0,0,3,1,10,4.0,-25,Paul George
2022-10-30,32-181,LAC,HOME,NOP,L (-21),1,27:46,5,19,.263,2,8,.250,2,2,1.000,1,2,3,3,1,0,4,3,14,1.9,-10,Paul George
2022-10-31,32-182,LAC,HOME,HOU,W (+2),1,37:58,15,26,.577,5,10,.500,0,1,.000,0,9,9,8,6,2,3,3,35,33.9,+16,Paul George
2022-11-02,32-184,LAC,AWAY,HOU,W (+8),1,36:51,10,20,.500,3,8,.375,5,6,.833,1,3,4,5,1,0,5,1,28,18.3,+14,Paul George
2022-11-04,32-186,LAC,AWAY,SAS,W (+7),1,37:31,11,16,.688,4,6,.667,6,7,.857,0,2,2,6,1,0,5,2,32,24.8,+16,Paul George
2022-11-06,32-188,LAC,HOME,UTA,L (-8),1,38:02,11,22,.500,5,14,.357,7,8,.875,0,8,8,4,1,0,5,5,34,21.8,+1,Paul George
2022-11-07,32-189,LAC,HOME,CLE,W (+2),1,39:41,10,20,.500,5,11,.455,1,3,.333,0,5,5,3,1,0,1,2,26,18.0,-4,Paul George
2022-11-09,32-191,LAC,HOME,LAL,W (+13),1,36:16,10,17,.588,2,7,.286,7,9,.778,0,6,6,4,1,2,4,3,29,22.1,+16,Paul George
2022-11-12,32-194,LAC,HOME,BRK,L (-15),1,34:06,5,21,.238,1,6,.167,6,7,.857,0,4,4,4,0,2,2,3,17,6.1,-19,Paul George
2022-11-14,32-196,LAC,AWAY,HOU,W (+16),1,29:05,7,18,.389,2,7,.286,6,8,.750,1,7,8,5,2,0,1,2,22,17.9,+8,Paul George
2022-11-15,32-197,LAC,AWAY,DAL,L (-2),1,41:28,7,13,.538,1,3,.333,8,8,1.000,0,7,7,6,2,0,10,4,23,13.4,+2,Paul George
2022-11-17,32-199,LAC,HOME,DET,W (+5),1,35:49,5,18,.278,3,6,.500,3,3,1.000,2,7,9,3,1,0,4,5,16,6.0,+4,Paul George
2022-11-19,32-201,LAC,HOME,SAS,W (+22),1,14:49,8,12,.667,5,8,.625,0,0,,0,1,1,1,2,0,0,0,21,18.8,+25,Paul George
2022-11-21,32-203,LAC,HOME,UTA,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-11-23,32-205,LAC,AWAY,GSW,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-11-25,32-207,LAC,HOME,DEN,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-11-27,32-209,LAC,HOME,IND,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-11-29,32-211,LAC,AWAY,POR,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-11-30,32-212,LAC,AWAY,UTA,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-12-03,32-215,LAC,HOME,SAC,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-12-05,32-217,LAC,AWAY,CHO,W (+2),1,27:58,8,15,.533,2,4,.500,1,1,1.000,1,2,3,7,0,0,2,1,19,15.5,-8,Paul George
2022-12-07,32-219,LAC,AWAY,ORL,L (-5),1,32:32,3,12,.250,2,6,.333,3,3,1.000,1,6,7,5,1,1,4,2,11,6.7,+21,Paul George
2022-12-08,32-220,LAC,AWAY,MIA,L (-5),1,32:14,10,20,.500,5,11,.455,4,4,1.000,1,7,8,7,1,0,4,2,29,22.9,+8,Paul George
2022-12-10,32-222,LAC,AWAY,WAS,W (+7),1,40:53,13,27,.481,5,12,.417,5,5,1.000,2,5,7,6,3,2,2,4,36,30.2,+8,Paul George
2022-12-12,32-224,LAC,HOME,BOS,W (+20),1,35:27,8,22,.364,2,5,.400,8,9,.889,0,6,6,3,1,0,2,4,26,14.7,+18,Paul George
2022-12-14,32-226,LAC,HOME,MIN,W (+11),1,33:23,4,13,.308,2,7,.286,7,8,.875,3,8,11,11,0,0,4,2,17,16.5,+9,Paul George
2022-12-15,32-227,LAC,HOME,PHO,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-12-17,32-229,LAC,HOME,WAS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2022-12-21,32-233,LAC,HOME,CHO,W (+21),1,30:54,7,15,.467,4,10,.400,4,4,1.000,1,7,8,8,1,2,7,2,22,17.3,+28,Paul George
2022-12-23,32-235,LAC,AWAY,PHI,L (-5),1,35:36,7,18,.389,3,10,.300,5,5,1.000,0,3,3,4,2,0,2,3,22,14.7,-16,Paul George
2022-12-26,32-238,LAC,AWAY,DET,W (+11),1,37:31,9,19,.474,2,7,.286,12,14,.857,0,4,4,11,3,1,3,3,32,29.9,-7,Paul George
2022-12-27,32-239,LAC,AWAY,TOR,W (+11),1,34:08,9,18,.500,5,9,.556,0,0,,0,7,7,5,1,0,3,2,23,16.8,+4,Paul George
2022-12-29,32-241,LAC,AWAY,BOS,L (-6),1,40:18,10,22,.455,3,9,.333,1,1,1.000,0,4,4,6,2,0,4,4,24,14.4,-9,Paul George
2022-12-31,32-243,LAC,AWAY,IND,L (-1),1,39:54,15,25,.600,7,13,.538,8,8,1.000,2,7,9,4,3,0,4,4,45,37.2,-4,Paul George
2023-01-02,32-245,LAC,HOME,MIA,L (-10),1,34:05,7,16,.438,4,10,.400,7,8,.875,0,3,3,7,3,0,5,2,25,19.2,-4,Paul George
2023-01-05,32-248,LAC,AWAY,DEN,L (-31),1,13:43,1,9,.111,1,5,.200,0,0,,0,3,3,1,0,0,0,0,3,-1.3,-16,Paul George
2023-01-06,32-249,LAC,AWAY,MIN,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2023-01-08,32-251,LAC,HOME,ATL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2023-01-10,32-253,LAC,HOME,DAL,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2023-01-13,32-256,LAC,HOME,DEN,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2023-01-15,32-258,LAC,HOME,HOU,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2023-01-17,32-260,LAC,HOME,PHI,L (-10),1,28:57,5,11,.455,1,4,.250,2,3,.667,1,7,8,4,1,0,5,4,13,6.9,-5,Paul George
2023-01-18,32-261,LAC,AWAY,UTA,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2023-01-20,32-263,LAC,AWAY,SAS,W (+5),1,31:39,7,13,.538,2,3,.667,0,0,,0,3,3,12,1,0,0,3,16,18.8,+17,Paul George
2023-01-22,32-265,LAC,AWAY,DAL,W (+14),1,34:12,6,11,.545,1,3,.333,8,8,1.000,1,5,6,4,1,0,5,3,21,15.5,+2,Paul George
2023-01-24,32-267,LAC,AWAY,LAL,W (+18),1,36:14,11,20,.550,3,9,.333,2,2,1.000,1,8,9,4,0,1,4,3,27,18.8,+6,Paul George
2023-01-26,32-269,LAC,HOME,SAS,W (+38),1,35:21,14,19,.737,5,8,.625,2,3,.667,1,3,4,7,3,1,0,1,35,36.7,+26,Paul George
2023-01-28,32-271,LAC,AWAY,ATL,W (+7),1,36:53,7,18,.389,3,9,.333,6,7,.857,1,6,7,6,1,0,2,3,23,17.3,+13,Paul George
2023-01-29,32-272,LAC,AWAY,CLE,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Paul George
2023-01-31,32-274,LAC,AWAY,CHI,W (+5),1,39:40,7,16,.438,2,8,.250,0,0,,3,7,10,7,2,0,5,4,16,12.1,+4,Paul George
2023-02-02,32-276,LAC,AWAY,MIL,L (-1),1,36:10,6,16,.375,2,5,.400,2,6,.333,0,6,6,2,3,0,3,2,16,8.0,+9,Paul George
2023-02-04,32-278,LAC,AWAY,NYK,W (+6),1,41:48,9,16,.563,5,9,.556,7,7,1.000,0,8,8,5,1,0,4,3,30,24.1,+3,Paul George
2023-02-06,32-280,LAC,AWAY,BRK,W (+8),1,34:16,10,20,.500,3,7,.429,6,7,.857,1,3,4,3,2,0,2,4,29,20.7,-2,Paul George
2023-02-08,32-282,LAC,HOME,DAL,L (-6),1,33:59,8,20,.400,3,9,.333,1,2,.500,1,4,5,4,1,0,4,3,20,9.3,-12,Paul George
2023-02-10,32-284,LAC,HOME,MIL,L (-13),1,31:52,8,23,.348,3,11,.273,0,0,,1,10,11,6,1,0,1,1,19,13.6,-19,Paul George
2023-02-14,32-288,LAC,HOME,GSW,W (+10),1,31:32,6,12,.500,1,5,.200,7,7,1.000,1,1,2,8,0,0,2,4,20,17.0,+9,Paul George
