DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,23-265,BOS,AWAY,NYK,L (-4),0,11:17,0,3,.000,0,2,.000,0,0,,3,2,5,2,0,1,0,1,0,2.3,+4,Payton Pritchard
2021-10-22,23-267,BOS,HOME,TOR,L (-32),0,15:56,1,4,.250,1,3,.333,0,0,,0,2,2,2,0,0,0,2,3,1.8,-30,Payton Pritchard
2021-10-24,23-269,BOS,AWAY,HOU,W (+10),0,15:42,2,6,.333,2,5,.400,0,0,,1,2,3,3,0,0,1,1,6,4.6,0,Payton Pritchard
2021-10-25,23-270,BOS,AWAY,CHO,W (+11),0,13:50,1,3,.333,1,3,.333,0,0,,1,1,2,2,0,0,1,3,3,1.5,-5,Payton Pritchard
2021-10-27,23-272,BOS,HOME,WAS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Payton Pritchard
2021-10-30,23-275,BOS,AWAY,WAS,L (-3),0,18:21,2,4,.500,1,3,.333,0,0,,0,3,3,1,0,0,1,2,5,2.8,-3,Payton Pritchard
2021-11-01,23-277,BOS,HOME,CHI,L (-14),0,7:18,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-1.1,+8,Payton Pritchard
2021-11-03,23-279,BOS,AWAY,ORL,W (+13),0,9:41,0,1,.000,0,0,,0,0,,0,2,2,1,0,1,0,1,0,0.9,-10,Payton Pritchard
2021-11-04,23-280,BOS,AWAY,MIA,W (+17),0,2:31,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,1.0,-3,Payton Pritchard
2021-11-06,23-282,BOS,AWAY,DAL,L (-3),0,10:45,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.1,+2,Payton Pritchard
2021-11-10,23-286,BOS,HOME,TOR,W (+16),0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Payton Pritchard
2021-11-12,23-288,BOS,HOME,MIL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Payton Pritchard
2021-11-13,23-289,BOS,AWAY,CLE,L (-2),0,15:15,0,5,.000,0,2,.000,0,0,,1,1,2,2,0,0,2,1,0,-3.5,-7,Payton Pritchard
2021-11-15,23-291,BOS,AWAY,CLE,W (+6),0,4:52,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,0.0,+4,Payton Pritchard
2021-11-17,23-293,BOS,AWAY,ATL,L (-11),0,1:32,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,0,Payton Pritchard
2021-11-19,23-295,BOS,HOME,LAL,W (+22),0,8:33,1,3,.333,1,2,.500,2,2,1.000,0,0,0,1,0,0,1,1,5,2.6,+5,Payton Pritchard
2021-11-20,23-296,BOS,HOME,OKC,W (+6),0,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,Payton Pritchard
2021-11-22,23-298,BOS,HOME,HOU,W (+18),0,6:04,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-3.4,-6,Payton Pritchard
2021-11-24,23-300,BOS,HOME,BRK,L (-19),0,4:08,1,2,.500,0,1,.000,1,1,1.000,0,0,0,2,0,0,0,0,3,3.4,-1,Payton Pritchard
2021-11-26,23-302,BOS,AWAY,SAS,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Payton Pritchard
2021-11-28,23-304,BOS,AWAY,TOR,W (+12),0,10:13,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.1,+11,Payton Pritchard
2021-12-01,23-307,BOS,HOME,PHI,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Payton Pritchard
2021-12-03,23-309,BOS,AWAY,UTA,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Payton Pritchard
2021-12-04,23-310,BOS,AWAY,POR,W (+28),0,18:14,6,12,.500,5,10,.500,2,2,1.000,0,2,2,3,1,0,0,1,19,16.3,+7,Payton Pritchard
2021-12-07,23-313,BOS,AWAY,LAL,L (-15),0,12:00,2,6,.333,2,5,.400,0,0,,0,1,1,5,0,0,1,0,6,5.4,+1,Payton Pritchard
2021-12-08,23-314,BOS,AWAY,LAC,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Payton Pritchard
2021-12-10,23-316,BOS,AWAY,PHO,L (-21),0,12:00,1,5,.200,1,2,.500,0,0,,1,1,2,3,0,0,0,0,3,3.0,-6,Payton Pritchard
2021-12-13,23-319,BOS,HOME,MIL,W (+14),0,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Payton Pritchard
