DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,21-128,NYK,HOME,BOS,W (+4),1,47:03,6,11,.545,3,7,.429,4,6,.667,0,5,5,2,0,2,0,5,19,15.2,+8,RJ Barrett
2021-10-22,21-130,NYK,AWAY,ORL,W (+25),1,25:21,3,8,.375,0,5,.000,1,3,.333,1,6,7,3,1,1,2,1,7,5.7,+12,RJ Barrett
2021-10-24,21-132,NYK,HOME,ORL,L (-6),1,33:03,5,17,.294,1,7,.143,1,1,1.000,1,3,4,5,1,0,2,4,12,4.6,-3,RJ Barrett
2021-10-26,21-134,NYK,HOME,PHI,W (+13),1,31:21,4,10,.400,2,4,.500,0,0,,0,7,7,1,0,0,4,2,10,2.6,-1,RJ Barrett
2021-10-28,21-136,NYK,AWAY,CHI,W (+1),1,33:24,8,15,.533,1,3,.333,3,3,1.000,0,3,3,1,1,0,1,2,20,13.5,+3,RJ Barrett
2021-10-30,21-138,NYK,AWAY,NOP,W (+6),1,35:56,12,18,.667,6,8,.750,5,6,.833,0,8,8,6,0,0,1,3,35,31.2,+8,RJ Barrett
2021-11-01,21-140,NYK,HOME,TOR,L (-9),1,38:45,9,13,.692,5,8,.625,4,6,.667,0,6,6,0,1,0,4,2,27,18.7,-13,RJ Barrett
2021-11-03,21-142,NYK,AWAY,IND,L (-13),1,34:11,8,20,.400,2,6,.333,5,7,.714,2,3,5,3,0,0,2,4,23,12.2,-14,RJ Barrett
2021-11-05,21-144,NYK,AWAY,MIL,W (+15),1,39:23,8,21,.381,2,7,.286,2,2,1.000,2,5,7,3,0,0,2,2,20,10.7,+15,RJ Barrett
2021-11-07,21-146,NYK,HOME,CLE,L (-17),1,29:52,3,13,.231,0,6,.000,0,0,,1,2,3,1,0,0,4,2,6,-4.7,-14,RJ Barrett
2021-11-08,21-147,NYK,AWAY,PHI,W (+7),1,40:24,6,20,.300,2,8,.250,1,1,1.000,2,8,10,4,0,1,3,2,15,6.9,-1,RJ Barrett
2021-11-10,21-149,NYK,HOME,MIL,L (-12),1,20:46,3,8,.375,1,3,.333,2,4,.500,0,3,3,1,1,0,1,2,9,4.6,-28,RJ Barrett
2021-11-12,21-151,NYK,AWAY,CHO,L (-8),1,25:58,1,9,.111,0,2,.000,0,0,,0,4,4,0,0,1,1,2,2,-3.8,-17,RJ Barrett
2021-11-15,21-154,NYK,HOME,IND,W (+8),1,30:23,4,13,.308,3,7,.429,1,2,.500,0,6,6,1,0,0,1,1,12,5.2,-1,RJ Barrett
2021-11-17,21-156,NYK,HOME,ORL,L (-6),1,33:38,7,19,.368,0,7,.000,3,3,1.000,1,8,9,5,0,0,3,0,17,10.1,-2,RJ Barrett
2021-11-20,21-159,NYK,HOME,HOU,W (+7),1,25:25,4,13,.308,1,5,.200,2,2,1.000,0,1,1,2,2,0,0,1,11,6.8,-2,RJ Barrett
2021-11-21,21-160,NYK,AWAY,CHI,L (-6),1,33:03,2,12,.167,0,2,.000,5,8,.625,1,14,15,2,1,1,1,3,9,6.0,+6,RJ Barrett
2021-11-23,21-162,NYK,HOME,LAL,W (+6),1,27:22,4,8,.500,3,5,.600,1,2,.500,0,7,7,3,0,0,2,3,12,8.6,0,RJ Barrett
2021-11-26,21-165,NYK,HOME,PHO,L (-21),1,31:27,3,10,.300,1,3,.333,3,4,.750,0,3,3,0,1,0,1,2,10,3.9,-13,RJ Barrett
2021-11-27,21-166,NYK,AWAY,ATL,W (+9),1,30:47,6,11,.545,1,3,.333,2,5,.400,0,7,7,1,0,0,0,0,15,11.3,+18,RJ Barrett
2021-11-30,21-169,NYK,AWAY,BRK,L (-2),1,8:33,2,3,.667,0,0,,0,0,,2,2,4,1,0,0,1,1,4,4.0,+2,RJ Barrett
2021-12-02,21-171,NYK,HOME,CHI,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,RJ Barrett
2021-12-04,21-173,NYK,HOME,DEN,L (-14),1,24:40,5,13,.385,1,7,.143,2,2,1.000,1,3,4,1,0,1,1,0,13,7.9,-17,RJ Barrett
2021-12-07,21-176,NYK,AWAY,SAS,W (+12),1,38:52,11,20,.550,7,8,.875,3,4,.750,1,4,5,2,2,0,2,3,32,24.1,+5,RJ Barrett
2021-12-08,21-177,NYK,AWAY,IND,L (-20),1,34:48,5,12,.417,3,5,.600,6,7,.857,2,0,2,3,0,0,3,3,19,11.5,-25,RJ Barrett
2021-12-10,21-179,NYK,AWAY,TOR,L (-3),1,29:56,5,16,.313,2,7,.286,7,8,.875,3,3,6,1,0,0,0,1,19,12.7,-9,RJ Barrett
2021-12-12,21-181,NYK,HOME,MIL,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,RJ Barrett
2021-12-14,21-183,NYK,HOME,GSW,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,RJ Barrett
2021-12-16,21-185,NYK,AWAY,HOU,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,RJ Barrett
2021-12-18,21-187,NYK,AWAY,BOS,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,RJ Barrett
2021-12-21,21-190,NYK,HOME,DET,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,RJ Barrett
