DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,28-180,UTA,AWAY,POR,W (+20),1,28:08,8,10,.800,0,0,,4,6,.667,4,13,17,2,1,0,2,2,20,21.7,+15,Rudy Gobert
2020-12-26,28-183,UTA,HOME,MIN,L (-5),1,29:03,7,10,.700,0,0,,4,6,.667,7,9,16,2,0,1,4,4,18,17.1,+7,Rudy Gobert
2020-12-28,28-185,UTA,AWAY,OKC,W (+1),1,36:49,6,8,.750,0,0,,0,0,,0,10,10,4,1,4,1,1,12,17.0,+5,Rudy Gobert
2020-12-31,28-188,UTA,HOME,PHO,L (-11),1,34:11,7,9,.778,0,0,,4,8,.500,2,12,14,0,1,1,1,3,18,17.4,-9,Rudy Gobert
2021-01-01,28-189,UTA,HOME,LAC,W (+6),1,24:28,5,10,.500,0,0,,2,4,.500,2,7,9,1,1,1,0,4,12,10.5,0,Rudy Gobert
2021-01-03,28-191,UTA,AWAY,SAS,W (+21),1,27:27,2,7,.286,0,0,,3,6,.500,2,14,16,1,0,6,4,1,7,7.8,+18,Rudy Gobert
2021-01-05,28-193,UTA,AWAY,BRK,L (-34),1,27:10,3,10,.300,0,0,,4,5,.800,6,5,11,3,0,2,0,1,10,12.6,-15,Rudy Gobert
2021-01-06,28-194,UTA,AWAY,NYK,L (-12),1,35:00,7,9,.778,0,0,,0,3,.000,2,9,11,2,0,5,0,1,14,17.9,-18,Rudy Gobert
2021-01-08,28-196,UTA,AWAY,MIL,W (+13),1,33:06,4,9,.444,0,0,,1,4,.250,4,10,14,0,1,4,2,1,9,10.3,+13,Rudy Gobert
2021-01-10,28-198,UTA,AWAY,DET,W (+10),1,33:34,1,5,.200,0,0,,2,6,.333,6,13,19,1,0,4,4,2,4,6.1,+7,Rudy Gobert
