DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-24,25-258,LAL,AWAY,DEN,L (-12),0,14:39,3,10,.300,0,3,.000,0,0,,2,1,3,0,0,0,0,2,6,1.1,-8,Rui Hachimura
2023-10-26,25-260,LAL,HOME,PHO,W (+5),0,12:29,2,3,.667,1,2,.500,2,2,1.000,0,0,0,0,1,1,1,2,7,5.6,-13,Rui Hachimura
2023-10-29,25-263,LAL,AWAY,SAC,L (-5),0,17:16,3,6,.500,2,4,.500,3,4,.750,2,4,6,1,0,0,0,1,11,10.5,+9,Rui Hachimura
2023-10-30,25-264,LAL,HOME,ORL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rui Hachimura
2023-11-01,25-266,LAL,HOME,LAC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rui Hachimura
2023-11-04,25-269,LAL,AWAY,ORL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rui Hachimura
2023-11-06,25-271,LAL,AWAY,MIA,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rui Hachimura
2023-11-08,25-273,LAL,AWAY,HOU,L (-34),0,25:34,10,15,.667,2,3,.667,2,5,.400,1,7,8,2,2,1,0,0,24,23.2,-13,Rui Hachimura
2023-11-10,25-275,LAL,AWAY,PHO,W (+3),0,20:27,3,6,.500,1,3,.333,0,1,.000,0,3,3,1,4,1,1,3,7,7.7,+6,Rui Hachimura
2023-11-12,25-277,LAL,HOME,POR,W (+6),1,32:58,6,10,.600,1,3,.333,6,6,1.000,1,4,5,2,2,0,1,1,19,18.3,+17,Rui Hachimura
2023-11-14,25-279,LAL,HOME,MEM,W (+27),0,23:50,8,10,.800,3,3,1.000,4,4,1.000,0,3,3,0,0,0,5,2,23,14.3,+6,Rui Hachimura
