DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,32-041,WAS,AWAY,PHI,L (-6),1,36:18,9,22,.409,0,2,.000,3,5,.600,2,9,11,15,0,0,6,3,21,15.8,+10,Russell Westbrook
2020-12-26,32-044,WAS,HOME,ORL,L (-10),1,35:59,6,19,.316,0,4,.000,3,4,.750,2,13,15,12,2,0,5,3,15,13.2,+2,Russell Westbrook
2020-12-27,32-045,WAS,HOME,ORL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Russell Westbrook
2020-12-29,32-047,WAS,HOME,CHI,L (-8),1,37:44,9,17,.529,1,4,.250,2,2,1.000,0,15,15,11,1,0,6,3,21,18.7,+3,Russell Westbrook
2020-12-31,32-049,WAS,HOME,CHI,L (-3),1,39:19,8,18,.444,3,5,.600,3,6,.500,2,8,10,11,1,0,5,4,22,17.3,-10,Russell Westbrook
2021-01-01,32-050,WAS,AWAY,MIN,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Russell Westbrook
2021-01-03,32-052,WAS,AWAY,BRK,W (+1),1,37:58,7,25,.280,1,7,.143,9,12,.750,1,4,5,10,2,0,2,2,24,16.2,0,Russell Westbrook
2021-01-06,32-055,WAS,AWAY,PHI,L (-5),1,38:57,8,18,.444,3,6,.500,1,4,.250,0,8,8,12,3,1,6,4,20,16.3,-4,Russell Westbrook
2021-01-08,32-057,WAS,AWAY,BOS,L (-9),1,33:29,4,16,.250,2,5,.400,2,2,1.000,0,4,4,8,0,1,7,4,12,1.3,-17,Russell Westbrook
2021-01-09,32-058,WAS,HOME,MIA,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Russell Westbrook
2021-01-11,32-060,WAS,HOME,PHO,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Russell Westbrook
2021-01-24,32-073,WAS,AWAY,SAS,L (-20),1,25:17,3,11,.273,1,3,.333,2,4,.500,3,5,8,6,0,0,4,1,9,5.1,-20,Russell Westbrook
2021-01-26,32-075,WAS,AWAY,HOU,L (-19),1,28:26,7,17,.412,1,4,.250,4,8,.500,2,9,11,7,0,0,6,3,19,10.1,-13,Russell Westbrook
2021-01-27,32-076,WAS,AWAY,NOP,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Russell Westbrook
2021-01-29,32-078,WAS,HOME,ATL,L (-16),1,27:06,8,18,.444,3,5,.600,7,8,.875,0,6,6,4,0,1,3,2,26,17.7,-9,Russell Westbrook
2021-01-31,32-080,WAS,HOME,BRK,W (+3),1,34:36,16,28,.571,4,7,.571,5,7,.714,4,6,10,8,2,1,3,4,41,35.3,+7,Russell Westbrook
2021-02-02,32-082,WAS,HOME,POR,L (-11),1,32:51,7,15,.467,1,3,.333,2,2,1.000,1,11,12,10,0,0,4,4,17,14.7,-14,Russell Westbrook
2021-02-03,32-083,WAS,AWAY,MIA,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Russell Westbrook
2021-02-05,32-085,WAS,AWAY,MIA,L (-27),1,24:36,4,9,.444,0,1,.000,5,7,.714,1,2,3,3,0,0,6,2,13,4.1,-22,Russell Westbrook
2021-02-07,32-087,WAS,AWAY,CHO,L (-22),1,27:40,4,9,.444,0,3,.000,4,8,.500,4,7,11,9,0,2,5,1,12,12.9,-20,Russell Westbrook
2021-02-08,32-088,WAS,AWAY,CHI,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Russell Westbrook
2021-02-10,32-090,WAS,HOME,TOR,L (-22),1,34:03,9,20,.450,3,8,.375,2,2,1.000,1,5,6,7,1,0,5,4,23,14.1,-22,Russell Westbrook
2021-02-12,32-092,WAS,HOME,NYK,L (-18),1,34:32,10,22,.455,0,4,.000,3,6,.500,2,7,9,10,1,0,5,1,23,16.5,-19,Russell Westbrook
2021-02-14,32-094,WAS,HOME,BOS,W (+13),1,29:04,6,19,.316,0,2,.000,1,3,.333,2,7,9,11,1,0,3,3,13,9.3,+27,Russell Westbrook
2021-02-15,32-095,WAS,HOME,HOU,W (+12),1,33:28,8,22,.364,0,3,.000,0,1,.000,3,10,13,15,0,0,5,1,16,13.6,+1,Russell Westbrook
2021-02-17,32-097,WAS,HOME,DEN,W (+2),1,39:16,5,15,.333,0,2,.000,2,6,.333,4,9,13,12,2,1,8,5,12,8.5,0,Russell Westbrook
2021-02-20,32-100,WAS,AWAY,POR,W (+7),1,37:23,11,17,.647,0,1,.000,5,7,.714,2,9,11,13,0,0,7,4,27,23.3,+2,Russell Westbrook
2021-02-22,32-102,WAS,AWAY,LAL,W (+3),1,44:15,13,25,.520,0,1,.000,6,12,.500,1,13,14,9,0,0,2,5,32,24.2,0,Russell Westbrook
2021-02-23,32-103,WAS,AWAY,LAC,L (-19),1,34:25,9,18,.500,0,1,.000,2,5,.400,1,8,9,10,2,1,3,1,20,19.2,-26,Russell Westbrook
2021-02-25,32-105,WAS,AWAY,DEN,W (+2),1,37:21,6,17,.353,1,3,.333,3,4,.750,1,9,10,10,3,0,5,3,16,13.3,+1,Russell Westbrook
2021-02-27,32-107,WAS,HOME,MIN,W (+16),1,31:40,7,19,.368,0,2,.000,5,10,.500,0,14,14,12,2,0,5,1,19,15.7,+16,Russell Westbrook
2021-02-28,32-108,WAS,AWAY,BOS,L (-1),1,35:56,10,22,.455,1,5,.200,3,4,.750,3,8,11,4,1,1,5,4,24,14.6,-12,Russell Westbrook
2021-03-02,32-110,WAS,HOME,MEM,L (-14),1,35:31,8,16,.500,3,7,.429,4,9,.444,0,6,6,15,3,0,8,3,23,19.1,-4,Russell Westbrook
2021-03-04,32-112,WAS,HOME,LAC,W (+2),1,35:40,9,19,.474,2,4,.500,7,15,.467,2,7,9,11,4,0,1,4,27,26.7,+15,Russell Westbrook
2021-03-10,32-118,WAS,AWAY,MEM,L (-15),1,35:40,10,19,.526,0,3,.000,0,1,.000,2,3,5,10,3,0,4,3,20,17.4,+3,Russell Westbrook
2021-03-12,32-120,WAS,HOME,PHI,L (-26),1,32:45,10,19,.526,2,4,.500,3,7,.429,1,4,5,8,1,0,2,2,25,19.8,-24,Russell Westbrook
2021-03-13,32-121,WAS,HOME,MIL,L (-6),1,39:28,16,32,.500,5,11,.455,5,9,.556,1,9,10,12,2,0,6,4,42,30.6,-18,Russell Westbrook
2021-03-15,32-123,WAS,HOME,MIL,L (-11),1,38:35,8,19,.421,3,6,.500,4,6,.667,2,3,5,17,1,1,5,2,23,22.2,-20,Russell Westbrook
2021-03-17,32-125,WAS,HOME,SAC,L (-2),1,39:07,8,19,.421,1,3,.333,9,12,.750,1,13,14,10,1,0,6,3,26,20.1,-8,Russell Westbrook
2021-03-18,32-126,WAS,HOME,UTA,W (+9),1,37:40,12,23,.522,2,5,.400,9,11,.818,1,14,15,13,2,1,5,0,35,34.6,+10,Russell Westbrook
2021-03-21,32-129,WAS,AWAY,BRK,L (-7),1,39:02,10,20,.500,2,7,.286,7,9,.778,2,11,13,13,2,0,8,3,29,24.8,-4,Russell Westbrook
2021-03-23,32-131,WAS,AWAY,NYK,L (-18),1,28:44,3,14,.214,0,3,.000,8,10,.800,0,4,4,12,2,0,4,1,14,11.8,-17,Russell Westbrook
2021-03-25,32-133,WAS,AWAY,NYK,L (-4),1,40:12,3,15,.200,0,5,.000,7,12,.583,1,17,18,9,2,4,8,6,13,8.2,-1,Russell Westbrook
2021-03-27,32-135,WAS,HOME,DET,W (+14),1,34:56,8,20,.400,1,3,.333,2,2,1.000,1,18,19,10,0,0,6,3,19,14.1,+18,Russell Westbrook
2021-03-29,32-137,WAS,HOME,IND,W (+8),1,39:18,14,26,.538,4,6,.667,3,5,.600,1,13,14,21,2,1,4,3,35,38.4,+7,Russell Westbrook
2021-03-30,32-138,WAS,HOME,CHO,L (-10),1,37:48,7,20,.350,4,9,.444,4,6,.667,5,10,15,14,2,0,5,3,22,22.1,-6,Russell Westbrook
2021-04-01,32-140,WAS,AWAY,DET,L (-29),1,35:31,7,16,.438,1,5,.200,1,6,.167,2,9,11,12,0,1,9,3,16,8.6,-23,Russell Westbrook
2021-04-03,32-142,WAS,HOME,DAL,L (-22),1,37:21,11,24,.458,0,3,.000,4,6,.667,2,12,14,5,1,0,4,2,26,17.5,-19,Russell Westbrook
2021-04-05,32-144,WAS,AWAY,TOR,L (-2),1,39:48,9,25,.360,1,6,.167,4,4,1.000,2,12,14,11,1,0,4,1,23,18.4,-4,Russell Westbrook
2021-04-07,32-146,WAS,AWAY,ORL,W (+15),1,37:42,8,11,.727,3,3,1.000,4,4,1.000,1,13,14,15,0,1,5,3,23,28.1,+13,Russell Westbrook
2021-04-09,32-148,WAS,AWAY,GSW,W (+3),1,37:23,8,17,.471,1,4,.250,2,3,.667,2,12,14,14,1,0,6,1,19,19.3,+1,Russell Westbrook
