DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,19-264,POR,AWAY,LAC,L (-12),1,35:50,5,11,.455,0,3,.000,1,1,1.000,1,2,3,4,0,0,4,2,11,4.6,-16,Scoot Henderson
2023-10-27,19-266,POR,HOME,ORL,L (-5),1,25:00,3,12,.250,1,5,.200,0,0,,2,1,3,2,1,0,5,5,7,-3.1,-3,Scoot Henderson
2023-10-29,19-268,POR,AWAY,PHI,L (-28),1,26:30,2,7,.286,0,4,.000,0,0,,0,1,1,3,0,1,4,5,4,-3.0,-17,Scoot Henderson
2023-10-30,19-269,POR,AWAY,TOR,W (+8),1,34:25,4,12,.333,0,6,.000,3,4,.750,0,4,4,7,2,0,4,6,11,5.5,+1,Scoot Henderson
2023-11-01,19-271,POR,AWAY,DET,W (+9),1,20:10,4,10,.400,1,3,.333,2,2,1.000,0,0,0,7,0,0,3,2,11,6.7,-11,Scoot Henderson
2023-11-03,19-273,POR,HOME,MEM,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Scoot Henderson
2023-11-05,19-275,POR,HOME,MEM,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Scoot Henderson
2023-11-08,19-278,POR,AWAY,SAC,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Scoot Henderson
2023-11-12,19-282,POR,AWAY,LAL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Scoot Henderson
2023-11-14,19-284,POR,AWAY,UTA,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Scoot Henderson
