DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,30-122,PHI,HOME,WAS,W (+6),1,32:16,4,8,.500,1,5,.200,4,4,1.000,0,0,0,4,2,0,1,4,13,11.2,-1,Seth Curry
2020-12-26,30-125,PHI,AWAY,NYK,W (+20),1,29:53,6,8,.750,3,4,.750,2,2,1.000,0,4,4,3,1,0,0,0,17,18.1,+23,Seth Curry
2020-12-27,30-126,PHI,AWAY,CLE,L (-24),1,24:26,2,7,.286,2,5,.400,2,2,1.000,0,1,1,4,0,0,2,2,8,4.2,-7,Seth Curry
2020-12-29,30-128,PHI,HOME,TOR,W (+7),1,32:38,5,11,.455,3,6,.500,4,4,1.000,1,5,6,4,1,1,3,4,17,13.4,+1,Seth Curry
2020-12-31,30-130,PHI,AWAY,ORL,W (+24),1,24:45,7,12,.583,5,7,.714,2,2,1.000,0,1,1,3,1,0,1,1,21,17.4,+24,Seth Curry
2021-01-02,30-132,PHI,HOME,CHO,W (+15),1,34:15,8,11,.727,3,6,.500,2,2,1.000,0,0,0,6,1,1,2,0,21,20.4,+13,Seth Curry
2021-01-04,30-134,PHI,HOME,CHO,W (+17),1,25:34,4,7,.571,2,2,1.000,1,1,1.000,0,1,1,2,0,1,2,2,11,7.3,+20,Seth Curry
2021-01-06,30-136,PHI,HOME,WAS,W (+5),1,36:18,11,14,.786,6,7,.857,0,0,,0,5,5,3,0,0,1,1,28,24.8,+16,Seth Curry
2021-01-07,30-137,PHI,AWAY,BRK,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Seth Curry
2021-01-09,30-139,PHI,HOME,DEN,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Seth Curry
2021-01-11,30-141,PHI,AWAY,ATL,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Seth Curry
2021-01-12,30-142,PHI,HOME,MIA,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Seth Curry
2021-01-14,30-144,PHI,HOME,MIA,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Seth Curry
2021-01-16,30-146,PHI,AWAY,MEM,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Seth Curry
2021-01-20,30-150,PHI,HOME,BOS,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Seth Curry
2021-01-22,30-152,PHI,HOME,BOS,W (+12),1,27:01,6,10,.600,3,5,.600,0,0,,0,0,0,1,1,0,2,4,15,8.5,+18,Seth Curry
