DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,20-148,POR,AWAY,LAC,L (-12),0,28:29,6,14,.429,1,6,.167,1,1,1.000,4,2,6,3,1,0,0,4,14,11.5,+10,Shaedon Sharpe
2023-10-27,20-150,POR,HOME,ORL,L (-5),1,41:24,9,23,.391,4,11,.364,2,2,1.000,4,1,5,2,2,0,3,1,24,14.6,-4,Shaedon Sharpe
2023-10-29,20-152,POR,AWAY,PHI,L (-28),1,35:38,7,13,.538,2,4,.500,4,5,.800,1,4,5,2,0,0,3,3,20,12.4,-23,Shaedon Sharpe
2023-10-30,20-153,POR,AWAY,TOR,W (+8),1,38:13,4,10,.400,2,5,.400,4,4,1.000,2,3,5,3,1,2,4,3,14,10.2,+4,Shaedon Sharpe
2023-11-01,20-155,POR,AWAY,DET,W (+9),1,42:02,9,16,.563,3,6,.500,8,10,.800,2,5,7,5,1,2,2,1,29,27.0,+3,Shaedon Sharpe
2023-11-03,20-157,POR,HOME,MEM,W (+2),1,46:26,7,17,.412,2,5,.400,6,7,.857,1,4,5,2,1,1,3,2,22,13.7,-1,Shaedon Sharpe
2023-11-05,20-159,POR,HOME,MEM,L (-12),1,40:43,7,15,.467,3,8,.375,1,3,.333,1,7,8,3,1,1,3,1,18,12.7,-16,Shaedon Sharpe
2023-11-08,20-162,POR,AWAY,SAC,L (-3),1,39:58,5,14,.357,1,5,.200,7,8,.875,0,1,1,3,1,0,4,6,18,6.8,+2,Shaedon Sharpe
2023-11-12,20-166,POR,AWAY,LAL,L (-6),1,42:11,7,15,.467,3,6,.500,2,2,1.000,0,3,3,4,0,0,7,4,19,6.4,-10,Shaedon Sharpe
2023-11-14,20-168,POR,AWAY,UTA,L (-16),1,40:59,4,16,.250,2,10,.200,7,10,.700,2,6,8,7,2,0,3,3,17,12.1,-10,Shaedon Sharpe
2023-11-15,20-169,POR,HOME,CLE,L (-14),1,26:42,2,12,.167,1,5,.200,6,7,.857,3,4,7,5,0,0,0,3,11,8.6,-27,Shaedon Sharpe
2023-11-17,20-171,POR,HOME,LAL,L (-12),1,38:01,7,17,.412,1,5,.200,2,2,1.000,2,7,9,2,1,1,10,4,17,2.9,-5,Shaedon Sharpe
2023-11-19,20-173,POR,HOME,OKC,L (-43),1,24:04,3,8,.375,1,1,1.000,0,0,,2,2,4,1,0,0,1,3,7,3.1,-20,Shaedon Sharpe
2023-11-21,20-175,POR,AWAY,PHO,L (-13),1,32:19,3,13,.231,0,5,.000,4,4,1.000,1,2,3,0,1,0,4,3,10,-0.8,-20,Shaedon Sharpe
2023-11-22,20-176,POR,HOME,UTA,W (+16),1,30:39,6,11,.545,2,4,.500,0,0,,0,4,4,4,1,1,1,4,14,11.8,+10,Shaedon Sharpe
2023-11-26,20-180,POR,AWAY,MIL,L (-6),1,36:54,7,19,.368,1,5,.200,2,3,.667,1,5,6,3,2,0,3,0,17,9.4,-19,Shaedon Sharpe
2023-11-27,20-181,POR,AWAY,IND,W (+4),1,35:22,4,15,.267,1,3,.333,2,2,1.000,1,4,5,6,3,0,2,5,11,7.2,+3,Shaedon Sharpe
2023-11-30,20-184,POR,AWAY,CLE,W (+8),1,39:24,11,15,.733,4,7,.571,3,3,1.000,0,10,10,5,1,0,5,3,29,24.2,+10,Shaedon Sharpe
2023-12-02,20-186,POR,AWAY,UTA,L (-5),1,43:33,9,20,.450,3,8,.375,4,4,1.000,2,3,5,4,2,0,0,5,25,19.7,-5,Shaedon Sharpe
2023-12-06,20-190,POR,AWAY,GSW,L (-4),1,41:40,10,18,.556,4,9,.444,2,4,.500,0,6,6,5,0,0,1,1,26,20.5,-7,Shaedon Sharpe
