DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,20-097,LAC,HOME,DEN,L (-9),0,28:12,5,6,.833,0,0,,1,1,1.000,0,2,2,4,1,1,3,1,11,10.5,0,Shai Gilgeous-Alexander
2018-10-19,20-099,LAC,HOME,OKC,W (+16),0,23:16,0,2,.000,0,1,.000,2,2,1.000,0,3,3,4,0,0,2,2,2,1.5,+12,Shai Gilgeous-Alexander
2018-10-21,20-101,LAC,HOME,HOU,W (+3),0,25:35,4,8,.500,0,1,.000,4,4,1.000,1,4,5,4,1,0,2,0,12,11.7,+21,Shai Gilgeous-Alexander
2018-10-23,20-103,LAC,AWAY,NOP,L (-7),0,22:11,3,8,.375,1,1,1.000,2,2,1.000,2,2,4,2,1,1,3,4,9,5.1,-11,Shai Gilgeous-Alexander
2018-10-26,20-106,LAC,AWAY,HOU,W (+20),0,31:09,3,7,.429,1,1,1.000,3,4,.750,0,1,1,1,2,0,0,1,10,8.5,+13,Shai Gilgeous-Alexander
2018-10-28,20-108,LAC,HOME,WAS,W (+32),0,28:22,4,8,.500,1,1,1.000,1,2,.500,2,6,8,7,2,0,1,4,10,13.1,+24,Shai Gilgeous-Alexander
2018-10-30,20-110,LAC,AWAY,OKC,L (-18),0,22:40,2,4,.500,0,1,.000,1,1,1.000,0,0,0,3,0,1,2,0,5,3.8,-10,Shai Gilgeous-Alexander
2018-11-01,20-112,LAC,AWAY,PHI,L (-9),0,17:31,3,8,.375,0,0,,1,1,1.000,0,2,2,2,0,1,1,2,7,3.5,-18,Shai Gilgeous-Alexander
2018-11-02,20-113,LAC,AWAY,ORL,W (+25),0,24:47,2,6,.333,0,2,.000,4,4,1.000,0,1,1,1,1,0,3,3,8,2.4,+22,Shai Gilgeous-Alexander
2018-11-05,20-116,LAC,HOME,MIN,W (+11),1,24:33,2,6,.333,0,1,.000,2,2,1.000,2,1,3,5,1,1,2,2,6,6.7,+7,Shai Gilgeous-Alexander
