DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-24,29-216,LAL,AWAY,DEN,L (-12),1,29:53,6,8,.750,4,6,.667,2,2,1.000,1,2,3,1,0,1,1,0,18,16.5,-14,Taurean Prince
2023-10-26,29-218,LAL,HOME,PHO,W (+5),1,18:10,0,5,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,3,0,-3.7,-15,Taurean Prince
2023-10-29,29-221,LAL,AWAY,SAC,L (-5),1,41:23,7,17,.412,5,13,.385,1,2,.500,0,3,3,2,0,1,1,3,20,11.3,-10,Taurean Prince
2023-10-30,29-222,LAL,HOME,ORL,W (+3),1,26:28,1,4,.250,0,2,.000,2,2,1.000,0,0,0,1,0,1,0,3,4,1.8,-5,Taurean Prince
2023-11-01,29-224,LAL,HOME,LAC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Taurean Prince
2023-11-04,29-227,LAL,AWAY,ORL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Taurean Prince
2023-11-06,29-229,LAL,AWAY,MIA,L (-1),1,34:28,4,9,.444,1,4,.250,0,0,,0,3,3,2,2,0,0,4,9,7.0,+13,Taurean Prince
2023-11-08,29-231,LAL,AWAY,HOU,L (-34),1,26:38,3,6,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,3,7,2.8,-16,Taurean Prince
2023-11-10,29-233,LAL,AWAY,PHO,W (+3),1,32:44,3,8,.375,0,4,.000,1,2,.500,0,1,1,0,0,2,0,4,7,2.3,+3,Taurean Prince
2023-11-12,29-235,LAL,HOME,POR,W (+6),1,33:10,5,9,.556,0,3,.000,1,1,1.000,0,3,3,1,1,0,1,2,11,7.5,+1,Taurean Prince
2023-11-14,29-237,LAL,HOME,MEM,W (+27),1,29:28,3,6,.500,2,5,.400,0,0,,0,3,3,1,1,0,0,3,8,6.4,+9,Taurean Prince
2023-11-15,29-238,LAL,HOME,SAC,L (-15),1,25:28,3,7,.429,1,4,.250,0,0,,0,2,2,0,1,0,0,2,7,4.1,-24,Taurean Prince
2023-11-17,29-240,LAL,AWAY,POR,W (+12),1,35:05,3,7,.429,1,5,.200,3,3,1.000,1,0,1,3,2,0,0,5,10,9.1,+10,Taurean Prince
2023-11-19,29-242,LAL,HOME,HOU,W (+1),1,23:55,1,11,.091,0,4,.000,0,1,.000,3,1,4,2,0,0,2,0,2,-3.9,-6,Taurean Prince
2023-11-21,29-244,LAL,HOME,UTA,W (+32),1,30:34,1,8,.125,0,4,.000,2,3,.667,0,0,0,1,0,1,2,0,4,-2.2,+26,Taurean Prince
2023-11-22,29-245,LAL,HOME,DAL,L (-3),1,36:52,6,10,.600,2,5,.400,0,0,,1,5,6,2,0,0,1,3,14,10.8,+15,Taurean Prince
2023-11-25,29-248,LAL,AWAY,CLE,W (+6),1,31:38,3,8,.375,1,3,.333,0,0,,0,4,4,6,1,2,0,0,7,10.4,+12,Taurean Prince
2023-11-27,29-250,LAL,AWAY,PHI,L (-44),1,28:34,4,8,.500,3,6,.500,0,0,,0,4,4,1,0,0,1,3,11,6.7,-26,Taurean Prince
2023-11-29,29-252,LAL,AWAY,DET,W (+26),1,22:43,3,4,.750,3,4,.750,0,0,,0,1,1,1,1,0,1,0,9,8.4,+26,Taurean Prince
2023-11-30,29-253,LAL,AWAY,OKC,L (-23),1,31:48,2,7,.286,2,5,.400,0,0,,0,1,1,2,0,0,1,5,6,0.6,-10,Taurean Prince
2023-12-02,29-255,LAL,HOME,HOU,W (+10),1,29:17,4,7,.571,3,5,.600,0,0,,0,6,6,1,2,0,1,0,11,11.2,+6,Taurean Prince
2023-12-05,29-258,LAL,HOME,PHO,W (+3),1,26:41,2,6,.333,0,2,.000,1,2,.500,0,3,3,0,3,0,3,1,5,1.7,-12,Taurean Prince
2023-12-07,29-260,LAL,HOME,NOP,W (+44),1,23:17,5,9,.556,5,8,.625,0,0,,0,3,3,1,1,0,0,3,15,12.1,+23,Taurean Prince
2023-12-12,29-265,LAL,AWAY,DAL,L (-2),1,36:56,5,6,.833,5,6,.833,0,0,,0,4,4,4,0,0,1,0,15,15.8,+5,Taurean Prince
2023-12-13,29-266,LAL,AWAY,SAS,W (+3),1,32:17,6,12,.500,4,10,.400,1,2,.500,1,4,5,5,2,1,3,1,17,15.3,+3,Taurean Prince
2023-12-15,29-268,LAL,AWAY,SAS,L (-14),1,35:58,5,10,.500,2,6,.333,0,0,,0,3,3,1,1,1,1,2,12,8.5,-19,Taurean Prince
2023-12-18,29-271,LAL,HOME,NYK,L (-5),1,38:35,3,13,.231,3,13,.231,0,0,,1,1,2,3,0,1,1,1,9,3.5,-1,Taurean Prince
2023-12-20,29-273,LAL,AWAY,CHI,L (-16),1,33:52,5,10,.500,4,8,.500,2,2,1.000,0,4,4,4,1,1,1,3,16,14.5,-7,Taurean Prince
2023-12-21,29-274,LAL,AWAY,MIN,L (-7),1,36:39,5,6,.833,4,5,.800,0,0,,0,5,5,1,0,0,3,4,14,9.4,+6,Taurean Prince
2023-12-23,29-276,LAL,AWAY,OKC,W (+9),1,27:40,3,7,.429,2,5,.400,2,2,1.000,1,5,6,1,1,2,0,5,10,9.6,+9,Taurean Prince
2023-12-25,29-278,LAL,HOME,BOS,L (-11),1,38:59,6,13,.462,5,12,.417,0,0,,0,4,4,3,1,0,0,4,17,13.0,-12,Taurean Prince
2023-12-28,29-281,LAL,HOME,CHO,W (+21),1,22:30,1,7,.143,1,4,.250,0,0,,0,3,3,3,3,0,1,2,3,2.7,+2,Taurean Prince
2023-12-30,29-283,LAL,AWAY,MIN,L (-2),1,33:12,3,9,.333,3,6,.500,0,0,,0,2,2,1,3,0,3,1,9,4.8,+15,Taurean Prince
2023-12-31,29-284,LAL,AWAY,NOP,L (-20),1,34:19,5,9,.556,4,7,.571,1,1,1.000,0,1,1,4,2,2,2,2,15,14.4,-12,Taurean Prince
2024-01-03,29-287,LAL,HOME,MIA,L (-14),1,28:48,0,6,.000,0,5,.000,0,0,,0,5,5,2,0,0,1,2,0,-3.1,-14,Taurean Prince
2024-01-05,29-289,LAL,HOME,MEM,L (-14),1,34:53,3,9,.333,3,7,.429,1,2,.500,1,1,2,2,2,1,1,3,10,7.4,-19,Taurean Prince
2024-01-07,29-291,LAL,HOME,LAC,W (+3),1,30:15,4,8,.500,3,6,.500,2,2,1.000,0,1,1,2,1,0,0,3,13,10.5,-2,Taurean Prince
2024-01-09,29-293,LAL,HOME,TOR,W (+1),1,33:53,4,8,.500,2,6,.333,1,2,.500,0,4,4,0,2,0,0,2,11,9.0,-7,Taurean Prince
2024-01-11,29-295,LAL,HOME,PHO,L (-18),1,28:13,4,10,.400,3,8,.375,0,0,,1,5,6,2,0,0,0,0,11,9.2,-30,Taurean Prince
2024-01-13,29-297,LAL,AWAY,UTA,L (-7),1,30:10,5,8,.625,2,4,.500,0,0,,0,1,1,1,0,1,0,3,12,8.9,-19,Taurean Prince
2024-01-15,29-299,LAL,HOME,OKC,W (+7),1,30:51,1,6,.167,1,5,.200,0,0,,0,2,2,3,0,1,0,2,3,1.8,-1,Taurean Prince
2024-01-17,29-301,LAL,HOME,DAL,W (+17),1,20:30,3,8,.375,0,3,.000,3,5,.600,0,1,1,1,0,0,0,4,9,3.2,+13,Taurean Prince
2024-01-19,29-303,LAL,HOME,BRK,L (-18),1,28:59,3,7,.429,2,4,.500,2,2,1.000,0,3,3,2,1,0,3,1,10,6.2,-12,Taurean Prince
2024-01-21,29-305,LAL,HOME,POR,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Taurean Prince
2024-01-23,29-307,LAL,AWAY,LAC,L (-11),1,32:35,4,10,.400,2,6,.333,1,1,1.000,0,3,3,2,2,1,1,2,11,8.8,-5,Taurean Prince
2024-01-25,29-309,LAL,HOME,CHI,W (+9),1,30:18,5,8,.625,4,7,.571,0,0,,0,4,4,2,2,0,0,3,14,13.8,-2,Taurean Prince
2024-01-27,29-311,LAL,AWAY,GSW,W (+1),1,24:15,0,2,.000,0,1,.000,0,0,,0,3,3,1,1,0,1,4,0,-1.4,-22,Taurean Prince
2024-01-29,29-313,LAL,AWAY,HOU,L (-16),1,25:27,2,6,.333,1,4,.250,0,0,,0,3,3,1,0,1,2,1,5,1.5,-18,Taurean Prince
2024-01-30,29-314,LAL,AWAY,ATL,L (-16),1,24:48,3,7,.429,1,4,.250,0,0,,0,2,2,0,1,0,1,1,7,3.5,-18,Taurean Prince
2024-02-01,29-316,LAL,AWAY,BOS,W (+9),1,37:58,5,10,.500,1,2,.500,0,0,,0,8,8,2,1,1,0,2,11,10.7,-9,Taurean Prince
2024-02-03,29-318,LAL,AWAY,NYK,W (+8),0,32:39,6,10,.600,3,6,.500,1,1,1.000,0,2,2,2,0,1,2,3,16,10.9,+7,Taurean Prince
2024-02-05,29-320,LAL,AWAY,CHO,W (+6),0,19:27,4,7,.571,1,4,.250,0,2,.000,1,3,4,1,0,0,2,0,9,5.2,+2,Taurean Prince
2024-02-08,29-323,LAL,HOME,DEN,L (-8),0,34:28,4,6,.667,2,3,.667,3,3,1.000,0,3,3,2,2,1,1,2,13,13.6,+1,Taurean Prince
2024-02-09,29-324,LAL,HOME,NOP,W (+17),0,21:04,0,2,.000,0,2,.000,3,4,.750,0,2,2,1,0,0,1,3,3,0.3,+10,Taurean Prince
2024-02-13,29-328,LAL,HOME,DET,W (+14),0,22:33,3,5,.600,2,3,.667,0,1,.000,1,4,5,1,1,1,0,1,8,9.2,+6,Taurean Prince
2024-02-14,29-329,LAL,AWAY,UTA,W (+16),1,32:37,4,8,.500,1,2,.500,2,2,1.000,0,3,3,1,0,1,0,2,11,8.5,+11,Taurean Prince
2024-02-22,29-337,LAL,AWAY,GSW,L (-18),1,31:53,5,10,.500,2,7,.286,0,0,,0,3,3,2,1,0,1,0,12,9.3,-7,Taurean Prince
2024-02-23,29-338,LAL,HOME,SAS,W (+5),0,18:33,2,6,.333,1,3,.333,0,1,.000,0,4,4,3,1,0,2,4,5,1.9,+1,Taurean Prince
2024-02-25,29-340,LAL,AWAY,PHO,L (-10),0,27:10,3,10,.300,2,6,.333,0,0,,0,1,1,1,0,0,0,0,8,3.2,-13,Taurean Prince
2024-02-28,29-343,LAL,AWAY,LAC,W (+4),0,16:56,1,4,.250,0,1,.000,0,0,,1,1,2,1,1,0,2,2,2,-0.5,+3,Taurean Prince
2024-02-29,29-344,LAL,HOME,WAS,W (+3),0,17:21,1,2,.500,0,0,,0,0,,0,2,2,3,0,0,1,1,2,2.3,-2,Taurean Prince
2024-03-02,29-346,LAL,HOME,DEN,L (-10),0,12:02,1,6,.167,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,-1.5,-4,Taurean Prince
2024-03-04,29-348,LAL,HOME,OKC,W (+12),0,21:51,5,7,.714,4,6,.667,0,0,,0,6,6,1,0,1,1,4,14,11.7,+29,Taurean Prince
2024-03-06,29-350,LAL,HOME,SAC,L (-10),0,15:26,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,2,1,0,6,5.7,-17,Taurean Prince
2024-03-08,29-352,LAL,HOME,MIL,W (+1),0,16:19,3,7,.429,2,5,.400,0,0,,1,5,6,1,0,0,0,0,8,7.2,+2,Taurean Prince
2024-03-10,29-354,LAL,HOME,MIN,W (+11),0,24:11,3,6,.500,0,3,.000,0,0,,0,3,3,1,1,1,0,1,6,5.9,+11,Taurean Prince
2024-03-13,29-357,LAL,AWAY,SAC,L (-13),0,13:17,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,0,2,0,0,1,7,8.3,-13,Taurean Prince
2024-03-16,29-360,LAL,HOME,GSW,L (-7),0,29:40,3,8,.375,2,5,.400,0,0,,1,1,2,3,0,1,0,1,8,7.0,-7,Taurean Prince
