DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,28-216,CHO,AWAY,SAS,W (+27),1,29:43,10,19,.526,4,7,.571,0,0,,0,6,6,6,0,1,4,1,24,17.0,+18,Terry Rozier
2022-10-21,28-218,CHO,HOME,NOP,L (-12),1,36:08,7,24,.292,2,8,.250,7,8,.875,4,4,8,11,1,2,2,1,23,20.3,-5,Terry Rozier
2022-10-23,28-220,CHO,AWAY,ATL,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-10-26,28-223,CHO,AWAY,NYK,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-10-28,28-225,CHO,AWAY,ORL,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-10-29,28-226,CHO,HOME,GSW,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-10-31,28-228,CHO,HOME,SAC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-11-02,28-230,CHO,AWAY,CHI,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-11-04,28-232,CHO,AWAY,MEM,L (-31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-11-05,28-233,CHO,HOME,BRK,L (-4),1,36:21,9,24,.375,6,14,.429,1,1,1.000,1,6,7,3,0,0,4,1,25,12.0,+6,Terry Rozier
2022-11-07,28-235,CHO,HOME,WAS,L (-8),1,37:31,9,23,.391,1,9,.111,0,0,,1,2,3,5,0,0,2,1,19,8.9,-12,Terry Rozier
2022-11-09,28-237,CHO,HOME,POR,L (-10),1,34:42,6,20,.300,5,13,.385,1,1,1.000,2,3,5,5,0,0,2,3,18,9.0,+9,Terry Rozier
2022-11-10,28-238,CHO,AWAY,MIA,L (-5),1,43:23,8,25,.320,3,10,.300,3,4,.750,3,5,8,3,0,0,1,2,22,11.2,+1,Terry Rozier
2022-11-12,28-240,CHO,AWAY,MIA,L (-17),1,34:06,8,17,.471,4,9,.444,2,3,.667,0,1,1,6,2,0,2,0,22,17.4,-19,Terry Rozier
2022-11-14,28-242,CHO,AWAY,ORL,W (+7),1,33:49,7,15,.467,1,8,.125,2,2,1.000,1,2,3,2,2,0,1,2,17,12.2,+17,Terry Rozier
2022-11-16,28-244,CHO,HOME,IND,L (-12),1,32:56,7,17,.412,1,4,.250,2,2,1.000,0,2,2,8,0,0,5,3,17,7.9,-22,Terry Rozier
2022-11-18,28-246,CHO,AWAY,CLE,L (-10),1,48:46,11,32,.344,5,16,.313,1,1,1.000,3,2,5,5,1,0,3,4,28,12.6,-12,Terry Rozier
2022-11-20,28-248,CHO,AWAY,WAS,L (-4),1,37:36,3,14,.214,0,6,.000,2,3,.667,3,4,7,5,1,0,2,3,8,3.6,-17,Terry Rozier
2022-11-23,28-251,CHO,HOME,PHI,W (+6),1,40:21,9,18,.500,1,3,.333,3,5,.600,0,2,2,6,1,0,2,2,22,15.2,+13,Terry Rozier
2022-11-25,28-253,CHO,HOME,MIN,W (+2),1,37:57,9,23,.391,1,6,.167,3,4,.750,1,3,4,8,0,0,6,2,22,9.5,-5,Terry Rozier
2022-11-28,28-256,CHO,AWAY,BOS,L (-35),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Terry Rozier
2022-12-02,28-260,CHO,HOME,WAS,W (+1),1,40:51,8,21,.381,2,5,.400,7,7,1.000,1,4,5,8,2,0,0,1,25,22.6,-8,Terry Rozier
2022-12-03,28-261,CHO,HOME,MIL,L (-9),1,35:31,10,21,.476,1,7,.143,5,5,1.000,0,5,5,4,0,0,4,4,26,14.0,-2,Terry Rozier
2022-12-05,28-263,CHO,HOME,LAC,L (-2),1,37:30,8,22,.364,3,8,.375,3,4,.750,1,4,5,8,2,0,2,1,22,16.5,+7,Terry Rozier
2022-12-07,28-265,CHO,AWAY,BRK,L (-6),1,40:03,13,24,.542,3,6,.500,0,1,.000,1,1,2,5,1,0,1,2,29,20.7,-6,Terry Rozier
2022-12-09,28-267,CHO,HOME,NYK,L (-19),1,32:18,10,19,.526,3,7,.429,1,2,.500,1,5,6,4,0,0,4,3,24,14.1,-9,Terry Rozier
2022-12-11,28-269,CHO,AWAY,PHI,L (-18),1,34:17,10,20,.500,5,8,.625,4,4,1.000,2,6,8,6,0,0,5,5,29,19.4,-9,Terry Rozier
2022-12-14,28-272,CHO,HOME,DET,L (-7),1,41:56,8,28,.286,2,13,.154,7,8,.875,0,5,5,2,1,1,0,4,25,11.2,-15,Terry Rozier
2022-12-16,28-274,CHO,HOME,ATL,L (-19),1,32:02,4,11,.364,2,6,.333,0,0,,0,0,0,9,1,0,3,1,10,7.8,-13,Terry Rozier
2022-12-18,28-276,CHO,AWAY,DEN,L (-4),1,14:14,1,5,.200,0,2,.000,0,0,,0,2,2,2,0,0,0,0,2,0.9,-5,Terry Rozier
2022-12-19,28-277,CHO,AWAY,SAC,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-12-21,28-279,CHO,AWAY,LAC,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
2022-12-23,28-281,CHO,AWAY,LAL,W (+4),1,37:41,9,15,.600,5,8,.625,0,0,,0,4,4,6,2,1,3,2,23,20.4,-7,Terry Rozier
2022-12-26,28-284,CHO,AWAY,POR,L (-11),1,36:50,2,17,.118,1,7,.143,2,2,1.000,1,3,4,6,0,0,2,1,7,-0.7,-26,Terry Rozier
2022-12-27,28-285,CHO,AWAY,GSW,L (-5),1,34:09,7,18,.389,1,6,.167,4,4,1.000,0,3,3,4,1,0,4,2,19,9.1,+3,Terry Rozier
2022-12-29,28-287,CHO,HOME,OKC,W (+8),1,33:42,3,11,.273,0,5,.000,4,6,.667,2,2,4,7,0,0,3,1,10,6.2,+2,Terry Rozier
2022-12-31,28-289,CHO,HOME,BRK,L (-17),1,31:44,5,14,.357,1,4,.250,5,5,1.000,2,3,5,2,0,0,0,0,16,11.9,-14,Terry Rozier
2023-01-02,28-291,CHO,HOME,LAL,L (-6),1,34:37,11,20,.550,3,6,.500,2,3,.667,0,2,2,4,0,0,3,3,27,16.2,+4,Terry Rozier
2023-01-04,28-293,CHO,HOME,MEM,L (-24),1,28:38,7,18,.389,3,9,.333,4,4,1.000,2,1,3,4,2,0,1,4,21,15.1,-8,Terry Rozier
2023-01-06,28-295,CHO,AWAY,MIL,W (+29),1,34:05,15,29,.517,6,15,.400,3,4,.750,0,2,2,4,1,0,1,0,39,27.7,+27,Terry Rozier
2023-01-08,28-297,CHO,AWAY,IND,L (-5),1,36:16,5,15,.333,2,9,.222,7,8,.875,2,4,6,6,2,0,7,1,19,11.5,-12,Terry Rozier
2023-01-10,28-299,CHO,AWAY,TOR,L (-12),1,35:19,14,19,.737,5,9,.556,0,0,,1,4,5,5,1,0,1,2,33,29.9,-2,Terry Rozier
2023-01-12,28-301,CHO,AWAY,TOR,L (-10),1,37:37,8,16,.500,3,7,.429,2,2,1.000,0,3,3,5,1,0,3,1,21,15.0,-3,Terry Rozier
2023-01-14,28-303,CHO,HOME,BOS,L (-16),1,35:57,8,17,.471,2,8,.250,3,4,.750,1,3,4,3,0,1,2,0,21,14.3,-21,Terry Rozier
2023-01-16,28-305,CHO,HOME,BOS,L (-12),1,36:19,6,17,.353,1,4,.250,1,2,.500,1,2,3,7,3,0,0,1,14,12.9,-8,Terry Rozier
2023-01-18,28-307,CHO,AWAY,HOU,W (+5),1,38:13,11,24,.458,3,12,.250,1,1,1.000,0,2,2,6,2,1,2,3,26,17.9,0,Terry Rozier
2023-01-21,28-310,CHO,AWAY,ATL,W (+4),1,38:43,11,25,.440,7,13,.538,5,5,1.000,0,3,3,5,4,0,3,3,34,25.1,+1,Terry Rozier
2023-01-23,28-312,CHO,AWAY,UTA,L (-18),1,35:13,9,23,.391,2,8,.250,3,5,.600,1,4,5,2,1,0,1,3,23,11.8,-12,Terry Rozier
2023-01-24,28-313,CHO,AWAY,PHO,L (-31),1,36:20,7,21,.333,4,9,.444,1,2,.500,0,4,4,5,1,1,0,0,19,13.1,-14,Terry Rozier
2023-01-26,28-315,CHO,HOME,CHI,W (+15),1,35:19,9,19,.474,4,8,.500,6,8,.750,0,5,5,2,4,1,1,3,28,22.9,+21,Terry Rozier
2023-01-29,28-318,CHO,HOME,MIA,W (+5),1,36:32,11,19,.579,5,11,.455,4,5,.800,1,5,6,7,0,1,2,0,31,27.5,-1,Terry Rozier
2023-01-31,28-320,CHO,AWAY,MIL,L (-9),1,35:24,6,20,.300,2,9,.222,6,6,1.000,0,7,7,3,1,0,2,2,20,10.8,-11,Terry Rozier
2023-02-02,28-322,CHO,AWAY,CHI,L (-16),1,36:39,8,21,.381,3,8,.375,4,4,1.000,4,4,8,1,2,0,2,1,23,15.8,-25,Terry Rozier
2023-02-03,28-323,CHO,AWAY,DET,L (-6),1,35:10,9,19,.474,2,10,.200,3,4,.750,1,5,6,1,2,0,1,1,23,16.4,-6,Terry Rozier
2023-02-05,28-325,CHO,HOME,ORL,L (-6),1,36:04,9,14,.643,3,5,.600,3,4,.750,1,2,3,6,0,1,0,2,24,22.8,+2,Terry Rozier
2023-02-08,28-328,CHO,AWAY,WAS,L (-14),1,36:50,7,20,.350,2,10,.200,3,3,1.000,2,5,7,6,2,0,1,0,19,15.9,-18,Terry Rozier
2023-02-10,28-330,CHO,AWAY,BOS,L (-11),1,35:34,9,20,.450,3,8,.375,6,9,.667,0,1,1,3,3,0,0,3,27,19.6,-4,Terry Rozier
2023-02-11,28-331,CHO,HOME,DEN,L (-14),1,31:20,4,14,.286,1,7,.143,3,4,.750,0,2,2,4,3,0,1,3,12,7.6,-22,Terry Rozier
2023-02-13,28-333,CHO,HOME,ATL,W (+6),1,33:19,11,19,.579,5,12,.417,2,3,.667,0,4,4,5,0,2,2,3,29,22.6,+3,Terry Rozier
2023-02-15,28-335,CHO,HOME,SAS,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Terry Rozier
2023-02-24,28-344,CHO,AWAY,MIN,W (+8),1,32:52,2,10,.200,0,5,.000,5,6,.833,0,3,3,5,2,0,1,2,9,7.0,+5,Terry Rozier
2023-02-25,28-345,CHO,HOME,MIA,W (+5),1,35:04,3,15,.200,2,8,.250,6,6,1.000,0,0,0,2,2,0,2,2,14,5.3,-5,Terry Rozier
2023-02-27,28-347,CHO,HOME,DET,W (+11),1,37:56,9,19,.474,3,8,.375,1,1,1.000,0,3,3,3,1,0,1,3,22,14.1,+11,Terry Rozier
2023-03-01,28-349,CHO,HOME,PHO,L (-14),1,38:11,7,18,.389,3,9,.333,3,7,.429,0,6,6,5,0,0,6,1,20,7.5,-8,Terry Rozier
2023-03-03,28-351,CHO,HOME,ORL,L (-11),1,36:51,7,16,.438,4,8,.500,4,4,1.000,0,2,2,6,2,0,6,0,22,14.4,-16,Terry Rozier
2023-03-05,28-353,CHO,AWAY,BRK,L (-16),1,36:35,5,17,.294,3,7,.429,3,4,.750,0,4,4,4,0,0,1,1,16,8.3,-13,Terry Rozier
2023-03-07,28-355,CHO,AWAY,NYK,W (+7),1,38:24,10,22,.455,2,7,.286,3,3,1.000,1,4,5,7,0,0,0,3,25,19.2,+20,Terry Rozier
2023-03-09,28-357,CHO,AWAY,DET,W (+10),1,34:47,9,22,.409,1,7,.143,2,5,.400,2,4,6,9,2,2,0,5,21,18.3,0,Terry Rozier
2023-03-11,28-359,CHO,HOME,UTA,L (-8),1,33:51,10,23,.435,2,8,.250,0,0,,1,5,6,8,2,1,0,4,22,18.8,-17,Terry Rozier
2023-03-12,28-360,CHO,HOME,CLE,L (-6),1,38:48,10,19,.526,4,9,.444,3,5,.600,0,4,4,6,4,0,8,2,27,17.5,+6,Terry Rozier
2023-03-14,28-362,CHO,HOME,CLE,L (-16),1,35:12,10,20,.500,2,7,.286,0,0,,0,3,3,9,0,0,2,0,22,17.2,-9,Terry Rozier
2023-03-17,29-000,CHO,HOME,PHI,L (-39),1,30:46,6,18,.333,2,11,.182,0,0,,0,2,2,4,3,0,1,2,14,8.4,-26,Terry Rozier
2023-03-20,29-003,CHO,HOME,IND,W (+6),1,36:33,7,19,.368,2,6,.333,7,7,1.000,0,1,1,9,2,0,2,1,23,18.7,+16,Terry Rozier
2023-03-23,29-006,CHO,AWAY,NOP,L (-19),1,9:34,2,4,.500,1,3,.333,0,0,,0,4,4,2,1,0,1,2,5,4.8,-13,Terry Rozier
2023-03-24,29-007,CHO,AWAY,DAL,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Terry Rozier
2023-03-26,29-009,CHO,HOME,DAL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Terry Rozier
