DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-24,23-244,GSW,HOME,PHO,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trayce Jackson-Davis
2023-10-27,23-247,GSW,AWAY,SAC,W (+8),0,4:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+7,Trayce Jackson-Davis
2023-10-29,23-249,GSW,AWAY,HOU,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trayce Jackson-Davis
2023-10-30,23-250,GSW,AWAY,NOP,W (+28),0,19:50,5,9,.556,0,0,,3,4,.750,7,2,9,0,0,4,2,2,13,13.8,+11,Trayce Jackson-Davis
2023-11-01,23-252,GSW,HOME,SAC,W (+1),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,,Trayce Jackson-Davis
2023-11-03,23-254,GSW,AWAY,OKC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Trayce Jackson-Davis
2023-11-05,23-256,GSW,AWAY,CLE,L (-11),0,11:35,2,3,.667,0,0,,1,5,.200,1,3,4,1,1,1,0,4,5,4.5,+8,Trayce Jackson-Davis
2023-11-06,23-257,GSW,AWAY,DET,W (+11),0,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Trayce Jackson-Davis
2023-11-08,23-259,GSW,AWAY,DEN,L (-3),0,18:13,2,3,.667,0,0,,4,5,.800,0,2,2,1,0,0,0,4,8,6.0,+4,Trayce Jackson-Davis
2023-11-11,23-262,GSW,HOME,CLE,L (-8),0,5:34,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1,0.2,+4,Trayce Jackson-Davis
2023-11-12,23-263,GSW,HOME,MIN,L (-6),0,1:16,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+6,Trayce Jackson-Davis
2023-11-14,23-265,GSW,HOME,MIN,L (-3),0,11:40,0,1,.000,0,0,,2,2,1.000,0,2,2,3,0,0,2,2,2,1.2,-2,Trayce Jackson-Davis
2023-11-16,23-267,GSW,HOME,OKC,L (-19),0,4:33,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,+1,Trayce Jackson-Davis
2023-11-18,23-269,GSW,HOME,OKC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Trayce Jackson-Davis
2023-11-20,23-271,GSW,HOME,HOU,W (+5),0,4:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Trayce Jackson-Davis
2023-11-22,23-273,GSW,AWAY,PHO,L (-8),0,14:54,2,3,.667,0,0,,2,5,.400,2,2,4,0,1,0,1,3,6,4.3,-5,Trayce Jackson-Davis
2023-11-24,23-275,GSW,HOME,SAS,W (+6),0,5:23,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,1,1,1,2,0.6,+1,Trayce Jackson-Davis
2023-11-28,23-279,GSW,AWAY,SAC,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trayce Jackson-Davis
2023-11-30,23-281,GSW,HOME,LAC,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trayce Jackson-Davis
2023-12-02,23-283,GSW,AWAY,LAC,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trayce Jackson-Davis
2023-12-06,23-287,GSW,HOME,POR,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trayce Jackson-Davis
