DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,22-123,NOP,AWAY,BRK,W (+22),0,23:57,5,7,.714,4,6,.667,2,3,.667,4,5,9,2,0,1,1,4,16,16.5,+4,Trey Murphy III
2022-10-21,22-125,NOP,AWAY,CHO,W (+12),0,19:49,3,9,.333,2,5,.400,0,0,,1,2,3,0,3,0,0,2,8,6.4,-11,Trey Murphy III
2022-10-23,22-127,NOP,HOME,UTA,L (-1),0,39:42,6,11,.545,3,4,.750,1,1,1.000,1,8,9,1,0,0,2,4,16,10.9,+14,Trey Murphy III
2022-10-25,22-129,NOP,HOME,DAL,W (+2),1,36:29,8,8,1.000,4,4,1.000,2,2,1.000,1,4,5,1,1,0,2,3,22,20.0,+1,Trey Murphy III
2022-10-28,22-132,NOP,AWAY,PHO,L (-13),1,32:36,4,9,.444,3,7,.429,2,2,1.000,0,5,5,1,2,0,1,3,13,10.3,+3,Trey Murphy III
2022-10-30,22-134,NOP,AWAY,LAC,W (+21),1,37:17,6,16,.375,3,9,.333,0,0,,4,1,5,1,1,0,1,0,15,10.0,+21,Trey Murphy III
2022-11-02,22-137,NOP,AWAY,LAL,L (-3),1,39:43,4,9,.444,0,5,.000,4,4,1.000,2,3,5,3,1,0,0,2,12,11.9,0,Trey Murphy III
2022-11-04,22-139,NOP,HOME,GSW,W (+9),0,27:33,3,7,.429,3,6,.500,1,1,1.000,1,3,4,4,2,0,0,3,10,11.5,+18,Trey Murphy III
2022-11-05,22-140,NOP,AWAY,ATL,L (-3),0,17:16,0,3,.000,0,3,.000,2,2,1.000,0,0,0,2,0,0,1,0,2,0.3,+3,Trey Murphy III
2022-11-07,22-142,NOP,AWAY,IND,L (-7),0,28:11,4,7,.571,3,6,.500,0,0,,1,5,6,1,2,0,1,1,11,11.2,+8,Trey Murphy III
2022-11-09,22-144,NOP,AWAY,CHI,W (+4),0,20:19,0,3,.000,0,3,.000,2,2,1.000,1,2,3,1,0,1,0,1,2,2.2,-5,Trey Murphy III
2022-11-10,22-145,NOP,HOME,POR,L (-11),0,30:56,5,11,.455,3,8,.375,3,3,1.000,1,2,3,1,0,3,0,0,16,14.4,-7,Trey Murphy III
2022-11-12,22-147,NOP,HOME,HOU,W (+13),0,17:40,2,7,.286,0,5,.000,2,2,1.000,0,1,1,0,0,0,1,1,6,0.8,-14,Trey Murphy III
2022-11-15,22-150,NOP,HOME,MEM,W (+11),1,25:08,5,11,.455,3,6,.500,0,0,,0,2,2,1,1,1,0,1,13,9.9,-5,Trey Murphy III
2022-11-16,22-151,NOP,HOME,CHI,W (+14),1,24:40,7,9,.778,5,6,.833,0,0,,1,9,10,1,3,1,1,0,19,22.3,+17,Trey Murphy III
2022-11-18,22-153,NOP,HOME,BOS,L (-8),1,12:00,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,-10,Trey Murphy III
2022-11-21,22-156,NOP,HOME,GSW,W (+45),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Trey Murphy III
2022-11-23,22-158,NOP,AWAY,SAS,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Trey Murphy III
2022-11-25,22-160,NOP,AWAY,MEM,L (-21),0,26:06,7,14,.500,1,6,.167,6,7,.857,2,1,3,1,1,0,0,4,21,15.4,-17,Trey Murphy III
2022-11-28,22-163,NOP,HOME,OKC,W (+4),1,36:55,7,13,.538,2,7,.286,4,4,1.000,3,3,6,0,2,1,2,1,20,17.0,+9,Trey Murphy III
2022-11-30,22-165,NOP,HOME,TOR,W (+18),1,37:11,8,17,.471,6,12,.500,4,4,1.000,1,4,5,1,1,1,2,3,26,18.4,+21,Trey Murphy III
2022-12-02,22-167,NOP,AWAY,SAS,W (+18),1,33:00,6,15,.400,5,12,.417,0,0,,0,3,3,2,2,1,2,2,17,11.1,+8,Trey Murphy III
2022-12-04,22-169,NOP,HOME,DEN,W (+15),1,29:20,4,8,.500,1,3,.333,3,3,1.000,0,3,3,2,3,0,0,4,12,11.7,-4,Trey Murphy III
2022-12-07,22-172,NOP,HOME,DET,W (+6),1,35:06,6,13,.462,4,9,.444,4,4,1.000,2,3,5,5,1,1,1,3,20,18.6,-7,Trey Murphy III
2022-12-09,22-174,NOP,HOME,PHO,W (+11),1,27:18,1,5,.200,1,5,.200,0,0,,0,3,3,1,0,0,2,2,3,-1.3,-3,Trey Murphy III
2022-12-11,22-176,NOP,HOME,PHO,W (+5),1,33:53,3,8,.375,1,4,.250,2,3,.667,0,7,7,2,2,1,1,3,9,8.2,-2,Trey Murphy III
2022-12-13,22-178,NOP,AWAY,UTA,L (-21),1,24:51,0,7,.000,0,4,.000,0,1,.000,0,0,0,2,1,1,1,1,0,-3.6,-14,Trey Murphy III
2022-12-15,22-180,NOP,AWAY,UTA,L (-3),1,32:43,4,8,.500,3,7,.429,1,1,1.000,1,4,5,0,1,0,1,6,12,7.5,+1,Trey Murphy III
2022-12-17,22-182,NOP,AWAY,PHO,L (-4),1,22:24,3,8,.375,2,4,.500,0,0,,1,3,4,2,0,2,1,2,8,6.2,+9,Trey Murphy III
2022-12-19,22-184,NOP,HOME,MIL,L (-9),1,27:59,3,6,.500,1,3,.333,6,6,1.000,3,2,5,0,0,0,0,1,13,12.3,-9,Trey Murphy III
2022-12-22,22-187,NOP,HOME,SAS,W (+9),1,27:47,5,8,.625,1,3,.333,4,5,.800,0,4,4,1,2,0,0,4,15,13.3,+7,Trey Murphy III
2022-12-23,22-188,NOP,AWAY,OKC,W (+3),1,39:35,8,13,.615,5,8,.625,2,2,1.000,1,4,5,1,2,0,2,1,23,19.3,+6,Trey Murphy III
2022-12-26,22-191,NOP,HOME,IND,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Trey Murphy III
2022-12-28,22-193,NOP,HOME,MIN,W (+1),1,26:57,6,8,.750,5,6,.833,4,5,.800,0,3,3,4,0,0,0,3,21,19.9,+10,Trey Murphy III
2022-12-30,22-195,NOP,HOME,PHI,W (+11),1,20:07,3,4,.750,2,2,1.000,0,0,,0,2,2,0,1,0,0,1,8,7.6,-7,Trey Murphy III
2022-12-31,22-196,NOP,AWAY,MEM,L (-15),1,23:53,5,7,.714,2,4,.500,3,3,1.000,0,3,3,0,0,0,0,2,15,12.2,-13,Trey Murphy III
2023-01-02,22-198,NOP,AWAY,PHI,L (-9),1,31:00,3,9,.333,2,6,.333,0,0,,0,6,6,0,0,1,0,2,8,4.6,+5,Trey Murphy III
2023-01-04,22-200,NOP,HOME,HOU,W (+11),1,28:35,5,13,.385,2,8,.250,2,2,1.000,0,0,0,1,0,1,0,3,14,7.1,+1,Trey Murphy III
2023-01-06,22-202,NOP,HOME,BRK,L (-6),1,30:37,3,5,.600,1,2,.500,4,4,1.000,1,0,1,0,0,0,1,2,11,7.6,-11,Trey Murphy III
2023-01-07,22-203,NOP,AWAY,DAL,L (-10),1,24:34,3,7,.429,1,4,.250,0,0,,1,1,2,1,0,1,1,5,7,2.7,-3,Trey Murphy III
2023-01-09,22-205,NOP,AWAY,WAS,W (+20),1,22:40,3,9,.333,0,5,.000,0,0,,0,1,1,2,1,1,1,1,6,2.9,0,Trey Murphy III
2023-01-11,22-207,NOP,AWAY,BOS,L (-11),1,33:54,7,11,.636,1,4,.250,0,0,,2,4,6,1,3,1,1,2,15,15.3,-7,Trey Murphy III
2023-01-13,22-209,NOP,AWAY,DET,W (+6),1,34:34,6,11,.545,3,8,.375,4,4,1.000,0,2,2,2,2,1,0,3,19,17.2,+8,Trey Murphy III
2023-01-16,22-212,NOP,AWAY,CLE,L (-10),1,33:27,7,14,.500,3,6,.500,0,0,,1,1,2,2,1,0,2,1,17,11.0,-16,Trey Murphy III
2023-01-18,22-214,NOP,HOME,MIA,L (-26),1,28:45,2,9,.222,1,6,.167,0,0,,0,3,3,3,2,0,1,0,5,3.5,-21,Trey Murphy III
2023-01-20,22-216,NOP,AWAY,ORL,L (-13),1,39:33,7,9,.778,2,4,.500,2,2,1.000,0,6,6,2,0,1,2,1,18,16.0,-18,Trey Murphy III
2023-01-22,22-218,NOP,AWAY,MIA,L (-4),1,34:27,6,11,.545,2,6,.333,3,3,1.000,1,0,1,0,3,0,1,5,17,12.4,-11,Trey Murphy III
2023-01-24,22-220,NOP,HOME,DEN,L (-1),1,33:01,3,10,.300,3,5,.600,1,1,1.000,0,6,6,1,1,0,0,1,10,7.3,-4,Trey Murphy III
2023-01-25,22-221,NOP,HOME,MIN,L (-9),1,20:30,2,5,.400,0,3,.000,2,2,1.000,0,0,0,1,0,2,0,1,6,5.0,-9,Trey Murphy III
2023-01-28,22-224,NOP,HOME,WAS,L (-10),1,26:39,4,11,.364,1,5,.200,1,1,1.000,0,2,2,0,1,2,0,0,10,6.9,-5,Trey Murphy III
2023-01-29,22-225,NOP,AWAY,MIL,L (-25),1,36:06,6,11,.545,4,6,.667,0,1,.000,1,1,2,2,1,0,2,0,16,11.7,-29,Trey Murphy III
2023-01-31,22-227,NOP,AWAY,DEN,L (-9),1,31:42,6,11,.545,1,5,.200,1,1,1.000,0,3,3,1,2,0,0,2,14,11.5,-11,Trey Murphy III
2023-02-02,22-229,NOP,AWAY,DAL,L (-5),1,33:30,3,6,.500,0,3,.000,3,3,1.000,0,3,3,2,1,0,0,2,9,8.5,+2,Trey Murphy III
2023-02-04,22-231,NOP,HOME,LAL,W (+5),1,28:12,7,12,.583,4,9,.444,3,3,1.000,1,4,5,0,0,0,0,4,21,15.7,+8,Trey Murphy III
2023-02-05,22-232,NOP,HOME,SAC,W (+32),1,35:58,9,11,.818,6,8,.750,6,7,.857,0,4,4,2,1,0,1,3,30,26.9,+34,Trey Murphy III
2023-02-07,22-234,NOP,HOME,ATL,W (+9),1,31:43,6,13,.462,4,9,.444,0,0,,2,2,4,2,0,0,0,3,16,11.5,+8,Trey Murphy III
2023-02-10,22-237,NOP,HOME,CLE,L (-11),1,33:53,7,13,.538,2,5,.400,1,2,.500,1,3,4,0,0,0,1,4,17,9.3,-11,Trey Murphy III
2023-02-13,22-240,NOP,AWAY,OKC,W (+3),1,31:30,3,11,.273,3,8,.375,3,4,.750,0,3,3,1,1,3,3,2,12,6.0,+13,Trey Murphy III
2023-02-15,22-242,NOP,AWAY,LAL,L (-18),1,20:17,0,6,.000,0,4,.000,2,2,1.000,0,2,2,0,1,0,2,1,2,-3.0,-15,Trey Murphy III
2023-02-23,22-250,NOP,AWAY,TOR,L (-5),0,23:02,3,8,.375,1,5,.200,2,2,1.000,1,1,2,0,1,0,1,2,9,4.8,0,Trey Murphy III
2023-02-25,22-252,NOP,AWAY,NYK,L (-22),0,27:27,4,9,.444,0,3,.000,3,3,1.000,1,1,2,2,0,0,0,0,11,8.7,-14,Trey Murphy III
2023-02-27,22-254,NOP,HOME,ORL,L (-8),0,20:38,2,8,.250,1,4,.250,2,3,.667,1,2,3,3,1,0,2,1,7,3.8,0,Trey Murphy III
2023-03-01,22-256,NOP,AWAY,POR,W (+11),0,31:59,3,10,.300,3,10,.300,0,0,,1,4,5,3,3,0,0,1,9,9.8,+16,Trey Murphy III
2023-03-03,22-258,NOP,AWAY,GSW,L (-9),1,37:48,6,14,.429,3,9,.333,0,0,,1,1,2,2,1,0,0,2,15,10.2,-5,Trey Murphy III
