DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-21,21-274,MIA,HOME,MIL,W (+42),0,24:12,10,18,.556,4,8,.500,3,4,.750,1,5,6,5,0,0,2,1,27,21.3,+27,Tyler Herro
2021-10-23,21-276,MIA,AWAY,IND,L (-11),0,41:10,12,28,.429,3,12,.250,3,3,1.000,1,9,10,0,0,0,3,2,30,14.8,-15,Tyler Herro
2021-10-25,21-278,MIA,HOME,ORL,W (+17),0,29:31,5,12,.417,1,3,.333,2,2,1.000,0,5,5,9,0,0,3,1,13,11.0,+19,Tyler Herro
2021-10-27,21-280,MIA,AWAY,BRK,W (+13),0,27:24,5,17,.294,1,6,.167,3,4,.750,2,6,8,2,0,0,3,0,14,5.3,+1,Tyler Herro
2021-10-29,21-282,MIA,HOME,CHO,W (+15),0,31:53,9,13,.692,4,6,.667,4,4,1.000,0,4,4,6,1,0,3,2,26,23.1,+20,Tyler Herro
2021-10-30,21-283,MIA,AWAY,MEM,W (+26),0,31:51,8,19,.421,4,8,.500,2,3,.667,2,4,6,5,0,0,3,1,22,14.2,+9,Tyler Herro
2021-11-02,21-286,MIA,AWAY,DAL,W (+15),0,34:48,11,20,.550,3,6,.500,0,0,,1,2,3,4,0,0,0,1,25,19.1,+21,Tyler Herro
2021-11-04,21-288,MIA,HOME,BOS,L (-17),0,29:00,3,11,.273,0,4,.000,0,0,,0,7,7,1,1,0,1,3,6,1.1,-32,Tyler Herro
2021-11-06,21-290,MIA,HOME,UTA,W (+3),0,34:23,11,18,.611,6,8,.750,1,2,.500,0,2,2,3,0,0,3,2,29,19.3,-1,Tyler Herro
2021-11-08,21-292,MIA,AWAY,DEN,L (-17),0,30:43,3,12,.250,2,9,.222,3,3,1.000,0,3,3,5,1,0,1,0,11,8.2,-7,Tyler Herro
2021-11-10,21-294,MIA,AWAY,LAL,L (-3),0,42:01,11,22,.500,5,8,.625,0,0,,1,3,4,3,0,0,3,1,27,16.3,-8,Tyler Herro
2021-11-11,21-295,MIA,AWAY,LAC,L (-3),1,38:51,10,23,.435,0,6,.000,3,4,.750,2,5,7,3,1,0,2,1,23,14.1,+2,Tyler Herro
2021-11-13,21-297,MIA,AWAY,UTA,W (+6),1,37:29,10,23,.435,1,7,.143,6,6,1.000,0,8,8,2,1,0,4,3,27,14.5,+8,Tyler Herro
2021-11-15,21-299,MIA,AWAY,OKC,W (+13),1,36:52,9,18,.500,5,8,.625,3,3,1.000,0,7,7,6,2,0,6,2,26,18.5,+28,Tyler Herro
2021-11-17,21-301,MIA,HOME,NOP,W (+15),1,36:59,7,19,.368,3,9,.333,2,2,1.000,1,2,3,5,1,0,4,1,19,9.9,+19,Tyler Herro
2021-11-18,21-302,MIA,HOME,WAS,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tyler Herro
2021-11-20,21-304,MIA,AWAY,WAS,L (-3),0,30:29,8,16,.500,3,6,.500,1,1,1.000,1,4,5,3,2,0,3,1,20,14.6,-14,Tyler Herro
2021-11-23,21-307,MIA,AWAY,DET,W (+8),0,32:55,12,21,.571,4,8,.500,3,4,.750,1,7,8,3,0,0,3,1,31,22.2,+15,Tyler Herro
2021-11-24,21-308,MIA,AWAY,MIN,L (-12),0,33:43,5,18,.278,4,11,.364,2,2,1.000,0,7,7,2,0,1,5,1,16,4.2,-9,Tyler Herro
