DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,21-233,SAC,AWAY,POR,W (+3),1,28:36,1,5,.200,0,1,.000,0,0,,0,2,2,4,1,0,1,2,2,1.5,+8,Tyrese Haliburton
2021-10-22,21-235,SAC,HOME,UTA,L (-9),1,35:01,7,12,.583,0,2,.000,1,1,1.000,0,3,3,6,3,1,2,0,15,16.2,-17,Tyrese Haliburton
2021-10-24,21-237,SAC,HOME,GSW,L (-12),1,29:52,3,9,.333,2,6,.333,0,0,,1,6,7,9,0,2,2,1,8,10.7,-2,Tyrese Haliburton
2021-10-27,21-240,SAC,AWAY,PHO,W (+3),1,34:59,6,11,.545,2,5,.400,1,1,1.000,0,2,2,3,2,1,1,2,15,13.3,-1,Tyrese Haliburton
2021-10-29,21-242,SAC,AWAY,NOP,W (+4),1,31:22,7,12,.583,1,2,.500,2,3,.667,0,2,2,8,0,1,2,0,17,15.9,+2,Tyrese Haliburton
2021-10-31,21-244,SAC,AWAY,DAL,L (-6),1,33:21,5,14,.357,1,4,.250,3,3,1.000,3,3,6,4,0,2,1,1,14,12.0,+2,Tyrese Haliburton
2021-11-02,21-246,SAC,AWAY,UTA,L (-6),1,31:40,6,16,.375,1,3,.333,1,2,.500,0,3,3,3,1,2,1,1,14,8.8,-15,Tyrese Haliburton
2021-11-03,21-247,SAC,HOME,NOP,W (+13),1,36:36,6,11,.545,1,3,.333,7,8,.875,0,4,4,7,4,2,0,1,20,25.4,+7,Tyrese Haliburton
2021-11-05,21-249,SAC,HOME,CHO,W (+30),1,30:37,6,8,.750,2,3,.667,0,0,,1,2,3,5,1,0,1,1,14,15.2,+9,Tyrese Haliburton
2021-11-07,21-251,SAC,HOME,IND,L (-3),1,33:40,7,14,.500,3,6,.500,0,0,,2,1,3,1,3,0,3,1,17,12.0,-6,Tyrese Haliburton
2021-11-08,21-252,SAC,HOME,PHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tyrese Haliburton
2021-11-10,21-254,SAC,AWAY,SAS,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tyrese Haliburton
2021-11-12,21-256,SAC,AWAY,OKC,L (-2),1,35:05,3,13,.231,2,6,.333,0,0,,2,6,8,7,0,1,1,1,8,7.5,+2,Tyrese Haliburton
2021-11-15,21-259,SAC,AWAY,DET,W (+22),1,34:49,7,11,.636,3,3,1.000,0,0,,1,1,2,10,2,1,5,2,17,17.0,+15,Tyrese Haliburton
2021-11-17,21-261,SAC,AWAY,MIN,L (-10),1,34:13,3,10,.300,1,5,.200,0,0,,2,3,5,3,2,0,4,3,7,2.4,-13,Tyrese Haliburton
2021-11-19,21-263,SAC,HOME,TOR,L (-19),1,24:47,3,5,.600,2,4,.500,0,0,,1,3,4,0,3,1,1,2,8,9.2,-14,Tyrese Haliburton
2021-11-20,21-264,SAC,HOME,UTA,L (-18),1,37:00,7,13,.538,2,5,.400,1,2,.500,1,1,2,2,4,0,2,4,17,13.1,-17,Tyrese Haliburton
2021-11-22,21-266,SAC,HOME,PHI,L (-8),1,33:07,0,5,.000,0,3,.000,0,0,,3,2,5,9,1,0,1,2,0,4.7,+9,Tyrese Haliburton
2021-11-24,21-268,SAC,HOME,POR,W (+4),1,32:46,2,9,.222,1,6,.167,1,2,.500,1,3,4,6,3,1,2,0,6,7.6,+5,Tyrese Haliburton
2021-11-26,21-270,SAC,AWAY,LAL,W (+4),1,47:04,7,15,.467,5,9,.556,0,0,,1,5,6,9,5,0,3,0,19,21.8,+4,Tyrese Haliburton
2021-11-28,21-272,SAC,AWAY,MEM,L (-27),1,20:04,1,4,.250,0,1,.000,3,4,.750,1,0,1,2,0,0,1,0,5,3.3,-23,Tyrese Haliburton
2021-11-30,21-274,SAC,HOME,LAL,L (-25),1,32:17,2,10,.200,1,2,.500,1,2,.500,1,4,5,6,2,0,3,0,6,4.5,-1,Tyrese Haliburton
2021-12-01,21-275,SAC,AWAY,LAC,W (+9),1,40:06,5,13,.385,2,9,.222,0,0,,0,1,1,11,0,0,0,0,12,12.9,-3,Tyrese Haliburton
2021-12-04,21-278,SAC,HOME,LAC,W (+5),1,37:29,7,14,.500,4,8,.500,0,0,,2,4,6,5,2,1,5,4,18,13.2,+6,Tyrese Haliburton
2021-12-08,21-282,SAC,HOME,ORL,W (+12),1,38:11,6,9,.667,5,6,.833,1,1,1.000,1,2,3,11,3,2,2,1,18,25.1,+17,Tyrese Haliburton
2021-12-10,21-284,SAC,AWAY,CHO,L (-1),1,35:45,5,9,.556,5,8,.625,0,0,,2,5,7,7,2,0,3,2,15,16.7,+9,Tyrese Haliburton
2021-12-11,21-285,SAC,AWAY,CLE,L (-14),1,26:12,4,8,.500,0,2,.000,0,0,,1,4,5,3,0,0,1,2,8,6.2,-17,Tyrese Haliburton
2021-12-13,21-287,SAC,AWAY,TOR,L (-23),1,21:42,1,2,.500,1,1,1.000,0,0,,0,2,2,4,1,2,1,1,3,6.4,-16,Tyrese Haliburton
2021-12-15,21-289,SAC,HOME,WAS,W (+14),1,36:11,4,12,.333,0,6,.000,0,0,,1,7,8,9,3,3,3,2,8,11.6,+9,Tyrese Haliburton
2021-12-17,21-291,SAC,HOME,MEM,L (-19),1,37:46,9,16,.563,3,5,.600,0,0,,0,6,6,10,0,1,3,1,21,19.5,-9,Tyrese Haliburton
2021-12-19,21-293,SAC,HOME,SAS,W (+7),1,37:10,12,19,.632,3,5,.600,0,0,,1,3,4,11,2,0,3,5,27,24.8,+4,Tyrese Haliburton
2021-12-20,21-294,SAC,AWAY,GSW,L (-15),1,41:12,8,18,.444,2,4,.500,6,7,.857,0,4,4,11,3,0,5,1,24,20.7,-6,Tyrese Haliburton
2021-12-22,21-296,SAC,HOME,LAC,L (-16),1,43:10,7,15,.467,3,8,.375,5,6,.833,0,3,3,13,3,1,7,1,22,20.2,-13,Tyrese Haliburton
2021-12-26,21-300,SAC,HOME,MEM,L (-25),1,31:57,5,12,.417,2,5,.400,6,6,1.000,0,5,5,7,3,1,3,0,18,18.7,-19,Tyrese Haliburton
2021-12-28,21-302,SAC,HOME,OKC,W (+6),1,33:10,9,14,.643,5,8,.625,1,1,1.000,0,2,2,10,1,2,2,1,24,25.4,-17,Tyrese Haliburton
2021-12-29,21-303,SAC,HOME,DAL,W (+1),1,35:38,4,13,.308,1,5,.200,3,3,1.000,0,2,2,10,0,0,2,3,12,8.9,-5,Tyrese Haliburton
2021-12-31,21-305,SAC,HOME,DAL,L (-16),1,32:44,6,10,.600,4,5,.800,1,2,.500,0,4,4,10,1,0,2,1,17,18.8,-7,Tyrese Haliburton
2022-01-02,21-307,SAC,HOME,MIA,W (+2),1,35:09,3,6,.500,1,1,1.000,2,3,.667,1,2,3,12,0,0,2,1,9,12.9,-1,Tyrese Haliburton
2022-01-04,21-309,SAC,AWAY,LAL,L (-8),1,34:44,3,10,.300,1,5,.200,0,0,,0,4,4,9,0,0,2,0,7,6.7,-10,Tyrese Haliburton
2022-01-05,21-310,SAC,HOME,ATL,L (-6),1,38:09,8,16,.500,5,7,.714,3,3,1.000,1,4,5,2,3,0,1,2,24,20.5,+6,Tyrese Haliburton
2022-01-07,21-312,SAC,AWAY,DEN,L (-10),1,28:30,5,7,.714,4,5,.800,0,0,,0,4,4,6,0,0,1,2,14,14.7,-10,Tyrese Haliburton
2022-01-09,21-314,SAC,AWAY,POR,L (-15),1,35:11,6,11,.545,2,6,.333,3,4,.750,0,1,1,9,2,1,2,1,17,18.2,-8,Tyrese Haliburton
