DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,26-162,MEM,HOME,NYK,W (+3),0,24:58,6,16,.375,3,8,.375,0,2,.000,1,3,4,3,1,0,1,0,15,9.1,-4,Tyus Jones
2022-10-21,26-164,MEM,AWAY,HOU,W (+7),0,21:53,4,13,.308,3,7,.429,0,0,,0,4,4,4,0,0,0,0,11,7.5,-11,Tyus Jones
2022-10-22,26-165,MEM,AWAY,DAL,L (-41),0,24:05,3,8,.375,2,6,.333,2,3,.667,0,0,0,5,1,1,1,0,10,9.4,-21,Tyus Jones
2022-10-24,26-167,MEM,HOME,BRK,W (+10),0,24:17,4,10,.400,0,1,.000,0,0,,2,1,3,1,0,0,2,2,8,2.2,-12,Tyus Jones
2022-10-27,26-170,MEM,AWAY,SAC,W (+15),0,23:33,6,11,.545,1,4,.250,1,1,1.000,0,2,2,5,0,0,1,1,14,11.4,+18,Tyus Jones
2022-10-29,26-172,MEM,AWAY,UTA,L (-1),1,32:56,10,15,.667,3,5,.600,0,2,.000,0,1,1,10,2,0,1,0,23,24.0,-9,Tyus Jones
2022-10-31,26-174,MEM,AWAY,UTA,L (-16),0,27:18,5,9,.556,2,5,.400,0,0,,0,2,2,2,1,0,5,1,12,5.3,-18,Tyus Jones
2022-11-02,26-176,MEM,AWAY,POR,W (+5),0,23:51,1,6,.167,0,2,.000,0,0,,0,0,0,5,1,0,0,2,2,1.9,-1,Tyus Jones
2022-11-04,26-178,MEM,HOME,CHO,W (+31),0,14:08,5,8,.625,0,2,.000,1,1,1.000,0,2,2,3,0,0,0,0,11,10.1,+3,Tyus Jones
2022-11-06,26-180,MEM,HOME,WAS,W (+6),0,19:09,2,5,.400,1,3,.333,2,2,1.000,0,0,0,3,1,0,1,0,7,6.4,+12,Tyus Jones
2022-11-07,26-181,MEM,HOME,BOS,L (-3),0,15:11,3,5,.600,0,2,.000,0,0,,0,1,1,3,0,0,0,0,6,6.1,-21,Tyus Jones
2022-11-09,26-183,MEM,AWAY,SAS,W (+2),0,19:38,4,10,.400,3,5,.600,0,0,,0,1,1,3,0,0,1,0,11,7.0,-10,Tyus Jones
2022-11-11,26-185,MEM,HOME,MIN,W (+11),0,19:01,3,6,.500,0,1,.000,0,0,,1,0,1,3,0,0,1,0,6,4.8,+14,Tyus Jones
2022-11-13,26-187,MEM,AWAY,WAS,L (-10),1,36:15,7,18,.389,1,4,.250,2,2,1.000,0,3,3,5,3,0,2,1,17,12.2,-4,Tyus Jones
2022-11-15,26-189,MEM,AWAY,NOP,L (-11),0,19:36,1,4,.250,1,4,.250,0,0,,0,1,1,3,0,0,0,0,3,3.0,-17,Tyus Jones
2022-11-18,26-192,MEM,HOME,OKC,W (+11),0,23:10,4,7,.571,1,4,.250,4,4,1.000,1,1,2,5,0,1,1,2,13,13.1,+1,Tyus Jones
2022-11-20,26-194,MEM,AWAY,BRK,L (-12),1,34:21,5,10,.500,2,2,1.000,1,3,.333,0,3,3,6,0,0,1,0,13,11.3,-5,Tyus Jones
2022-11-22,26-196,MEM,HOME,SAC,L (-4),0,27:18,3,9,.333,2,5,.400,0,0,,0,3,3,6,2,0,1,2,8,8.2,-11,Tyus Jones
2022-11-25,26-199,MEM,HOME,NOP,W (+21),0,21:24,3,7,.429,3,5,.600,0,0,,1,0,1,6,0,0,1,0,9,9.2,+11,Tyus Jones
2022-11-27,26-201,MEM,AWAY,NYK,W (+4),0,19:03,1,5,.200,0,3,.000,0,0,,0,2,2,7,0,0,0,0,2,4.4,-1,Tyus Jones
2022-11-30,26-204,MEM,AWAY,MIN,L (-8),0,29:44,5,10,.500,2,3,.667,1,2,.500,2,4,6,1,0,0,2,0,13,8.9,-8,Tyus Jones
2022-12-02,26-206,MEM,HOME,PHI,W (+8),0,15:55,1,3,.333,1,2,.500,0,0,,1,1,2,5,1,0,0,1,3,6.4,+12,Tyus Jones
2022-12-04,26-208,MEM,AWAY,DET,W (+10),0,20:29,2,7,.286,1,4,.250,0,0,,0,2,2,4,0,0,2,0,5,2.3,+4,Tyus Jones
2022-12-05,26-209,MEM,HOME,MIA,W (+8),1,36:15,10,16,.625,3,6,.500,5,5,1.000,0,5,5,10,2,0,1,0,28,30.3,+8,Tyus Jones
2022-12-07,26-211,MEM,HOME,OKC,W (+21),0,21:56,1,5,.200,1,3,.333,0,0,,2,0,2,5,2,0,2,0,3,4.8,+11,Tyus Jones
2022-12-09,26-213,MEM,HOME,DET,W (+11),0,22:20,4,11,.364,2,6,.333,0,0,,1,5,6,7,1,0,1,0,10,11.0,-7,Tyus Jones
2022-12-12,26-216,MEM,HOME,ATL,W (+25),1,25:10,8,14,.571,4,7,.571,2,3,.667,0,1,1,11,3,0,3,0,22,23.0,+21,Tyus Jones
2022-12-15,26-219,MEM,HOME,MIL,W (+41),0,19:03,6,9,.667,3,3,1.000,1,1,1.000,0,3,3,2,0,0,0,0,16,14.4,+32,Tyus Jones
2022-12-17,26-221,MEM,AWAY,OKC,L (-6),0,33:33,5,14,.357,2,9,.222,3,4,.750,0,1,1,2,2,0,1,1,15,9.1,-2,Tyus Jones
2022-12-20,26-224,MEM,AWAY,DEN,L (-14),0,29:55,2,6,.333,0,3,.000,1,1,1.000,1,4,5,4,0,0,1,0,5,5.3,-6,Tyus Jones
2022-12-23,26-227,MEM,AWAY,PHO,W (+25),0,15:20,1,5,.200,0,2,.000,0,0,,0,2,2,4,1,0,1,0,2,2.3,+2,Tyus Jones
