DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,22-091,UTA,HOME,SAC,L (-16),1,22:10,4,5,.800,0,0,,0,0,,4,4,8,0,0,1,1,3,8,8.6,-14,Walker Kessler
2023-10-27,22-093,UTA,HOME,LAC,W (+2),1,21:16,3,6,.500,1,2,.500,0,0,,2,2,4,0,0,0,0,0,7,6.0,+6,Walker Kessler
2023-10-28,22-094,UTA,AWAY,PHO,L (-22),1,23:28,1,4,.250,0,2,.000,0,0,,2,3,5,1,0,1,3,3,2,-0.9,-17,Walker Kessler
2023-10-30,22-096,UTA,AWAY,DEN,L (-8),1,29:09,10,11,.909,0,0,,2,3,.667,3,10,13,0,0,1,2,4,22,20.1,-2,Walker Kessler
2023-11-01,22-098,UTA,HOME,MEM,W (+24),1,17:54,1,4,.250,0,0,,2,4,.500,1,3,4,0,0,2,0,2,4,3.0,-13,Walker Kessler
2023-11-02,22-099,UTA,HOME,ORL,L (-2),1,25:10,2,6,.333,0,0,,0,0,,3,7,10,1,0,5,1,2,4,7.2,-10,Walker Kessler
2023-11-04,22-101,UTA,AWAY,MIN,L (-28),1,21:51,2,3,.667,0,0,,0,0,,1,3,4,0,0,3,0,0,4,6.4,-14,Walker Kessler
2023-11-06,22-103,UTA,AWAY,CHI,L (-17),1,30:39,5,12,.417,1,2,.500,4,6,.667,11,4,15,0,0,4,1,3,15,17.3,-14,Walker Kessler
2023-11-08,22-105,UTA,AWAY,IND,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Walker Kessler
2023-11-10,22-107,UTA,AWAY,MEM,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Walker Kessler
2023-11-14,22-111,UTA,HOME,POR,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Walker Kessler
2023-11-17,22-114,UTA,HOME,PHO,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Walker Kessler
2023-11-19,22-116,UTA,HOME,PHO,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Walker Kessler
2023-11-21,22-118,UTA,AWAY,LAL,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Walker Kessler
2023-11-22,22-119,UTA,AWAY,POR,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Walker Kessler
2023-11-25,22-122,UTA,HOME,NOP,W (+5),0,21:02,5,10,.500,0,1,.000,1,1,1.000,6,5,11,0,1,2,3,5,11,9.1,-1,Walker Kessler
2023-11-27,22-124,UTA,HOME,NOP,W (+2),0,25:52,7,9,.778,0,0,,0,1,.000,1,7,8,3,0,2,0,4,14,14.8,+3,Walker Kessler
2023-11-29,22-126,UTA,AWAY,MEM,L (-14),0,27:47,4,11,.364,0,2,.000,1,2,.500,3,5,8,2,1,6,1,0,9,11.7,-2,Walker Kessler
2023-11-30,22-127,UTA,AWAY,MIN,L (-11),0,26:32,3,6,.500,0,2,.000,1,2,.500,0,5,5,2,1,3,1,1,7,8.2,-7,Walker Kessler
2023-12-02,22-129,UTA,HOME,POR,W (+5),0,25:21,6,6,1.000,0,0,,0,0,,4,4,8,0,0,2,2,1,12,13.2,-5,Walker Kessler
2023-12-06,22-133,UTA,AWAY,DAL,L (-50),0,27:21,3,7,.429,0,0,,0,0,,4,4,8,0,1,0,2,4,6,3.7,-15,Walker Kessler
2023-12-08,22-135,UTA,HOME,LAC,L (-14),1,31:07,4,9,.444,0,0,,0,0,,4,8,12,3,2,5,2,2,8,13.3,-10,Walker Kessler
2023-12-11,22-138,UTA,AWAY,OKC,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Walker Kessler
2023-12-13,22-140,UTA,HOME,NYK,W (+4),0,22:51,4,7,.571,0,0,,1,3,.333,4,5,9,1,0,3,2,3,9,8.8,+3,Walker Kessler
2023-12-14,22-141,UTA,AWAY,POR,W (+8),1,26:26,5,6,.833,0,1,.000,0,0,,2,8,10,4,1,7,1,0,10,19.3,+23,Walker Kessler
2023-12-16,22-143,UTA,AWAY,SAC,L (-21),0,18:25,0,0,,0,0,,2,4,.500,1,2,3,1,0,1,1,2,2,2.1,-28,Walker Kessler
2023-12-18,22-145,UTA,HOME,BRK,W (+17),1,32:08,6,8,.750,0,0,,2,4,.500,3,11,14,0,0,5,1,1,14,17.5,+9,Walker Kessler
2023-12-20,22-147,UTA,AWAY,CLE,L (-8),1,30:16,5,8,.625,0,1,.000,0,0,,1,4,5,0,2,1,2,2,10,8.2,+5,Walker Kessler
2023-12-21,22-148,UTA,AWAY,DET,W (+8),0,20:17,2,3,.667,0,0,,0,1,.000,5,5,10,1,0,4,1,1,4,9.4,+17,Walker Kessler
2023-12-23,22-150,UTA,AWAY,TOR,W (+7),0,25:18,5,6,.833,0,0,,0,0,,3,5,8,1,0,2,1,2,10,11.7,+17,Walker Kessler
2023-12-26,22-153,UTA,AWAY,SAS,W (+12),0,17:57,5,10,.500,1,1,1.000,0,0,,3,4,7,1,1,4,1,2,11,12.0,+1,Walker Kessler
