DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,20-190,CHI,AWAY,CHO,L (-1),1,29:25,5,11,.455,0,0,,2,2,1.000,5,4,9,0,0,1,1,4,12,9.1,+2,Wendell Carter Jr.
2019-10-25,20-192,CHI,AWAY,MEM,W (+8),1,26:41,2,4,.500,0,1,.000,3,4,.750,2,5,7,0,2,1,1,6,7,6.8,+16,Wendell Carter Jr.
2019-10-26,20-193,CHI,HOME,TOR,L (-24),1,23:12,6,14,.429,0,2,.000,0,2,.000,5,6,11,0,0,0,1,3,12,6.9,-19,Wendell Carter Jr.
2019-10-28,20-195,CHI,AWAY,NYK,L (-7),1,28:25,7,9,.778,0,1,.000,6,7,.857,3,7,10,2,1,3,1,5,20,21.8,-4,Wendell Carter Jr.
2019-10-30,20-197,CHI,AWAY,CLE,L (-6),1,27:10,5,8,.625,0,1,.000,5,6,.833,2,6,8,0,0,2,3,3,15,11.4,-1,Wendell Carter Jr.
2019-11-01,20-199,CHI,HOME,DET,W (+6),1,32:06,6,9,.667,1,1,1.000,3,5,.600,2,9,11,2,0,0,0,3,16,15.6,+13,Wendell Carter Jr.
2019-11-03,20-201,CHI,AWAY,IND,L (-13),1,28:20,9,10,.900,0,0,,2,6,.333,3,7,10,2,0,0,2,4,20,17.0,-3,Wendell Carter Jr.
2019-11-05,20-203,CHI,HOME,LAL,L (-6),1,31:17,4,9,.444,0,1,.000,3,6,.500,4,7,11,0,0,1,2,4,11,7.1,-16,Wendell Carter Jr.
2019-11-06,20-204,CHI,AWAY,ATL,W (+20),1,13:15,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,2,2,6,2,-2.1,+16,Wendell Carter Jr.
2019-11-09,20-207,CHI,HOME,HOU,L (-23),1,29:00,5,9,.556,0,1,.000,3,3,1.000,4,12,16,2,0,2,0,3,13,16.7,-5,Wendell Carter Jr.
2019-11-12,20-210,CHI,HOME,NYK,W (+18),1,35:19,7,11,.636,0,0,,3,6,.500,4,8,12,0,0,0,1,3,17,13.9,+17,Wendell Carter Jr.
2019-11-14,20-212,CHI,AWAY,MIL,L (-9),1,20:52,6,7,.857,0,0,,2,2,1.000,3,3,6,1,0,0,2,6,14,10.8,+5,Wendell Carter Jr.
2019-11-16,20-214,CHI,HOME,BRK,L (-6),1,36:51,5,10,.500,0,0,,8,8,1.000,9,5,14,2,0,0,2,6,18,17.8,+1,Wendell Carter Jr.
2019-11-18,20-216,CHI,HOME,MIL,L (-14),1,27:32,3,6,.500,0,1,.000,0,0,,3,5,8,0,1,0,1,4,6,5.0,-10,Wendell Carter Jr.
2019-11-20,20-218,CHI,HOME,DET,W (+20),1,33:03,3,7,.429,0,0,,6,8,.750,5,10,15,1,1,1,1,2,12,14.6,+21,Wendell Carter Jr.
2019-11-22,20-220,CHI,HOME,MIA,L (-8),1,25:50,3,3,1.000,0,0,,0,0,,4,2,6,1,1,0,1,4,6,7.6,-12,Wendell Carter Jr.
2019-11-23,20-221,CHI,AWAY,CHO,W (+1),1,34:24,6,10,.600,1,1,1.000,4,6,.667,5,6,11,3,2,2,2,5,17,18.4,+7,Wendell Carter Jr.
2019-11-25,20-223,CHI,HOME,POR,L (-23),1,31:22,5,8,.625,0,1,.000,2,2,1.000,3,6,9,1,1,1,2,2,12,11.9,-16,Wendell Carter Jr.
