DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,22-105,NOP,AWAY,BRK,W (+22),1,30:03,11,22,.500,0,0,,3,4,.750,3,6,9,3,4,0,2,3,25,20.4,+13,Zion Williamson
2022-10-21,22-107,NOP,AWAY,CHO,W (+12),1,30:43,7,19,.368,0,0,,2,4,.500,2,3,5,3,1,0,3,0,16,7.1,+13,Zion Williamson
2022-10-23,22-109,NOP,HOME,UTA,L (-1),1,29:53,10,16,.625,0,0,,5,6,.833,2,4,6,1,1,2,4,3,25,17.9,-7,Zion Williamson
2022-10-25,22-111,NOP,HOME,DAL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Zion Williamson
2022-10-28,22-114,NOP,AWAY,PHO,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Zion Williamson
2022-10-30,22-116,NOP,AWAY,LAC,W (+21),1,30:32,9,17,.529,0,0,,3,4,.750,3,9,12,7,1,0,1,1,21,21.6,+19,Zion Williamson
2022-11-02,22-119,NOP,AWAY,LAL,L (-3),1,36:36,11,21,.524,0,1,.000,5,8,.625,2,3,5,7,0,0,3,5,27,17.7,-13,Zion Williamson
2022-11-04,22-121,NOP,HOME,GSW,W (+9),1,27:55,7,11,.636,0,0,,2,4,.500,0,3,3,1,1,0,2,2,16,10.1,+9,Zion Williamson
2022-11-05,22-122,NOP,AWAY,ATL,L (-3),1,37:16,11,20,.550,0,1,.000,7,10,.700,2,6,8,4,0,0,7,2,29,16.4,-4,Zion Williamson
2022-11-07,22-124,NOP,AWAY,IND,L (-7),1,33:59,10,15,.667,2,3,.667,4,6,.667,3,4,7,7,2,1,1,4,26,27.0,-9,Zion Williamson
2022-11-09,22-126,NOP,AWAY,CHI,W (+4),1,30:50,6,11,.545,0,0,,7,8,.875,4,1,5,1,0,0,1,3,19,14.9,+3,Zion Williamson
2022-11-10,22-127,NOP,HOME,POR,L (-11),1,31:40,9,14,.643,1,1,1.000,10,15,.667,1,5,6,3,1,0,3,4,29,21.5,-12,Zion Williamson
2022-11-12,22-129,NOP,HOME,HOU,W (+13),1,35:02,8,9,.889,0,0,,10,12,.833,1,3,4,6,1,0,3,3,26,24.7,+21,Zion Williamson
2022-11-15,22-132,NOP,HOME,MEM,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Zion Williamson
2022-11-16,22-133,NOP,HOME,CHI,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Zion Williamson
2022-11-18,22-135,NOP,HOME,BOS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Zion Williamson
2022-11-21,22-138,NOP,HOME,GSW,W (+45),1,23:06,3,7,.429,0,0,,3,4,.750,0,2,2,4,0,0,2,1,9,5.9,+28,Zion Williamson
2022-11-23,22-140,NOP,AWAY,SAS,W (+19),1,26:39,14,18,.778,0,2,.000,4,8,.500,4,7,11,1,2,1,1,1,32,30.3,+20,Zion Williamson
2022-11-25,22-142,NOP,AWAY,MEM,L (-21),1,30:00,6,12,.500,0,0,,2,2,1.000,1,4,5,4,1,0,1,3,14,11.5,-32,Zion Williamson
2022-11-28,22-145,NOP,HOME,OKC,W (+4),1,35:19,11,18,.611,0,1,.000,1,1,1.000,2,6,8,8,1,3,4,3,23,21.5,+19,Zion Williamson
2022-11-30,22-147,NOP,HOME,TOR,W (+18),1,37:26,12,15,.800,0,0,,9,12,.750,3,7,10,5,4,2,4,2,33,34.4,+19,Zion Williamson
2022-12-02,22-149,NOP,AWAY,SAS,W (+18),1,33:33,9,14,.643,0,2,.000,12,13,.923,4,11,15,8,2,1,3,1,30,34.4,+28,Zion Williamson
2022-12-04,22-151,NOP,HOME,DEN,W (+15),1,35:55,9,17,.529,0,0,,7,11,.636,1,5,6,4,1,1,4,0,25,17.8,+11,Zion Williamson
2022-12-07,22-154,NOP,HOME,DET,W (+6),1,32:58,11,16,.688,0,0,,7,11,.636,2,8,10,5,1,1,4,1,29,25.2,+1,Zion Williamson
