sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,1,10,0,B,127,304,33,63,31,114,358,149,57,28,16,40,1,190,404,84,119,42,130,537,189,114,36,17,57,6
1,2,9,0,B,115,272,51,77,31,123,349,143,80,22,11,37,1,179,360,76,118,43,137,513,158,105,38,14,62,3
2,2,8,1,B,104,275,43,79,29,142,329,156,68,35,11,48,2,185,391,74,122,41,130,498,166,111,29,22,54,2
3,2,8,1,B,109,241,34,70,31,124,351,143,63,22,12,38,2,184,392,70,102,39,148,487,161,92,22,21,51,1
4,1,10,0,B,125,271,41,63,31,127,315,147,70,29,19,34,0,190,397,91,129,46,140,535,188,99,38,20,62,4
5,0,11,0,B,112,253,43,75,29,110,306,131,79,29,14,48,0,201,419,65,92,37,122,529,187,100,30,23,45,2
6,4,7,0,B,125,268,36,75,36,117,344,162,71,36,13,38,1,191,383,71,107,32,141,527,190,95,22,18,61,3
7,4,7,0,B,114,246,36,64,35,137,327,154,61,25,10,35,0,179,392,59,97,33,138,532,199,99,27,16,58,4
8,3,8,0,B,125,260,40,66,35,129,358,157,63,30,10,46,0,177,381,72,105,50,141,517,188,93,27,15,64,4
9,1,10,0,B,111,268,28,64,37,132,367,155,59,20,19,35,1,200,411,88,121,39,134,549,166,91,24,31,48,2
10,1,10,0,B,115,261,23,54,34,133,337,160,77,33,12,35,1,206,395,82,122,44,142,487,191,109,34,13,53,6
11,1,10,0,B,126,285,42,68,35,134,339,144,82,18,8,49,0,165,391,81,123,40,147,528,190,102,34,16,48,4
12,2,9,0,B,112,250,38,66,27,114,333,155,73,22,23,52,1,191,373,85,125,47,152,496,195,102,39,21,55,6
13,4,7,0,B,111,264,37,76,24,113,334,161,63,30,14,33,4,185,388,76,111,45,153,509,164,106,29,13,64,2
14,3,8,0,B,116,283,36,71,34,135,339,150,74,24,12,49,1,199,386,75,116,29,128,489,190,93,35,27,60,4
15,0,11,0,B,105,245,36,67,29,115,332,154,54,25,9,53,2,187,400,63,101,50,154,489,182,86,28,13,47,3
16,2,9,0,B,116,274,42,70,31,114,325,155,68,31,14,37,2,203,375,75,106,40,123,499,170,80,32,20,58,0
17,1,10,0,B,130,287,44,84,37,128,351,153,75,35,12,31,1,196,400,80,105,50,150,528,198,107,44,23,54,4
18,2,9,0,B,126,273,42,72,31,130,337,158,82,18,14,40,2,181,401,72,111,43,128,537,188,101,31,22,70,4
19,1,10,0,B,105,257,34,69,30,155,334,150,77,28,14,40,0,178,357,88,122,42,134,501,181,97,43,18,51,4
20,2,9,0,B,136,301,32,65,36,112,348,138,69,26,8,40,1,178,382,66,89,43,135,497,172,86,31,18,69,2
21,3,7,1,B,120,269,49,74,35,147,345,137,53,30,14,44,0,183,387,74,114,47,155,490,180,122,27,14,51,3
22,1,10,0,B,112,286,43,67,32,116,335,145,75,34,12,28,1,201,392,78,112,39,134,483,165,113,37,19,61,2
23,1,10,0,B,118,286,48,75,37,139,366,146,73,22,19,38,0,191,372,72,102,51,155,485,173,107,32,22,55,4
24,2,9,0,B,109,259,36,53,30,125,341,153,57,29,14,43,0,168,372,87,130,38,146,489,176,115,30,24,51,2
25,1,10,0,B,113,266,35,76,30,126,333,151,61,30,16,37,0,171,369,66,107,38,132,517,173,106,43,18,50,4
26,0,11,0,B,112,274,41,71,35,127,359,148,65,30,12,52,1,166,378,64,107,39,139,509,189,90,38,23,47,4
27,2,9,0,B,127,286,33,62,34,133,346,120,68,26,15,34,0,183,366,77,120,43,132,504,199,115,38,12,54,3
28,2,9,0,B,133,297,37,74,33,127,330,161,79,17,17,61,1,209,412,71,107,39,122,477,179,86,36,16,62,3
29,2,9,0,B,135,287,38,71,36,112,360,135,58,27,11,45,0,169,367,87,117,47,146,528,201,88,39,16,58,7
30,2,9,0,B,114,262,34,70,31,112,337,157,69,19,14,46,2,164,353,74,110,44,133,517,180,100,35,21,56,1
31,3,8,0,B,119,277,30,60,40,131,343,150,64,26,11,28,0,188,371,86,118,32,129,533,180,85,39,17,56,2
32,4,6,1,B,118,268,34,63,43,133,389,146,80,25,19,37,2,168,365,89,124,41,138,511,174,103,31,10,69,2
33,1,9,1,B,110,285,25,57,36,130,336,139,71,25,14,33,0,186,380,79,127,43,139,489,157,109,37,22,57,0
34,2,9,0,B,125,294,34,68,40,138,337,138,63,18,14,33,1,189,366,64,102,41,161,530,188,91,33,19,69,2
35,1,10,0,B,115,269,44,69,29,99,345,169,75,17,12,36,2,167,361,72,107,52,151,544,195,98,31,24,54,4
36,1,9,1,B,113,249,41,67,32,117,330,154,76,24,6,28,2,183,379,90,120,51,137,515,177,104,35,13,74,2
37,2,9,0,B,124,288,35,65,30,105,327,150,54,20,21,39,1,187,375,74,110,46,150,490,166,79,26,18,54,2
38,2,9,0,B,130,255,34,67,30,104,352,151,69,17,13,42,1,187,394,82,121,43,146,520,176,88,28,21,68,3
39,3,8,0,B,119,270,50,74,29,114,346,151,51,19,11,52,0,162,351,71,108,33,135,555,192,81,53,10,50,2
40,1,10,0,B,106,239,36,69,24,134,347,129,77,23,10,30,2,189,384,93,117,55,155,482,195,87,32,19,65,4
41,4,7,0,B,122,272,39,73,42,126,323,155,68,26,16,39,0,175,379,73,99,40,124,518,179,89,24,21,40,4
42,3,8,0,B,119,253,38,63,40,131,346,137,67,38,14,45,1,183,392,82,121,57,162,499,200,113,32,26,64,3
43,1,10,0,B,124,284,41,76,39,134,363,149,66,27,13,34,1,178,396,89,134,42,126,484,157,97,36,24,55,4
44,1,10,0,B,121,259,37,69,26,120,360,139,68,12,16,32,0,172,357,85,124,40,157,504,164,113,32,26,61,4
45,1,10,0,B,128,293,28,52,29,105,346,140,73,20,17,41,1,184,398,66,106,49,137,549,177,103,35,20,54,3
46,2,9,0,B,121,282,47,81,31,122,335,141,70,29,12,52,0,155,384,78,115,35,137,513,198,93,32,17,58,3
47,1,10,0,B,109,255,36,66,29,113,368,147,72,20,9,48,0,186,377,78,108,48,148,488,201,96,23,21,61,4
48,4,7,0,B,132,302,32,66,50,133,330,157,71,32,13,30,2,169,353,87,126,54,139,457,155,93,26,27,77,1
49,3,8,0,B,128,262,36,55,33,129,318,154,67,24,10,34,0,164,375,81,129,52,154,494,185,87,27,11,55,3
