player_name,FGM_mean,FGM_std,FGM_min,FGM_max,FGA_mean,FGA_std,FGA_min,FGA_max,FTM_mean,FTM_std,FTM_min,FTM_max,FTA_mean,FTA_std,FTA_min,FTA_max,FG3M_mean,FG3M_std,FG3M_min,FG3M_max,FG3A_mean,FG3A_std,FG3A_min,FG3A_max,PTS_mean,PTS_std,PTS_min,PTS_max,REB_mean,REB_std,REB_min,REB_max,AST_mean,AST_std,AST_min,AST_max,STL_mean,STL_std,STL_min,STL_max,BLK_mean,BLK_std,BLK_min,BLK_max,TOV_mean,TOV_std,TOV_min,TOV_max,DD_mean,DD_std,DD_min,DD_max,FG_PCT_mean,FT_PCT_mean,FG3_PCT_mean,FGM_weekly_mean,FGM_weekly_std,FGA_weekly_mean,FGA_weekly_std,FTM_weekly_mean,FTM_weekly_std,FTA_weekly_mean,FTA_weekly_std,FG3M_weekly_mean,FG3M_weekly_std,FG3A_weekly_mean,FG3A_weekly_std,PTS_weekly_mean,PTS_weekly_std,REB_weekly_mean,REB_weekly_std,AST_weekly_mean,AST_weekly_std,STL_weekly_mean,STL_weekly_std,BLK_weekly_mean,BLK_weekly_std,TOV_weekly_mean,TOV_weekly_std,DD_weekly_mean,DD_weekly_std,team
Amen Thompson,5.295333333333334,2.3032545545924914,0,13,10.626666666666667,3.2171709645119613,2,21,1.5686666666666667,1.180203432598423,0,8,2.3793333333333333,1.3897459545186508,1,8,0.152,0.3790230058443764,0,3,2.9766666666666666,1.6257975583353999,1,9,12.363333333333333,3.5150475475774208,3,27,5.666666666666667,2.379495090731105,0,13,3.404,1.8400292946590466,0,11,1.1853333333333333,1.0959557327743776,0,6,0.7426666666666667,0.8867377053339558,0,5,2.3566666666666665,1.4792726999112404,0,9,0.05333333333333334,0.22477226386416976,0,1,0.498306148055207,0.6592883160549173,0.05106382978723404,15.886,4.022108740130588,31.88,5.702862903014693,4.706,2.0405616343465676,7.138,2.4500942683594227,0.456,0.6456762312422399,8.93,2.632672012205033,37.09,6.406245387114034,17.0,4.058193917958024,10.212,3.2024314409942543,3.556,1.9592195084176578,2.228,1.4968289795390708,7.07,2.6667063290303603,0.16,0.38300572681560136,BDE
Trey Murphy III,4.230666666666667,2.107863439854744,0,12,10.832666666666666,3.2974609001190744,2,22,1.456,1.0805133067223203,0,6,2.1273333333333335,1.2501312361617507,1,9,1.5413333333333334,1.131287509805583,0,6,5.728,2.423894836302028,1,15,12.094,3.49475409780661,3,24,4.724666666666667,2.173171262873854,0,12,1.9133333333333333,1.379041959733892,0,6,0.566,0.7802028439141759,0,4,0.25133333333333335,0.5036539821922132,0,3,0.686,0.8357848751752538,0,4,0.018666666666666668,0.1353899646105047,0,1,0.390547110591421,0.6844249451582576,0.26908752327746743,12.692,3.6512736954655147,32.498,5.497129511456999,4.368,1.7919257785946336,6.382,2.165514929484357,4.624,1.97139463162178,17.184,4.3280026818879005,36.282,6.239257380917272,14.174,3.6936445443545427,5.74,2.3476419756196605,1.698,1.363272909601047,0.754,0.8757956588566447,2.058,1.497705660164566,0.056,0.2301519929954106,BDE
Dyson Daniels,1.7446666666666666,1.306117216668553,0,8,4.220666666666666,1.9943146900487358,1,13,0.15866666666666668,0.37092219904006285,0,2,1.092,0.33408143758365066,1,4,0.26,0.4849984353805151,0,2,1.7606666666666666,1.021803443463372,1,6,4.647333333333333,2.1461664060328154,0,12,3.29,1.7693653577425588,0,10,2.3413333333333335,1.547822791046791,0,10,1.422,1.1796229652845938,0,7,0.19066666666666668,0.43944088842357537,0,3,1.6653333333333333,1.2991497535992815,0,7,0.0,0.0,0,0,0.4133628178802717,0.1452991452991453,0.1476713366149186,5.234,2.3129945714972076,12.662,3.4784990889496648,0.476,0.6467306402530223,3.276,0.603782333471612,0.78,0.8538490008382424,5.282,1.7356557844238607,13.942,3.7172937125132015,9.87,3.1983681961644863,7.024,2.700000742225089,4.266,2.0793969759445003,0.572,0.7681119657862179,4.996,2.2347196566656353,0.0,0.0,BDE
Norman Powell,6.832,2.6108083448379835,0,18,14.411333333333333,3.739624948047187,5,32,3.436,1.8319774637310395,0,11,4.749333333333333,2.1379616793378458,1,14,2.505333333333333,1.5177309468546292,0,9,6.126666666666667,2.504423482602139,1,17,20.514666666666667,4.5411672165514165,8,39,5.058666666666666,2.22767440268661,0,14,2.453333333333333,1.5297218444878218,0,10,1.0013333333333334,0.9808021568098009,0,7,0.558,0.7512293682419101,0,5,1.9373333333333334,1.3336386130391602,0,8,0.032,0.1760586960163058,0,1,0.47407133274737473,0.723469960696238,0.4089227421109902,20.496,4.708537421460999,43.234,6.740780388091646,10.308,3.173212023974792,14.248,3.6382646879906577,7.516,2.598316087966584,18.38,4.2392856811227455,61.544,8.107251016101337,15.176,3.6435662681362886,7.36,2.6382419603369525,3.004,1.7221834488994854,1.674,1.3293827579121327,5.812,2.327119888176777,0.096,0.3016055899079582,BDE
Immanuel Quickley,4.535333333333333,2.116223954304475,0,13,11.134,3.2546027344833046,2,22,2.266,1.4758148098260617,0,8,3.2993333333333332,1.7102678834160019,1,10,1.2986666666666666,1.122930186472583,0,6,5.935333333333333,2.44904405161144,1,17,13.381333333333334,3.727176695521063,2,26,3.562666666666667,1.8759226030491352,0,11,5.010666666666666,2.219422623133234,0,12,0.8353333333333334,0.9342377047348216,0,6,0.082,0.28401251511009057,0,2,1.8226666666666667,1.330313012300496,0,7,0.029333333333333333,0.168795389385712,0,1,0.407340877791749,0.6868054152354011,0.21880265079186792,13.606,3.6864541076453876,33.402,5.576611263695251,6.798,2.618952811269289,9.898,3.0116001512388535,3.896,2.0112867893709727,17.806,4.190403675772999,40.144,6.330198007458159,10.688,3.2029945908005204,15.032,3.667407224661996,2.506,1.655126244662788,0.246,0.47532712077419575,5.468,2.297723889012838,0.088,0.2835786199051943,BDE
Toumani Camara,2.992,1.704270819446647,0,9,7.262,2.6978154382313058,1,20,1.1273333333333333,0.9293521143555836,0,6,1.816,1.0615532315946319,1,7,0.9373333333333334,0.8887816627936814,0,5,3.3826666666666667,1.819094727047734,1,11,8.399333333333333,2.8446313482114056,1,22,6.296,2.5493888657988943,0,16,2.454,1.5676486686219444,0,10,0.6193333333333333,0.7789934377598681,0,6,0.33,0.5633041283599398,0,3,0.7766666666666666,0.8582617885902053,0,5,0.04066666666666666,0.1975826784718496,0,1,0.41200771137427705,0.6207782672540382,0.2770989357508869,8.976,2.910733367636917,21.786,4.499855709109528,3.382,1.594101099878319,5.448,1.8138014641914386,2.812,1.4425039463622071,10.148,3.0973024658774064,25.198,5.065383719369037,18.888,4.345713572349863,7.362,2.844492621989571,1.858,1.3271619032487596,0.99,0.977656188670891,2.33,1.5171365814631281,0.122,0.33962728598682046,BDE
Jabari Smith Jr.,5.583333333333333,2.416391563402065,0,15,12.513333333333334,3.635744029125139,2,26,0.7226666666666667,0.758597303449876,0,4,1.8406666666666667,1.1207662409560701,1,9,1.61,1.2480404921502737,0,6,5.142,2.206599658910319,1,14,14.064666666666668,3.6961591709909385,4,29,6.935333333333333,2.6894808223183087,0,19,0.9106666666666666,0.9719307186060478,0,5,0.744,0.850262291281922,0,4,0.5566666666666666,0.7459847302061144,0,5,0.834,0.9012873455523688,0,6,0.14533333333333334,0.3525541355610838,0,1,0.44619072988811936,0.39261137269105395,0.3131077401789187,16.75,4.334637027054587,37.54,6.2676124586531134,2.168,1.2911662249458362,5.522,1.9486175151734837,4.83,2.25993686399831,15.426,3.8180727283169236,42.194,6.272723341279485,20.806,4.750315251641722,2.732,1.614121052940917,2.232,1.4444198480340782,1.67,1.2474824346858353,2.502,1.522705902836482,0.436,0.6153546316111471,BDE
Kyshawn George,2.858,1.6807893091643582,0,10,8.128666666666666,2.813548576551914,1,18,0.5886666666666667,0.7392581127457418,0,4,1.7366666666666666,1.010611916870122,1,7,1.2713333333333334,1.0359023206690552,0,6,5.244666666666666,2.330184125971488,1,16,8.945333333333334,3.026182977145136,0,20,4.324,2.083727096432801,0,12,2.484,1.5158966417335142,0,9,0.9826666666666667,0.9921470620582025,0,5,0.764,0.8730094101937607,0,5,1.4433333333333334,1.1864768745343328,0,6,0.004,0.06313998552302573,0,1,0.3515951775608956,0.33896353166986565,0.24240498283971018,8.574,2.948544017586866,24.386,4.796980930971501,1.766,1.2451283826894146,5.21,1.7087245181590611,3.814,1.8618100529717563,15.734,4.079279967114319,26.836,5.256649953865574,12.972,3.425007643014745,7.452,2.5979211667749955,2.948,1.7061999403566237,2.292,1.4923774257075595,4.33,2.0961602456756743,0.012,0.10899430957182157,BDE
Rui Hachimura,4.302,2.073401873786205,0,12,8.793333333333333,2.9216969551308085,1,18,0.6093333333333333,0.7319403755528624,0,4,1.72,1.0051236320359391,1,7,1.3553333333333333,1.074790679881093,0,6,3.7226666666666666,1.8797451556320883,1,11,11.493333333333334,3.37582874299387,2,23,4.492,2.1098744939577574,0,12,1.9206666666666667,1.3855153038949468,0,7,0.38,0.6302365683519632,0,4,0.16866666666666666,0.41673412840571894,0,4,0.9546666666666667,0.9926068714029368,0,7,0.012,0.10892157395506441,0,1,0.4892342683851403,0.35426356589147284,0.3640759312320917,12.906,3.580895086321083,26.38,5.012969152053389,1.828,1.3334061436365798,5.16,1.8035813848072524,4.066,1.7685869499685896,11.168,3.1418973627533013,34.48,5.678564271395433,13.476,3.7074133607753144,5.762,2.3926566011909114,1.14,1.113048855850911,0.506,0.7287153436728284,2.864,1.7537546323876787,0.036,0.18647666635316165,BDE
Moussa Diabate,1.9733333333333334,1.374244490924418,0,7,3.77,1.929658619616133,1,11,0.9013333333333333,0.8832430588969354,0,5,2.096,1.2279206785436902,1,8,0.012,0.10892157395506442,0,1,1.0013333333333334,0.03650265540281318,1,2,6.333333333333333,2.4783698473571456,1,16,4.628,2.0974306846674713,0,14,0.15066666666666667,0.3830544469938924,0,2,0.5933333333333334,0.7808299126296288,0,4,0.488,0.6788445231354974,0,4,0.904,0.9284532030390595,0,4,0.0026666666666666666,0.05158807784174387,0,1,0.5234305923961097,0.4300254452926209,0.011984021304926764,5.92,2.3960555428304784,11.31,3.320233108652401,2.704,1.537892788349342,6.288,2.076940867413771,0.036,0.19693035095244332,3.004,0.06318214912406725,19.0,4.261022485888862,13.884,3.7537615069289902,0.452,0.666772202735448,1.78,1.2707594813018854,1.464,1.1274956731562087,2.712,1.647569412783534,0.008,0.08917344788453134,BDE
Stephen Curry,8.041333333333334,2.9996038579161035,0,22,17.997333333333334,4.329336553355149,5,35,5.436,2.2642118062147514,0,15,6.0553333333333335,2.392227704703224,1,15,3.9273333333333333,1.8400117710947939,0,12,10.935333333333332,3.26898695919421,3,23,26.583333333333332,5.13685835552549,12,44,3.794,1.9505812410968033,0,10,5.269333333333333,2.3822768627770445,0,14,1.69,1.31417326391096,0,8,0.5413333333333333,0.7343825756378546,0,4,2.775333333333333,1.658118751502722,0,10,0.056,0.22999840472805813,0,1,0.446806934360646,0.897721017285038,0.35914162043528625,24.124,5.029434802128139,53.992,7.263156537330828,16.308,4.048941077330638,18.166,4.194476279885851,11.782,3.1784715450551784,32.806,5.524618250488196,79.75,8.818334652988863,11.382,3.341017928955666,15.808,4.111562463563404,5.07,2.3064560431445287,1.624,1.3000015415437136,8.326,2.9982834100220788,0.168,0.3848014348837295,Burrito Barnes
Ivica Zubac,5.671333333333333,2.4542467494040197,0,16,8.576666666666666,3.004575489394445,1,20,1.5793333333333333,1.1761356578272042,0,7,2.223333333333333,1.3266356685315812,1,9,0.0006666666666666666,0.025819888974716113,0,1,1.0,0.0,1,1,13.111333333333333,3.6914345921950895,3,27,7.972666666666667,2.7923319347774913,0,18,1.9,1.378622646073553,0,8,0.23266666666666666,0.4761134440060104,0,2,1.0153333333333334,0.9945305171395716,0,6,1.4753333333333334,1.2180780071804131,0,8,0.242,0.42843712753234336,0,1,0.6612514574426739,0.7103448275862069,0.0006666666666666666,17.014,4.209661090038718,25.73,5.128127864121717,4.738,1.9781765251689392,6.67,2.2837537218632504,0.002,0.044721359549995794,3.0,0.0,39.334,6.269374299578582,23.918,4.864009990365228,5.7,2.378511010960117,0.698,0.8486674690041394,3.046,1.7010794639538067,4.426,2.0777772538540473,0.726,0.7772594576645936,Burrito Barnes
Cooper Flagg,6.07,2.463292892569427,0,14,12.867333333333333,3.5767203097724103,3,30,3.5433333333333334,1.8657731986073003,0,11,4.193333333333333,2.001322666929798,1,12,1.242,1.0961616579015625,0,6,3.5793333333333335,1.8368330152482994,1,11,16.947333333333333,4.008566488461575,5,32,5.275333333333333,2.2660424064171165,0,14,3.794,1.9584315925935678,0,11,1.2346666666666666,1.107737759663817,0,7,0.8106666666666666,0.9051882673907328,0,6,1.8,1.378380676322488,0,8,0.048,0.21383751851085886,0,1,0.4717372156883063,0.8449920508744038,0.3469919910597877,18.21,4.143940695639594,38.602,5.925353629215941,10.63,3.3068066075716853,12.58,3.5458067475515302,3.726,1.8777582250928386,10.738,3.0997698537621443,50.842,6.964916087952851,15.826,3.979874722351348,11.382,3.2250391866628565,3.704,1.9297232089931065,2.432,1.5524807221945047,5.4,2.327839701386395,0.144,0.3735546628973392,Burrito Barnes
Austin Reaves,5.596666666666667,2.414237198313794,0,16,11.038666666666666,3.2350397025085735,3,22,3.7026666666666666,1.9784343196393894,0,10,5.4526666666666666,2.3834597001663567,1,14,1.2366666666666666,1.0832533625398344,0,5,4.304,2.0648873673625063,1,12,16.995333333333335,4.168160337121504,6,34,4.028,2.0476029364088455,0,13,5.480666666666667,2.3557006967646337,0,15,1.096,1.0687432532781755,0,6,0.20866666666666667,0.46180847429807004,0,3,2.722,1.6119703157520955,0,10,0.058,0.2338214025679983,0,1,0.5070056770141321,0.6790561193299914,0.28732961586121436,16.79,4.163721069703468,33.116,5.634717746983992,11.108,3.4820375027188724,16.358,4.019720426175087,3.71,1.8386574783371943,12.912,3.609752987846472,50.986,7.247541494564268,12.084,3.5471267550558245,16.442,4.169581131675849,3.288,1.7740774226066924,0.626,0.7663540938720096,8.166,2.8274428138746615,0.174,0.40005510642454334,Burrito Barnes
Kawhi Leonard,6.795333333333334,2.5140256772010052,1,17,15.040666666666667,3.778253082196097,4,32,4.131333333333333,2.0065149614233713,0,14,4.679333333333333,2.149942881059115,1,14,1.5906666666666667,1.2463875307490684,0,7,5.014666666666667,2.206134532450912,1,14,19.712666666666667,4.480270241460132,8,35,5.634,2.333168042685797,0,15,3.5913333333333335,1.9214889110563271,0,11,1.448,1.202328184000259,0,7,0.7413333333333333,0.8711663691764496,0,7,1.9866666666666666,1.4328960242226385,0,7,0.06266666666666666,0.2424432745677725,0,1,0.45179734940827093,0.8828893004701525,0.31720287157670835,20.386,4.304656098721071,45.122,6.615333799784039,12.394,3.441285936651529,14.038,3.6736286004696197,4.772,2.163649407255027,15.044,3.934593505319731,59.138,7.853809307672461,16.902,4.1214522607298205,10.774,3.1886138864770173,4.344,2.106784536245776,2.224,1.4401291413924573,5.96,2.4873225659520295,0.188,0.43936554731605515,Burrito Barnes
