FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
11,1,4,7,1,0,9,6,1,5,0,1,0,0,0,Amen Thompson
8,2,4,4,2,0,14,4,1,3,1,2,0,0,1,Amen Thompson
5,5,2,3,5,1,9,5,2,2,1,4,0,0,2,Amen Thompson
8,2,5,3,2,2,8,6,2,0,0,1,0,0,0,Trey Murphy III
10,3,10,5,2,2,10,7,1,1,0,0,0,0,1,Trey Murphy III
11,1,5,7,1,1,17,5,5,2,0,2,0,0,2,Trey Murphy III
4,3,1,2,0,0,4,2,0,2,2,2,0,0,0,Dyson Daniels
6,1,1,3,0,1,4,5,5,1,0,2,0,0,1,Dyson Daniels
4,1,4,0,0,0,3,4,2,1,0,3,0,0,2,Dyson Daniels
18,3,7,10,1,2,19,9,2,0,1,1,0,0,0,Norman Powell
17,2,3,5,1,0,12,3,3,0,1,1,0,0,1,Norman Powell
13,7,6,7,4,2,25,2,0,3,0,2,0,0,2,Norman Powell
6,7,2,2,5,0,11,3,4,1,0,1,0,0,0,Immanuel Quickley
10,3,6,2,1,1,15,4,2,1,0,1,0,0,1,Immanuel Quickley
15,2,6,4,2,3,13,4,6,0,0,1,0,0,2,Immanuel Quickley
7,2,4,4,2,1,7,4,4,0,1,0,0,0,0,Toumani Camara
7,2,3,2,1,0,6,7,4,0,1,1,0,0,1,Toumani Camara
6,1,1,2,0,0,9,3,6,0,0,2,0,0,2,Toumani Camara
14,2,10,10,1,5,10,8,2,0,0,1,0,0,0,Jabari Smith Jr.
12,3,4,6,1,1,20,9,0,0,0,0,0,0,1,Jabari Smith Jr.
8,1,5,5,1,3,11,10,0,0,1,2,1,0,2,Jabari Smith Jr.
5,2,5,1,0,1,13,3,2,0,3,1,0,0,0,Kyshawn George
10,3,11,4,1,4,12,4,0,2,2,1,0,0,1,Kyshawn George
4,1,8,3,1,3,5,1,3,1,1,1,0,0,2,Kyshawn George
9,2,4,7,0,0,12,1,3,0,0,1,0,0,0,Rui Hachimura
5,1,2,2,0,0,10,5,1,1,0,0,0,0,1,Rui Hachimura
8,1,4,2,0,1,4,5,2,0,0,0,0,0,2,Rui Hachimura
6,4,1,3,2,0,4,3,1,0,0,1,0,0,0,Moussa Diabate
4,2,1,4,0,0,5,3,0,1,1,2,0,0,1,Moussa Diabate
2,1,1,1,1,0,5,2,1,1,2,0,0,0,2,Moussa Diabate
9,2,3,4,1,1,11,6,5,2,2,2,0,1,0,Amen Thompson
10,3,3,6,0,0,6,3,2,0,0,2,0,1,1,Amen Thompson
10,1,5,5,0,0,9,8,4,0,2,2,0,1,2,Amen Thompson
8,5,9,2,4,2,18,6,0,0,0,2,0,1,0,Trey Murphy III
7,3,6,3,3,1,13,5,4,0,0,1,0,1,1,Trey Murphy III
12,2,9,5,1,2,19,4,1,0,0,0,0,1,2,Trey Murphy III
8,1,2,2,0,1,3,2,2,2,0,2,0,1,0,Dyson Daniels
5,1,1,0,0,0,4,0,2,2,0,1,0,1,1,Dyson Daniels
3,1,3,2,0,0,4,2,6,0,0,1,0,1,2,Dyson Daniels
