FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
13,5,9,5,5,3,28,3,7,1,1,2,0,0,0,Stephen Curry
19,6,13,7,6,3,31,1,5,1,0,1,0,0,1,Stephen Curry
18,10,15,10,9,3,23,6,2,3,1,2,0,0,2,Stephen Curry
3,4,1,2,3,0,22,7,2,0,3,1,0,0,0,Ivica Zubac
12,2,1,8,1,0,12,6,2,0,0,2,0,0,1,Ivica Zubac
16,1,1,10,1,0,9,8,1,0,0,1,0,0,2,Ivica Zubac
10,5,4,5,4,2,22,12,4,2,2,5,1,0,0,Cooper Flagg
8,2,4,4,0,0,19,5,5,1,2,0,0,0,1,Cooper Flagg
12,3,3,4,3,1,15,7,2,0,1,3,0,0,2,Cooper Flagg
16,4,4,8,2,3,22,4,4,0,0,2,0,0,0,Austin Reaves
10,6,5,7,5,3,16,7,3,1,0,3,0,0,1,Austin Reaves
12,4,5,10,3,1,14,2,9,4,0,4,0,0,2,Austin Reaves
12,2,6,6,1,2,12,5,3,0,0,2,0,0,0,Kawhi Leonard
12,2,1,2,2,0,29,7,6,2,1,0,0,0,1,Kawhi Leonard
20,7,3,12,4,1,19,8,2,1,0,3,0,0,2,Kawhi Leonard
6,1,9,0,0,0,13,4,3,1,0,0,0,0,0,Payton Pritchard
6,1,3,2,1,0,14,3,1,0,0,1,0,0,1,Payton Pritchard
10,1,4,2,0,2,11,1,5,3,0,2,0,0,2,Payton Pritchard
8,1,1,7,0,0,11,8,0,0,2,3,0,0,0,Deandre Ayton
11,1,1,6,0,0,11,9,1,0,0,2,0,0,1,Deandre Ayton
10,6,1,8,2,0,15,11,2,2,0,1,1,0,2,Deandre Ayton
15,3,8,9,2,4,18,4,8,1,0,0,0,0,0,Devin Vassell
8,2,7,3,0,1,16,5,5,1,0,1,0,0,1,Devin Vassell
11,2,4,3,0,1,13,7,4,1,0,0,0,0,2,Devin Vassell
3,2,1,2,1,1,5,7,5,1,0,0,0,0,0,Dereck Lively II
3,1,1,1,0,1,7,6,2,1,1,1,0,0,1,Dereck Lively II
1,1,1,1,0,1,9,3,2,1,1,0,0,0,2,Dereck Lively II
7,3,3,5,3,0,13,4,3,3,1,0,0,0,0,Wendell Carter Jr.
9,3,3,5,1,2,10,6,2,2,1,2,0,0,1,Wendell Carter Jr.
6,7,2,4,5,0,8,8,4,0,1,2,0,0,2,Wendell Carter Jr.
7,1,1,4,1,0,10,2,2,2,0,0,0,0,0,Ajay Mitchell
4,2,1,1,0,0,7,6,2,0,0,1,0,0,1,Ajay Mitchell
9,1,1,6,1,1,8,3,2,0,0,0,0,0,2,Ajay Mitchell
19,3,12,9,2,3,16,6,2,0,0,0,0,0,0,Tim Hardaway Jr.
12,3,10,5,2,2,15,3,3,0,0,0,0,0,1,Tim Hardaway Jr.
13,4,8,4,3,4,12,4,3,1,1,3,0,0,2,Tim Hardaway Jr.
17,7,11,6,6,5,26,4,3,2,0,5,0,1,0,Stephen Curry
24,6,15,10,5,6,31,5,5,1,0,2,0,1,1,Stephen Curry
18,7,10,10,6,3,29,8,3,2,1,3,0,1,2,Stephen Curry
8,6,1,3,4,0,20,5,0,0,0,2,0,1,0,Ivica Zubac
12,3,1,5,2,0,13,6,0,0,1,2,0,1,1,Ivica Zubac
6,2,1,5,1,0,11,5,4,0,0,5,0,1,2,Ivica Zubac
17,4,3,7,4,2,18,8,3,0,3,2,0,1,0,Cooper Flagg
15,3,1,10,3,1,18,5,7,1,0,0,0,1,1,Cooper Flagg
18,7,4,8,6,2,22,6,4,1,0,1,0,1,2,Cooper Flagg
11,8,7,10,5,2,19,5,3,0,0,4,0,1,0,Austin Reaves
12,6,6,5,5,2,18,9,5,2,1,0,0,1,1,Austin Reaves
8,7,2,4,1,1,16,4,8,1,1,2,0,1,2,Austin Reaves
19,2,5,6,1,1,18,4,4,1,1,2,0,1,0,Kawhi Leonard
11,5,5,6,3,2,14,12,0,1,0,1,1,1,1,Kawhi Leonard
15,7,4,11,5,1,22,7,2,2,0,3,0,1,2,Kawhi Leonard
9,1,4,6,0,0,9,3,2,0,0,3,0,1,0,Payton Pritchard
13,2,2,5,0,1,9,2,3,0,1,2,0,1,1,Payton Pritchard
8,1,7,4,0,3,8,2,3,3,0,3,0,1,2,Payton Pritchard
