sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,2,9,0,B,149,322,41,73,31,123,387,144,76,24,9,41,3,156,379,54,85,70,191,498,149,92,27,17,51,5
1,4,7,0,B,133,292,42,67,27,113,370,127,65,18,16,30,5,179,416,48,84,57,160,509,151,96,41,9,59,6
2,3,8,0,B,140,288,49,83,38,124,382,158,76,27,19,45,7,193,406,55,80,54,162,514,163,85,21,20,43,5
3,2,9,0,B,137,311,44,79,40,133,368,122,74,21,13,54,3,183,394,67,95,67,175,513,174,86,38,12,61,6
4,3,8,0,B,121,273,40,66,33,129,393,119,71,22,23,44,3,197,432,41,73,49,164,555,171,81,31,15,51,5
5,3,8,0,B,124,256,48,73,37,127,367,118,71,25,16,53,4,212,424,47,82,67,181,483,165,73,26,18,65,3
6,5,6,0,B,147,314,57,84,38,129,380,134,81,28,18,44,6,165,437,75,115,61,197,498,158,84,29,14,48,3
7,2,8,1,B,144,301,38,67,28,108,380,124,85,28,24,37,4,206,425,55,95,65,172,541,159,80,35,12,37,5
8,2,9,0,B,157,327,42,70,40,134,391,131,86,25,11,36,3,206,419,52,85,50,168,520,174,90,31,18,57,6
9,5,6,0,B,147,299,45,68,30,114,390,151,90,29,19,47,4,188,417,49,78,63,176,516,154,87,32,11,56,6
10,1,9,1,B,145,298,35,62,40,114,378,131,71,27,16,37,2,216,420,60,95,69,191,511,174,101,32,16,42,6
11,2,9,0,B,135,285,48,82,31,100,397,135,78,22,18,34,2,226,448,62,100,78,182,520,178,87,36,12,59,4
12,3,8,0,B,129,297,38,63,31,120,384,127,75,31,20,47,4,199,433,47,78,56,163,531,162,80,29,14,41,5
13,2,8,1,B,143,307,41,68,33,124,348,149,70,26,17,45,5,188,407,52,85,57,150,534,158,88,28,11,43,5
14,5,5,1,TIE,121,277,49,80,37,97,355,142,81,30,14,40,5,181,443,54,91,62,179,465,166,102,29,16,54,5
15,2,9,0,B,131,279,49,74,31,111,361,124,78,27,27,40,2,197,394,65,97,53,178,541,155,88,47,15,47,6
16,4,7,0,B,118,245,38,68,25,104,409,129,83,24,20,31,5,204,440,73,101,46,177,532,146,84,34,16,55,2
17,2,8,1,B,113,271,53,89,27,118,367,123,78,29,11,48,3,176,404,67,102,60,191,528,168,81,25,8,48,4
18,3,8,0,B,123,272,43,70,38,136,370,132,94,20,21,38,4,184,412,57,86,60,172,538,172,95,40,7,48,6
19,3,7,1,B,133,282,39,72,27,123,372,143,68,34,8,52,5,200,440,52,87,68,184,450,160,106,30,18,53,5
20,3,7,1,B,133,287,49,77,44,127,390,138,82,22,14,37,3,196,425,61,93,60,179,538,146,86,32,19,42,3
21,3,8,0,B,148,293,48,77,32,117,336,144,85,18,11,39,4,177,416,53,83,54,179,525,187,67,30,20,45,5
22,5,6,0,B,152,306,39,70,41,120,365,145,76,32,18,46,3,203,418,67,102,54,178,530,159,97,29,13,55,5
23,5,5,1,TIE,147,297,50,76,39,123,396,147,85,24,15,38,3,197,424,51,81,46,155,525,154,90,21,15,55,5
24,4,7,0,B,128,272,43,68,36,123,345,119,78,36,10,31,2,167,404,47,72,60,166,518,180,90,24,8,60,5
25,2,9,0,B,134,280,45,75,41,125,393,133,58,11,13,46,2,198,436,64,103,64,180,519,173,96,30,16,49,5
26,4,7,0,B,150,317,39,68,43,115,381,109,75,25,21,32,2,198,456,46,78,59,185,557,162,88,27,13,57,5
27,4,7,0,B,147,306,45,79,45,124,378,135,71,30,19,35,3,192,425,74,107,67,193,477,161,92,32,16,66,5
28,3,8,0,B,138,283,48,72,48,148,360,135,87,19,18,46,3,210,439,57,95,69,180,522,149,89,32,23,57,4
29,5,6,0,B,152,325,33,57,31,93,385,132,82,20,24,41,2,198,450,52,93,68,192,535,150,80,27,15,72,4
30,2,9,0,B,108,258,50,82,33,125,383,121,81,23,22,38,2,190,443,47,75,55,172,501,161,97,32,14,47,4
31,3,8,0,B,138,296,47,74,30,94,388,123,74,22,10,32,4,176,418,64,100,70,188,502,146,78,27,17,76,2
32,3,8,0,B,122,296,42,71,34,111,361,130,90,20,19,43,4,207,437,57,90,58,152,555,150,102,28,13,78,3
33,2,8,1,B,162,334,43,67,38,113,357,113,80,18,16,26,4,180,407,63,88,55,153,544,152,93,20,17,48,4
34,2,9,0,B,141,287,48,79,27,108,388,123,76,36,8,37,4,189,425,60,94,60,167,501,161,99,40,19,61,5
35,4,7,0,B,144,311,41,67,32,107,405,134,73,36,28,44,3,190,414,68,95,56,175,518,165,93,20,7,62,5
36,1,9,1,B,117,300,40,69,26,121,363,119,74,31,17,33,3,166,392,58,95,67,191,557,160,94,42,17,45,4
37,3,7,1,B,133,300,41,66,32,127,366,137,71,28,18,43,3,172,404,55,85,62,184,522,148,94,28,13,61,4
38,3,8,0,B,138,281,43,68,38,141,376,138,79,27,13,34,4,189,400,63,88,63,166,521,153,87,33,10,67,5
39,4,7,0,B,135,285,43,78,36,126,370,142,72,23,21,53,2,171,403,62,94,53,188,531,161,103,33,12,55,6
40,3,8,0,B,139,280,38,75,33,121,353,127,84,22,11,38,3,182,404,60,91,60,173,589,174,87,36,10,55,5
41,3,8,0,B,132,280,42,76,27,111,400,135,94,28,18,34,4,194,424,65,103,55,171,491,163,88,39,19,45,5
42,3,8,0,B,133,282,48,80,33,118,378,135,74,33,28,35,3,189,425,56,83,59,165,503,157,90,38,16,37,6
43,3,8,0,B,143,301,41,72,32,104,355,141,72,33,11,39,1,200,446,52,79,60,184,507,164,101,18,15,52,7
44,4,7,0,B,132,285,51,82,37,133,392,118,74,31,21,52,1,196,426,58,99,64,183,535,157,75,26,23,63,6
45,3,8,0,B,148,312,47,73,27,115,369,124,81,18,12,42,4,168,400,49,80,75,190,518,160,90,43,14,65,6
46,3,8,0,B,141,293,53,73,33,118,353,123,81,31,21,40,5,212,436,67,99,62,183,557,154,94,32,15,68,6
47,4,6,1,B,129,291,38,67,35,126,396,139,79,30,15,50,5,192,415,67,102,57,172,540,156,77,26,14,62,5
48,4,7,0,B,147,328,42,68,34,129,391,139,76,23,14,51,6,216,457,49,82,57,182,539,155,106,29,13,55,4
49,4,6,1,B,134,290,47,74,36,121,398,128,78,22,18,38,4,204,435,54,86,55,192,529,158,86,35,16,45,4
50,6,5,0,A,147,291,36,63,29,128,381,157,86,24,16,30,7,190,418,56,86,54,196,507,121,97,21,12,58,2
51,3,8,0,B,115,271,38,66,35,138,427,143,86,25,19,36,4,215,431,65,92,74,185,551,180,82,36,15,63,5
52,4,7,0,B,118,278,36,58,28,124,349,129,75,26,18,48,4,183,406,62,110,58,170,514,161,92,32,9,53,3
53,2,9,0,B,139,295,49,87,36,125,371,128,71,25,13,42,3,192,434,57,85,75,195,542,174,91,29,14,62,5
54,5,6,0,B,128,291,39,62,33,123,334,137,84,23,22,57,2,176,412,45,87,50,166,512,155,76,21,12,48,5
55,3,8,0,B,152,323,44,73,34,112,345,132,78,25,12,41,4,197,418,58,91,61,198,506,170,90,30,9,61,3
