sim_num,category,winner,team_a_value,team_b_value
0,FG%,A,,
0,FT%,B,,
0,3P%,B,,
0,FG3M,B,,
0,PTS,B,,
0,REB,B,,
0,AST,B,,
0,STL,B,,
0,BLK,B,,
0,DD,B,,
0,TO,A,,
1,FG%,A,,
1,FT%,A,,
1,3P%,B,,
1,FG3M,B,,
1,PTS,B,,
1,REB,B,,
1,AST,B,,
1,STL,B,,
1,BLK,A,,
1,DD,B,,
1,TO,A,,
2,FG%,A,,
2,FT%,B,,
2,3P%,B,,
2,FG3M,B,,
2,PTS,B,,
2,REB,B,,
2,AST,B,,
2,STL,A,,
2,BLK,B,,
2,DD,A,,
2,TO,B,,
3,FG%,B,,
3,FT%,B,,
3,3P%,B,,
3,FG3M,B,,
3,PTS,B,,
3,REB,B,,
3,AST,B,,
3,STL,B,,
3,BLK,A,,
3,DD,B,,
3,TO,A,,
4,FG%,B,,
4,FT%,A,,
4,3P%,B,,
4,FG3M,B,,
4,PTS,B,,
4,REB,B,,
4,AST,B,,
4,STL,B,,
4,BLK,A,,
4,DD,B,,
4,TO,A,,
5,FG%,B,,
5,FT%,A,,
5,3P%,B,,
5,FG3M,B,,
5,PTS,B,,
5,REB,B,,
5,AST,B,,
5,STL,B,,
5,BLK,B,,
5,DD,A,,
5,TO,A,,
6,FG%,A,,
6,FT%,A,,
6,3P%,B,,
6,FG3M,B,,
6,PTS,B,,
6,REB,B,,
6,AST,B,,
6,STL,B,,
6,BLK,A,,
6,DD,A,,
6,TO,A,,
7,FG%,B,,
7,FT%,B,,
7,3P%,B,,
7,FG3M,B,,
7,PTS,B,,
7,REB,B,,
7,AST,A,,
7,STL,B,,
7,BLK,A,,
7,DD,B,,
7,TO,TIE,,
8,FG%,B,,
8,FT%,B,,
8,3P%,A,,
8,FG3M,B,,
8,PTS,B,,
8,REB,B,,
8,AST,B,,
8,STL,B,,
8,BLK,B,,
8,DD,B,,
8,TO,A,,
9,FG%,A,,
9,FT%,A,,
9,3P%,B,,
9,FG3M,B,,
9,PTS,B,,
9,REB,B,,
9,AST,A,,
9,STL,B,,
9,BLK,A,,
9,DD,B,,
9,TO,A,,
10,FG%,B,,
10,FT%,B,,
10,3P%,B,,
10,FG3M,B,,
10,PTS,B,,
10,REB,B,,
10,AST,B,,
10,STL,B,,
10,BLK,TIE,,
10,DD,B,,
10,TO,A,,
11,FG%,B,,
11,FT%,B,,
11,3P%,B,,
11,FG3M,B,,
11,PTS,B,,
11,REB,B,,
11,AST,B,,
11,STL,B,,
11,BLK,A,,
11,DD,B,,
11,TO,A,,
12,FG%,B,,
12,FT%,A,,
12,3P%,B,,
12,FG3M,B,,
12,PTS,B,,
12,REB,B,,
12,AST,B,,
12,STL,A,,
12,BLK,A,,
12,DD,B,,
12,TO,B,,
13,FG%,A,,
13,FT%,B,,
13,3P%,B,,
13,FG3M,B,,
13,PTS,B,,
13,REB,B,,
13,AST,B,,
13,STL,B,,
13,BLK,A,,
13,DD,TIE,,
13,TO,B,,
14,FG%,A,,
14,FT%,A,,
14,3P%,A,,
14,FG3M,B,,
14,PTS,B,,
14,REB,B,,
14,AST,B,,
14,STL,A,,
14,BLK,B,,
14,DD,TIE,,
14,TO,A,,
15,FG%,B,,
15,FT%,B,,
15,3P%,B,,
15,FG3M,B,,
15,PTS,B,,
15,REB,B,,
15,AST,B,,
15,STL,B,,
15,BLK,A,,
15,DD,B,,
15,TO,A,,
16,FG%,A,,
16,FT%,B,,
16,3P%,B,,
16,FG3M,B,,
16,PTS,B,,
16,REB,B,,
16,AST,B,,
16,STL,B,,
16,BLK,A,,
16,DD,A,,
16,TO,A,,
17,FG%,B,,
17,FT%,B,,
17,3P%,B,,
17,FG3M,B,,
17,PTS,B,,
17,REB,B,,
17,AST,B,,
17,STL,A,,
17,BLK,A,,
17,DD,B,,
17,TO,TIE,,
18,FG%,A,,
18,FT%,B,,
