FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
31,9,7,11,6,1,31,10,11,3,1,5,1,0,0,Luka Doncic
19,10,7,9,7,0,35,14,6,0,2,8,1,0,1,Luka Doncic
27,13,7,12,8,3,40,15,13,1,1,5,1,0,2,Luka Doncic
12,5,2,4,4,0,9,5,4,0,2,1,0,0,0,Scottie Barnes
13,1,1,7,0,0,16,12,5,3,3,2,1,0,1,Scottie Barnes
14,3,1,6,3,0,15,5,6,1,3,1,0,0,2,Scottie Barnes
12,2,5,6,0,2,9,7,2,0,0,3,0,0,0,Michael Porter Jr.
10,1,6,4,0,4,15,8,3,1,1,0,0,0,1,Michael Porter Jr.
15,1,7,3,0,3,21,4,2,0,0,1,0,0,2,Michael Porter Jr.
8,1,3,2,1,0,6,8,1,1,0,2,0,0,0,Tari Eason
11,2,2,5,0,1,4,11,1,2,2,3,0,0,1,Tari Eason
7,1,2,3,0,0,6,4,0,2,1,3,0,0,2,Tari Eason
7,4,2,4,2,1,13,2,1,1,2,1,0,0,0,Naz Reid
10,3,3,4,0,1,9,2,0,0,1,0,0,0,1,Naz Reid
6,2,1,5,0,0,7,5,0,2,1,0,0,0,2,Naz Reid
8,1,2,4,0,2,7,6,1,1,1,1,0,0,0,Herbert Jones
3,2,2,1,1,1,13,6,0,0,0,3,0,0,1,Herbert Jones
9,1,1,6,1,0,11,6,3,1,0,1,0,0,2,Herbert Jones
23,1,5,5,0,1,11,4,4,0,0,2,0,0,0,Jordan Clarkson
14,1,3,8,0,1,15,3,1,0,1,2,0,0,1,Jordan Clarkson
11,4,8,6,1,1,12,4,1,1,0,1,0,0,2,Jordan Clarkson
9,1,9,6,1,2,13,5,3,3,0,0,0,0,0,Gary Trent Jr.
7,3,6,6,1,1,12,2,0,4,0,1,0,0,1,Gary Trent Jr.
12,1,10,5,0,3,17,2,2,0,0,1,0,0,2,Gary Trent Jr.
24,7,5,11,5,0,24,11,4,3,1,5,1,1,0,Luka Doncic
24,11,8,12,8,3,31,15,4,2,2,5,1,1,1,Luka Doncic
14,10,5,9,8,1,42,7,8,1,1,6,0,1,2,Luka Doncic
9,3,3,5,2,2,21,8,10,1,0,1,1,1,0,Scottie Barnes
15,4,2,4,3,1,19,6,5,1,0,1,0,1,1,Scottie Barnes
17,5,1,7,5,1,30,8,9,0,0,3,0,1,2,Scottie Barnes
8,3,4,2,2,1,12,4,5,1,0,1,0,1,0,Michael Porter Jr.
9,1,2,4,0,0,18,6,1,0,0,1,0,1,1,Michael Porter Jr.
11,1,9,5,0,3,15,11,2,0,1,0,1,1,2,Michael Porter Jr.
9,1,3,4,1,1,10,2,1,1,1,4,0,1,0,Tari Eason
7,1,2,4,0,1,4,9,0,0,0,5,0,1,1,Tari Eason
4,1,1,2,0,0,5,5,1,1,1,2,0,1,2,Tari Eason
4,1,3,2,1,0,13,4,0,0,0,0,0,1,0,Naz Reid
7,2,2,4,1,1,11,3,2,2,3,2,0,1,1,Naz Reid
11,1,1,4,1,0,8,5,2,0,1,1,0,1,2,Naz Reid
2,2,1,1,1,1,15,10,1,2,2,0,1,1,0,Herbert Jones
8,1,1,4,1,0,10,3,1,1,0,2,0,1,1,Herbert Jones
7,4,3,2,3,1,13,5,4,3,2,3,0,1,2,Herbert Jones
12,1,2,3,1,0,18,3,6,0,1,1,0,1,0,Jordan Clarkson
10,2,5,3,1,1,16,7,4,1,0,1,0,1,1,Jordan Clarkson
13,4,3,5,1,1,10,2,4,0,0,0,0,1,2,Jordan Clarkson
11,1,9,4,0,4,10,5,5,2,0,0,0,1,0,Gary Trent Jr.
14,1,10,8,0,2,19,2,1,3,0,1,0,1,1,Gary Trent Jr.
10,2,9,5,0,4,13,2,2,0,0,2,0,1,2,Gary Trent Jr.
20,12,8,13,9,3,39,14,9,1,2,3,1,2,0,Luka Doncic
24,7,13,15,6,4,28,9,7,2,0,3,0,2,1,Luka Doncic
25,6,8,13,4,3,35,7,19,2,0,1,1,2,2,Luka Doncic
9,1,1,5,1,0,17,6,6,0,0,0,0,2,0,Scottie Barnes
21,1,2,13,1,1,18,9,3,1,2,3,0,2,1,Scottie Barnes
10,3,1,5,2,0,23,4,5,1,1,1,0,2,2,Scottie Barnes
20,2,5,10,0,2,18,10,3,0,0,2,1,2,0,Michael Porter Jr.
14,1,9,3,1,3,14,4,5,0,0,1,0,2,1,Michael Porter Jr.
14,1,2,7,0,0,12,5,5,0,0,1,0,2,2,Michael Porter Jr.
9,1,4,5,0,3,10,9,1,0,1,1,0,2,0,Tari Eason
4,1,2,0,0,0,8,7,1,1,1,1,0,2,1,Tari Eason
5,1,5,1,1,1,5,4,1,1,1,1,0,2,2,Tari Eason
