FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
13,11,1,3,9,0,25,11,4,1,0,2,1,0,0,Anthony Davis
20,2,2,13,2,1,18,10,0,1,1,1,1,0,1,Anthony Davis
15,9,1,7,6,0,25,9,3,1,2,0,0,0,2,Anthony Davis
12,2,5,7,1,1,25,17,2,1,2,0,1,0,0,Nikola Vucevic
17,1,4,5,1,3,19,6,3,0,0,0,0,0,1,Nikola Vucevic
24,3,2,14,2,1,22,8,5,0,0,1,0,0,2,Nikola Vucevic
12,2,5,4,0,0,24,3,3,1,1,3,0,0,0,Jamal Murray
14,5,3,7,2,2,15,8,10,2,0,1,1,0,1,Jamal Murray
13,2,6,7,2,3,24,10,5,0,0,0,1,0,2,Jamal Murray
13,3,5,3,2,2,9,1,2,1,1,3,0,0,0,Jordan Poole
14,2,4,5,1,3,16,2,5,0,1,2,0,0,1,Jordan Poole
11,1,10,2,1,2,18,1,6,0,0,4,0,0,2,Jordan Poole
5,1,1,1,0,0,2,0,2,0,0,1,0,0,0,Reed Sheppard
4,1,1,2,0,1,5,2,2,0,0,1,0,0,1,Reed Sheppard
4,1,4,2,0,0,4,1,2,0,0,3,0,0,2,Reed Sheppard
10,1,4,6,0,1,10,7,2,0,0,2,0,0,0,Jalen Suggs
5,2,4,2,1,2,13,2,3,1,0,1,0,0,1,Jalen Suggs
11,2,5,5,0,3,12,8,3,1,0,2,0,0,2,Jalen Suggs
6,1,8,3,1,2,9,0,6,1,0,3,0,0,0,Shaedon Sharpe
16,1,6,6,0,1,8,4,3,0,0,4,0,0,1,Shaedon Sharpe
9,3,9,3,2,3,17,1,3,1,0,3,0,0,2,Shaedon Sharpe
12,1,5,7,0,1,14,4,3,0,0,0,0,0,0,Malik Monk
16,7,3,9,4,2,13,3,3,1,0,0,0,0,1,Malik Monk
12,1,2,6,1,2,17,3,2,0,0,3,0,0,2,Malik Monk
14,2,5,4,1,2,23,5,2,0,0,1,0,0,0,Buddy Hield
16,2,5,11,1,1,19,4,0,2,0,2,0,0,1,Buddy Hield
13,1,6,7,0,3,13,0,3,1,0,4,0,0,2,Buddy Hield
8,1,5,5,0,3,10,3,3,1,0,2,0,0,0,Zaccharie Risacher
6,1,3,3,1,0,13,5,2,1,1,1,0,0,1,Zaccharie Risacher
12,4,4,9,1,1,12,0,1,0,0,4,0,0,2,Zaccharie Risacher
5,3,4,0,2,0,5,4,0,0,0,2,0,0,0,Nikola Jovic
7,1,2,0,1,0,6,3,0,0,0,3,0,0,1,Nikola Jovic
10,3,4,5,1,1,9,4,2,1,0,2,0,0,2,Nikola Jovic
8,3,7,5,1,5,11,5,4,1,1,4,0,0,0,Jaylen Wells
9,4,2,2,2,1,6,2,1,0,0,0,0,0,1,Jaylen Wells
6,3,6,4,0,1,19,3,1,0,0,0,0,0,2,Jaylen Wells
17,3,5,11,2,2,26,9,2,1,2,0,0,1,0,Anthony Davis
15,5,1,6,3,0,25,12,0,0,6,1,1,1,1,Anthony Davis
21,4,2,12,2,0,18,12,5,0,3,2,1,1,2,Anthony Davis
14,5,9,10,4,5,25,14,5,0,0,1,1,1,0,Nikola Vucevic
13,4,4,9,4,3,19,16,5,1,0,2,1,1,1,Nikola Vucevic
19,3,2,9,3,2,13,17,4,0,1,0,1,1,2,Nikola Vucevic
13,3,3,2,2,1,24,2,2,3,0,4,0,1,0,Jamal Murray
19,3,12,8,2,4,29,4,6,2,0,2,0,1,1,Jamal Murray
20,2,2,12,1,2,20,3,7,0,0,2,0,1,2,Jamal Murray
12,4,6,5,3,2,14,1,1,0,0,0,0,1,0,Jordan Poole
18,4,7,9,3,1,15,4,6,1,0,0,0,1,1,Jordan Poole
19,1,8,6,1,4,18,2,3,2,0,0,0,1,2,Jordan Poole
5,1,4,2,1,2,6,3,1,0,0,1,0,1,0,Reed Sheppard
6,1,4,3,1,1,7,2,0,1,0,0,0,1,1,Reed Sheppard
5,1,1,2,0,0,3,3,1,0,1,1,0,1,2,Reed Sheppard
5,1,3,3,1,1,12,5,4,4,0,2,0,1,0,Jalen Suggs
10,1,3,6,0,1,8,5,6,2,0,1,0,1,1,Jalen Suggs
14,1,4,8,1,1,19,6,3,2,0,2,0,1,2,Jalen Suggs
14,2,7,6,1,1,13,1,2,0,0,3,0,1,0,Shaedon Sharpe
19,2,7,6,1,1,8,3,4,1,0,3,0,1,1,Shaedon Sharpe
15,3,2,5,2,2,13,4,0,0,0,0,0,1,2,Shaedon Sharpe
9,3,1,4,3,1,8,2,3,0,2,1,0,1,0,Malik Monk
8,1,5,3,1,3,21,1,3,1,0,0,0,1,1,Malik Monk
11,1,6,6,1,3,18,1,4,0,0,2,0,1,2,Malik Monk
17,1,6,9,0,3,13,2,2,2,0,1,0,1,0,Buddy Hield
8,1,14,3,0,3,19,5,2,0,0,2,0,1,1,Buddy Hield
10,1,7,4,0,4,12,6,2,1,0,5,0,1,2,Buddy Hield
8,1,4,4,0,0,11,3,2,3,1,1,0,1,0,Zaccharie Risacher
10,1,4,8,1,0,14,3,0,0,0,1,0,1,1,Zaccharie Risacher
14,4,1,4,2,0,10,6,0,2,0,2,0,1,2,Zaccharie Risacher
5,7,3,2,3,0,9,3,2,1,0,3,0,1,0,Nikola Jovic
7,1,3,4,0,2,5,5,1,0,1,3,0,1,1,Nikola Jovic
6,3,1,2,1,1,9,5,4,0,0,1,0,1,2,Nikola Jovic
8,1,2,2,0,0,11,3,0,0,0,0,0,1,0,Jaylen Wells
7,2,4,2,1,0,14,4,0,0,0,1,0,1,1,Jaylen Wells
5,2,11,3,1,3,6,2,0,1,0,1,0,1,2,Jaylen Wells
20,13,3,6,12,0,20,6,3,1,2,0,0,2,0,Anthony Davis
26,4,1,9,3,0,28,13,1,1,2,0,1,2,1,Anthony Davis
19,5,2,11,5,1,25,16,0,1,0,2,1,2,2,Anthony Davis
15,5,5,8,4,2,24,12,5,0,1,0,1,2,0,Nikola Vucevic
15,1,2,11,0,0,25,11,6,0,0,0,1,2,1,Nikola Vucevic
14,5,6,9,0,4,18,11,0,0,1,2,1,2,2,Nikola Vucevic
11,2,9,6,2,5,22,6,8,1,0,3,0,2,0,Jamal Murray
19,2,8,9,0,2,22,7,5,1,0,3,0,2,1,Jamal Murray
22,2,10,12,2,4,15,3,7,1,0,4,0,2,2,Jamal Murray
11,6,5,7,5,2,18,1,3,0,0,1,0,2,0,Jordan Poole
12,2,9,6,1,6,16,1,4,0,0,2,0,2,1,Jordan Poole
19,2,3,13,2,2,10,2,2,0,0,2,0,2,2,Jordan Poole
3,1,4,1,0,0,7,1,1,0,0,1,0,2,0,Reed Sheppard
4,1,6,3,0,2,5,2,1,1,0,0,0,2,1,Reed Sheppard
3,1,2,0,0,0,4,1,4,3,0,0,0,2,2,Reed Sheppard
8,4,5,4,1,0,24,6,1,2,0,2,0,2,0,Jalen Suggs
6,1,2,2,0,0,16,5,2,3,0,4,0,2,1,Jalen Suggs
8,1,3,4,0,0,9,4,4,3,0,5,0,2,2,Jalen Suggs
